year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2015,2015-04-21,Faro,Lagoa,Lagoa,Senhora do Carmo (N125. 8400 Lagoa. Portugal),37.1296388891008,-8.43744444449743,Desconhecida,38.0,2015-04-21T18:00,18.9,70,13.2,19.0,0.1,0.1,0.0,0.0,51,1015.2,1010.7,100,98,46,1,0.12,0.67,6.4,6.7,308,306,19.4,21.2,18.7,16.7,15.2,0.139,0.208,0.234,0.23,1,3600.0,132.9,87.9,45.0,373.8,132.9,318.7,189.0,125.0,64.0,373.8,189.0,453.2,Magnoliopsida; Tracheophyta
2015,2015-04-30,Faro,Faro,Santa Bárbara de Nexe,Valados (EM520-1 340. 8005 Faro. Portugal),37.1069444444444,-7.99661111089918,Desconhecida,191.0,2015-04-30T16:00,21.8,53,11.8,21.1,0.0,0.0,0.0,0.0,0,1019.4,997.1,10,0,0,32,0.43,1.22,13.0,16.6,332,336,27.7,25.8,19.0,16.7,15.2,0.175,0.181,0.2,0.217,1,3600.0,608.7,509.6,99.1,822.0,608.7,836.1,682.0,571.0,111.0,822.0,682.0,936.9,Magnoliopsida; Tracheophyta; Ceratonia siliqua L.
2015,2015-05-10,Faro,Loulé,Ameixial,Barranco do Bufo (EM504. 8100. Portugal),37.3734722222222,-7.91336111068726,Desconhecida,371.0,2015-05-10T20:00,22.2,46,10.2,21.4,0.0,0.0,0.0,0.0,0,1018.2,975.6,3,0,0,9,0.06,1.44,6.0,14.9,205,200,17.6,24.2,23.2,17.7,14.6,0.171,0.202,0.218,0.231,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,39.6,8.0,43.0,Tracheophyta; Magnoliopsida; Quercus suber L.; Quercus rotundifolia Lam.; Pinus pinea L.; Eucalyptus L'Hér.; Olea europaea L.; Pinales; Pinus pinaster Aiton; 
2015,2015-05-11,Faro,Tavira,Santa Catarina Fonte Bispo,ADELA (EM513-1. 8800. Portugal),37.1933888891008,-7.73086111068726,Desconhecida,236.0,2015-05-11T15:00,26.3,35,9.7,25.7,0.0,0.0,0.0,0.0,0,1018.4,991.4,0,0,0,0,0.63,2.21,15.3,20.0,150,150,40.7,30.4,22.6,18.9,15.6,0.131,0.184,0.209,0.212,1,3600.0,812.7,708.0,104.7,905.5,812.7,1048.8,869.0,757.0,112.0,905.5,869.0,1121.4,Tracheophyta; Magnoliopsida
2015,2015-05-13,Faro,Monchique,Monchique,EN266 (EN266) Km 45 (N266. 8550. Portugal),37.301794444455,-8.56300277815925,Desconhecida,354.0,2015-05-13T16:00,32.1,20,6.6,30.9,0.0,0.0,0.0,0.0,1,1018.6,979.2,29,0,0,96,0.57,3.8,8.5,10.8,208,206,28.1,35.1,23.5,17.9,14.4,0.121,0.17,0.202,0.187,1,3600.0,637.2,505.8,131.4,774.8,637.2,875.0,708.0,562.0,146.0,774.8,708.0,972.2,Quercus suber L.; ; Magnoliopsida
2015,2015-05-18,Faro,Tavira,Santa Maria Tavira,IP1 (IP1) Km 320 (A22. 8800. Portugal),37.1701388888889,-7.62411111089918,Desconhecida,52.0,2015-05-18T22:00,21.3,59,12.9,21.2,0.0,0.0,0.0,0.0,1,1012.2,1006.1,30,0,1,98,0.03,1.05,7.1,12.6,221,246,15.8,23.0,24.5,21.2,16.9,0.144,0.197,0.232,0.245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Tracheophyta; Ceratonia siliqua L.
2015,2015-05-20,Faro,Lagos,Santa Maria,Monte Carreiro (Avenida Atlântico. 8600 Lagos. Portugal),37.0940277777778,-8.70672222243415,Desconhecida,87.0,2015-05-20T14:00,22.4,39,7.8,19.2,0.0,0.0,0.0,0.0,1,1019.4,1009.2,20,0,0,67,0.62,1.64,30.6,40.8,339,343,54.7,29.7,21.8,20.6,16.7,0.087,0.156,0.206,0.216,1,3600.0,949.7,835.3,114.3,927.3,949.7,1203.7,980.0,862.0,118.0,927.3,980.0,1242.2,Tracheophyta; Ceratonia siliqua L.; Magnoliopsida
2015,2015-05-20,Faro,Castro Marim,Castro Marim,Forte de São Sebastião (Sapal de Castro Marim e Vila Real de Santo António. Urbanização Cercado do Poço da Ordem 15. 8950 Castro Marim. Portugal),37.2163333331214,-7.44700000021193,Desconhecida,11.0,2015-05-20T17:00,28.5,16,0.3,24.4,0.0,0.0,0.0,0.0,1,1016.4,1015.1,25,0,0,83,0.48,3.27,14.0,18.7,1,2,28.4,34.3,25.4,21.5,17.0,0.055,0.063,0.086,0.093,1,3600.0,464.6,385.9,78.7,801.6,464.6,643.3,549.0,456.0,93.0,801.6,549.0,760.2,Magnoliopsida; ; Tracheophyta; Ceratonia siliqua L.
2015,2015-05-21,Faro,São Brás de Alportel,São Brás de Alportel,Mesquita Alta (Unnamed Road. 8150. Portugal),37.1491111108992,-7.84152777777778,Desconhecida,250.0,2015-05-21T18:00,22.3,52,12.0,20.4,0.0,0.0,0.0,0.0,0,1020.1,991.1,0,0,0,0,0.26,1.29,17.3,23.4,227,227,40.3,30.6,25.6,21.8,16.8,0.091,0.156,0.191,0.198,1,3600.0,251.0,192.6,58.4,642.3,251.0,400.5,331.0,254.0,77.0,642.3,331.0,528.2,Tracheophyta; Quercus suber L.; Ceratonia siliqua L.; Magnoliopsida; Olea europaea L.; Pinus pinaster Aiton
2015,2015-05-24,Faro,Olhão,Moncarapacho,Fornalha (IP1. 8700 Moncarapacho. Portugal),37.0787222226461,-7.8068333334393,Desconhecida,71.0,2015-05-24T15:00,20.8,60,12.9,20.6,0.2,0.2,0.0,0.0,51,1013.7,1005.4,35,0,9,98,0.41,0.98,11.9,14.2,175,173,27.7,28.3,23.1,21.1,17.1,0.113,0.168,0.211,0.225,1,3600.0,616.3,366.8,249.5,457.3,616.3,1070.0,657.0,391.0,266.0,457.3,657.0,1140.7,Magnoliopsida; Vitis vinifera L.; Tracheophyta; Ceratonia siliqua L.; Olea europaea L.; 
