year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2020,2020-11-02,Faro,Alcoutim,Pereiro,Fonte Zambujo Cima,37.4130555555556,-7.58333333333333,Desconhecida,178.0,2020-11-02T17:00,19.8,78,15.8,19.8,0.0,0.0,0.0,0.0,3,1022.5,1001.5,84,0,99,83,0.07,0.51,13.6,23.9,328,329,33.1,20.7,19.2,19.7,23.4,0.283,0.295,0.203,0.206,1,0.0,19.6,2.4,17.2,27.5,19.6,117.5,41.0,5.0,36.0,28.3,41.0,245.3,
2020,2020-03-06,Faro,Albufeira,Guia,VALVERDE (Cortelhas),37.1422530004713,-8.29707699987623,Desconhecida,61.0,2020-03-06T12:00,17.0,41,3.5,13.4,0.0,0.0,0.0,0.0,0,1026.5,1019.2,2,2,0,0,0.41,1.15,19.4,25.3,338,340,45.4,17.2,14.6,15.7,16.6,0.123,0.174,0.184,0.177,1,3600.0,743.6,623.8,119.8,863.9,743.6,1003.8,714.0,599.0,115.0,863.9,714.0,963.9,Olea europaea L.; Tracheophyta; Ceratonia siliqua L.; Vitis vinifera L.; Magnoliopsida
2020,2020-03-09,Faro,Tavira,Santa Maria Tavira,Ribeira de Alportel,37.1672222222222,-7.69777777777778,Desconhecida,84.0,2020-03-09T13:00,23.3,23,1.0,20.2,0.0,0.0,0.0,0.0,0,1027.2,1017.3,13,0,0,42,0.56,2.21,16.0,21.1,351,351,37.4,22.2,16.9,16.6,17.5,0.115,0.17,0.156,0.177,1,3600.0,787.6,675.5,112.1,902.8,787.6,1038.5,787.0,675.0,112.0,902.8,787.0,1037.7,
2020,2020-03-11,Faro,Vila Real de Santo António,Vila Nova de Cacela,Manta Rota,37.1622222222222,-7.52638888888889,Desconhecida,3.0,2020-03-11T19:00,19.7,49,8.7,18.8,0.0,0.0,0.0,0.0,1,1018.8,1018.4,29,0,0,96,0.05,1.18,4.0,5.4,270,176,7.6,20.3,18.5,16.5,16.9,0.181,0.223,0.226,0.187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,11.3,11.0,62.4,
2020,2020-03-15,Faro,Castro Marim,Odeleite,Negros,37.2758333333333,-7.58611111111111,Desconhecida,186.0,2020-03-15T11:00,19.2,55,10.1,18.2,0.0,0.0,0.0,0.0,0,1017.0,995.2,10,0,0,32,0.38,1.0,10.5,13.4,172,174,28.8,18.1,16.1,16.3,16.0,0.175,0.205,0.211,0.188,1,3600.0,686.6,565.7,120.9,806.0,686.6,971.0,636.0,524.0,112.0,806.0,636.0,899.4,
2020,2020-03-16,Faro,Vila Real de Santo António,Vila Real de Santo António,VILA REAL DE SANTO ANTÓNIO,37.1861111111111,-7.415,Desconhecida,13.0,2020-03-16T19:00,15.3,47,4.0,11.1,0.0,0.0,0.0,0.0,0,1015.9,1014.3,3,0,5,0,0.12,0.93,18.8,28.8,340,342,33.1,15.3,15.3,15.3,15.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,11.0,52.6,16.0,71.2,
2020,2020-03-16,Faro,Vila Real de Santo António,Vila Real de Santo António,VILA REAL DE SANTO ANTÓNIO,37.1861111111111,-7.415,Desconhecida,13.0,2020-03-16T22:00,13.8,52,4.1,9.5,0.0,0.0,0.0,0.0,0,1017.6,1016.0,11,0,15,8,0.09,0.76,20.1,29.3,327,331,25.6,15.2,15.2,15.2,15.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020,2020-05-03,Faro,Vila Real de Santo António,Monte Gordo,Hortas,37.1863888888889,-7.44027777777778,Desconhecida,11.0,2020-05-03T13:00,19.5,77,15.4,22.9,0.0,0.0,0.0,0.0,1,1014.4,1013.1,25,0,0,83,0.54,0.51,5.4,12.7,160,135,9.4,17.1,17.1,17.1,17.1,0.0,0.0,0.0,0.0,1,3600.0,921.1,769.1,152.0,832.5,921.1,1243.7,927.0,774.0,153.0,832.5,927.0,1251.7,
2020,2020-05-03,Faro,Vila Real de Santo António,Monte Gordo,Hortas,37.1847222222222,-7.44444444444444,Desconhecida,11.0,2020-05-03T21:00,21.7,60,13.6,22.5,0.0,0.0,0.0,0.0,1,1012.0,1010.7,27,0,0,89,0.0,1.04,2.9,6.5,277,177,10.8,21.7,22.3,18.2,16.6,0.265,0.296,0.271,0.187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020,2020-05-27,Faro,Albufeira,Albufeira,Escola EB 2-3,37.0966666666667,-8.23555555555556,Desconhecida,60.0,2020-05-27T19:00,23.8,55,14.2,22.1,0.0,0.0,0.0,0.0,0,1017.7,1010.7,0,0,0,0,0.19,1.32,21.1,32.1,115,115,40.7,28.6,25.4,21.1,17.2,0.114,0.204,0.197,0.107,1,3600.0,82.1,48.0,34.1,391.7,82.1,163.4,147.0,86.0,61.0,391.7,147.0,292.5,
