year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2003,2003-09-12,Lisboa,Loures,Camarate,CAMARATE,38.7979738,-9.137797597001224,NC,130.0,2003-09-12T00:00,25.1,48,13.3,23.3,0.0,0.0,0.0,0.0,0,1019.4,1004.4,0,0,0,1,0.14,1.65,19.3,33.9,24,35,31.0,24.7,25.5,23.9,23.5,0.237,0.271,0.306,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracheophyta; Olea europaea L.; Magnoliopsida; 
2003,2003-09-12,Lisboa,Loures,Lousa,Fontelas,38.8666199,-9.221234,NC,117.0,2003-09-12T14:00,34.4,16,5.4,32.3,0.0,0.0,0.0,0.0,0,1018.5,1005.4,6,0,0,20,0.75,4.55,16.4,22.2,50,58,28.4,37.3,26.2,23.4,22.3,0.089,0.156,0.213,0.326,1,3600.0,790.0,681.1,108.9,887.3,790.0,1036.7,820.0,707.0,113.0,887.3,820.0,1076.0,Tracheophyta; Magnoliopsida; Pinus pinaster Aiton; Eucalyptus L'Hér.; Pinales; ; Pinus pinea L.
2003,2003-09-13,Leiria,Caldas da Rainha,Alvorninha,ALVORNINHA,39.384110750000005,-9.031275318166486,NC,90.0,2003-09-13T22:00,23.8,51,13.1,23.6,0.0,0.0,0.0,0.0,0,1018.3,1007.8,6,0,0,21,0.06,1.44,8.7,22.7,353,4,16.9,24.8,27.4,23.2,21.9,0.094,0.155,0.207,0.324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Tracheophyta; Eucalyptus L'Hér.; Vitis vinifera L.; Olea europaea L.
2003,2003-09-10,Lisboa,Odivelas,Caneças,Vale de Nogueira,38.8234895,-9.2237172,NC,270.0,2003-09-10T13:00,27.7,24,5.3,26.5,0.0,0.0,0.0,0.0,0,1020.6,989.9,0,0,0,0,0.65,2.83,12.5,15.6,49,50,29.2,32.2,22.2,22.1,21.2,0.092,0.156,0.214,0.327,1,3600.0,861.2,755.5,105.7,915.5,861.2,1113.4,864.0,758.0,106.0,915.5,864.0,1117.0,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida; Olea europaea L.; Pinus pinea L.; 
2003,2003-09-17,Leiria,Alcobaça,São Martinho do Porto,Serra de Mangues,39.5219543,-9.120685007004628,NC,40.0,2003-09-17T21:00,22.3,64,15.1,21.8,0.0,0.0,0.0,0.0,0,1018.3,1013.6,0,0,0,0,0.07,0.98,15.1,27.3,12,16,25.9,24.1,26.4,23.6,22.1,0.043,0.066,0.114,0.215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracheophyta; Vitis vinifera L.; Magnoliopsida; Eucalyptus L'Hér.; Pinus pinaster Aiton
2003,2003-08-25,Lisboa,Sintra,São João das Lampas,Peroleite,38.9105453,-9.3892826,NC,120.0,2003-08-25T22:00,18.7,81,15.4,18.2,0.0,0.0,0.0,0.0,0,1019.8,1005.6,11,12,0,0,0.03,0.4,15.8,24.1,339,340,29.2,21.3,25.7,24.3,21.4,0.072,0.161,0.232,0.344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracheophyta; Magnoliopsida; Pinus pinaster Aiton; Pinus pinea L.; Vitis vinifera L.; Pinales; Olea europaea L.; 
2003,2003-09-17,Lisboa,Loures,Fanhões,Ribas de Cima,38.9030645,-9.1763398,NC,228.0,2003-09-17T19:00,23.9,52,13.3,23.1,0.0,0.0,0.0,0.0,0,1017.1,990.8,0,0,0,0,0.11,1.43,12.9,23.3,330,338,22.7,27.8,26.5,23.6,21.7,0.089,0.155,0.211,0.324,0,496.72,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,11.0,118.3,23.0,78.5,Magnoliopsida; Tracheophyta; Eucalyptus L'Hér.; 
2003,2003-09-10,Lisboa,Sintra,Montelavar,Outeiro,38.8571312,-9.3250289,NC,150.0,2003-09-10T13:00,26.2,33,8.8,25.9,0.0,0.0,0.0,0.0,0,1020.5,1003.2,0,0,0,0,0.62,2.26,11.6,14.6,30,40,21.2,32.8,22.9,22.8,21.9,0.087,0.158,0.22,0.332,1,3600.0,859.4,757.7,101.7,917.9,859.4,1113.7,862.0,760.0,102.0,917.9,862.0,1117.0,Tracheophyta; Magnoliopsida; Pinus pinaster Aiton; Eucalyptus L'Hér.; Vitis vinifera L.; 
2003,2003-09-17,Lisboa,Cascais,São Domingos de Rana,SÃO DOMINGOS DE RANA,38.72511365,-9.355976966821707,NC,92.0,2003-09-17T06:00,20.7,65,14.0,20.5,0.0,0.0,0.0,0.0,0,1019.6,1008.8,0,0,0,0,0.04,0.84,10.0,18.1,38,44,20.2,21.3,23.6,22.9,21.2,0.132,0.166,0.222,0.328,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracheophyta; Magnoliopsida
2003,2003-09-17,Santarém,Santarém,Santa Iria Da Ribeira De Santarém,Santarém,39.2420958,-8.6750993,NC,20.0,2003-09-17T14:00,33.5,17,5.3,32.2,0.0,0.0,0.0,0.0,0,1018.4,1016.1,0,0,0,0,0.67,4.28,10.5,13.1,98,98,27.7,35.9,26.9,24.7,22.3,0.198,0.23,0.247,0.359,1,3600.0,765.2,666.3,98.9,901.8,765.2,1000.5,797.0,694.0,103.0,901.8,797.0,1042.1,Tracheophyta; Magnoliopsida; Pinus pinea L.; Vitis vinifera L.
2003,2003-09-13,Lisboa,Cascais,Alcabideche,ALCABIDECHE,38.73146925,-9.410701803202649,NC,119.0,2003-09-13T10:00,23.2,52,12.9,23.1,0.0,0.0,0.0,0.0,0,1019.8,1005.9,11,0,0,36,0.37,1.35,7.2,9.8,117,118,18.7,26.7,24.0,22.4,21.2,0.078,0.116,0.172,0.271,1,3600.0,639.3,539.7,99.7,826.4,639.3,882.3,571.0,482.0,89.0,826.4,571.0,788.0,Tracheophyta; Eucalyptus L'Hér.; Magnoliopsida; Pinus pinea L.; Pinus pinaster Aiton; Pinales; Vitis vinifera L.; 
2003,2003-09-17,Lisboa,Alenquer,Ribafria,Ribafria,39.06415665,-9.08696556489279,NC,138.0,2003-09-17T15:00,31.5,21,6.6,31.2,0.0,0.0,0.0,0.0,0,1017.4,1001.8,0,0,0,0,0.51,3.65,3.7,5.4,79,82,19.8,40.4,27.2,24.7,22.8,0.079,0.152,0.205,0.319,1,3600.0,652.1,562.7,89.5,875.6,652.1,870.2,707.0,610.0,97.0,875.6,707.0,943.4,Vitis vinifera L.; Tracheophyta; Pinales; Eucalyptus L'Hér.; Magnoliopsida
2003,2003-05-24,Santarém,Santarém,Vale de Figueira,VALE DE FIGUEIRA,39.31378105,-8.62982955174531,NC,49.0,2003-05-24T19:00,16.2,56,7.4,10.9,0.0,0.0,0.0,0.0,0,1016.8,1010.9,4,0,0,14,0.18,0.82,31.9,46.5,344,345,64.4,20.8,21.4,18.2,14.3,0.231,0.28,0.359,0.413,1,3600.0,101.9,68.3,33.6,504.7,101.9,180.6,173.0,116.0,57.0,504.7,173.0,306.6,Vitis vinifera L.; Tracheophyta; Olea europaea L.; Magnoliopsida
2003,2003-09-15,Lisboa,Oeiras,Barcarena,Leceia,38.7282954,-9.2845651,NC,118.0,2003-09-15T11:00,22.5,73,17.4,23.5,0.0,0.0,0.0,0.0,0,1017.5,1003.7,0,0,0,0,0.4,0.74,16.6,21.6,181,182,36.0,26.1,23.9,22.6,20.9,0.133,0.166,0.222,0.328,1,3600.0,743.6,637.8,105.8,850.2,743.6,1014.8,696.0,597.0,99.0,850.2,696.0,949.8,Tracheophyta; Magnoliopsida; Pinus pinea L.; Vitis vinifera L.; Eucalyptus L'Hér.; Olea europaea L.; Pinus pinaster Aiton
