year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation2010,2010-02-14,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,41.11258085,-8.597501604999291,NC,206.0,2010-02-14T17:00,8.1,49,-2.0,3.8,0.0,0.0.1,0.0.2,0.0.3,3,1004.1,979.3,85,0,92,100,0.11,0.55,12.6,21.6,87,93,31.7,7.4,5.6,8.5,11.5,0.371,0.382,0.389,0.411,1,3600.0,128.9,47.4,81.6,253.2,128.9.1,262.6,185.0,68.0,117.0,253.2.1,185.0.1,376.8,scientificNames
2010,2010-07-27,Coimbra,Vila Nova de Poiares,Poiares (Santo André),loredo (Louredo),40.2361056,-8.2848503,Desconhecida,61.0,2010-07-27T14:00,38.4,19,10.6,40.0,0.0,0.0,0.0,0.0,0,1012.6,1005.9,0,0,0,0,0.77,5.5,6.1,6.9,320,321,20.9,44.7,28.4,22.5,18.6,0.055,0.071,0.107,0.229,1,3600.0,901.2,797.1,104.1,896.2,901.2,1179.5,926.0,819.0,107.0,896.2,926.0,1211.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Eucalyptus L'Hér.; Acacia Mill.; Tracheophyta
2010,2010-06-27,Aveiro,Santa Maria da Feira,Argoncilhe,Rua Caminho Fundo (Rua Central de Gougêva),41.0183885,-8.5477254,Desconhecida,225.0,2010-06-27T21:00,21.8,83,18.9,24.5,0.0,0.0,0.0,0.0,0,1017.2,991.1,14,0,4,39,0.0,0.44,4.0,7.9,333,360,14.8,23.4,23.4,18.8,14.9,0.152,0.185,0.242,0.345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Magnoliopsida; Tracheophyta; Quercus L.
2010,2010-07-19,Braga,Vieira do Minho,Ruivães,ESPINDO(RUIVAES) (Espindo),41.680827050000005,-8.047601299533635,Desconhecida,568.0,2010-07-19T06:00,17.2,88,15.2,18.4,0.0,0.0,0.0,0.0,0,1019.3,953.8,0,0,0,0,0.01,0.23,3.4,4.8,72,42,14.4,16.8,21.1,19.0,14.8,0.127,0.196,0.282,0.365,1,341.93,48.5,23.1,25.4,195.4,26.0,156.4,21.0,10.0,11.0,104.9,21.0,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Quercus L.; Pinus pinaster Aiton; Tracheophyta
2010,2010-07-19,Faro,Loulé,Loulé (são Sebastião),Sitio do Pinheiro (AMEIXIAL),37.1042597,-8.0582707,Desconhecida,52.0,2010-07-19T05:00,19.7,76,15.5,20.0,0.0,0.0,0.0,0.0,0,1018.3,1012.1,9,10,0,0,0.02,0.54,10.5,18.1,352,354,17.6,22.3,27.3,24.9,20.2,0.099,0.156,0.229,0.317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Ceratonia siliqua L.
2010,2010-07-27,Leiria,Pombal,Pombal,Pombal,39.92194355,-8.636895489112948,Desconhecida,58.0,2010-07-27T10:00,34.4,23,10.3,32.8,0.0,0.0,0.0,0.0,0,1012.6,1006.1,0,0,0,0,0.64,4.17,15.8,22.7,111,113,32.4,34.4,26.5,21.9,18.6,0.048,0.061,0.096,0.215,1,3600.0,744.9,639.5,105.3,838.7,744.9,1011.2,679.0,583.0,96.0,838.7,679.0,921.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Pinus pinaster Aiton; Olea europaea L.; Magnoliopsida; Eucalyptus L'Hér.
2010,2010-07-27,Porto,Gondomar,São Pedro da Cova,R.ANTONIO FERREIRA DA SILVA (Rio Ferreira),41.1518381,-8.5074361,NC,83.0,2010-07-27T16:00,35.5,24,11.6,35.6,0.0,0.0,0.0,0.0,0,1013.1,1003.8,0,0,0,0,0.63,4.42,10.2,12.6,321,323,17.6,38.4,28.1,22.4,18.1,0.104,0.147,0.228,0.351,1,3600.0,664.4,576.0,88.4,854.4,664.4,894.0,729.0,632.0,97.0,854.4,729.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.; Pinus pinaster Aiton
2010,2010-07-01,Viana do Castelo,Caminha,Vilarelho,Morno,41.8646734,-8.8307122,Desconhecida,26.0,2010-07-01T21:00,18.2,85,15.7,19.6,0.0,0.0,0.0,0.0,1,1015.7,1012.6,25,1,0,80,0.01,0.31,4.0,7.4,297,309,9.4,22.4,23.9,20.4,16.2,0.097,0.214,0.292,0.37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida; Pinus pinaster Aiton
2010,2010-06-28,Porto,Vila do Conde,Guilhabreu,RUA DA MECA (Rua de Quires),41.2945953,-8.6382243,NC,112.0,2010-06-28T00:00,21.9,84,19.0,24.6,0.0,0.0,0.0,0.0,0,1017.5,1004.4,3,0,0,9,0.0,0.43,4.3,7.0,132,125,7.9,20.7,23.1,19.1,15.2,0.139,0.216,0.284,0.371,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.; Magnoliopsida
2010,2010-07-27,Aveiro,Santa Maria da Feira,São João de Ver,Rua Fernando de Almeida (SÃO JOÃO DE VÊR),40.95530765,-8.551133345203194,Desconhecida,169.0,2010-07-27T10:00,31.0,31,11.9,29.9,0.0,0.0,0.0,0.0,0,1013.9,994.9,0,0,0,0,0.59,3.11,16.3,21.7,95,96,36.4,30.8,26.2,21.8,17.7,0.09,0.125,0.196,0.325,1,3600.0,743.7,639.7,104.1,841.5,743.7,1008.0,679.0,584.0,95.0,841.5,679.0,920.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Pinus pinaster Aiton; Eucalyptus L'Hér.; Quercus suber L.; Magnoliopsida
2010,2010-07-27,Porto,Penafiel,Marecos,CAMPO (Campo Bom),41.186518,-8.2971088,NC,223.0,2010-07-27T14:00,35.1,22,10.2,37.3,0.0,0.0,0.0,0.0,0,1013.8,989.1,0,0,0,0,0.7,4.41,2.4,3.2,63,63,18.0,36.4,25.8,21.3,17.0,0.112,0.152,0.235,0.353,1,3600.0,905.2,802.0,103.2,907.5,905.2,1171.9,930.0,824.0,106.0,907.5,930.0,1204.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.; Vitis vinifera L.; Magnoliopsida
