year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2022,2022-05-15,Vila Real,Mondim de Basto,Atei,ATEI (Ribeiro das Lajinhas),41.4321000003815,-7.90587200005849,Reacendimento,598.0,2022-05-15T16:00,16.6,65,9.9,13.5,0.2,0.2,0.0,0.0,51,1015.7,947.0,92,35,89,25,0.25,0.67,21.1,31.1,223,223,51.1,18.7,16.7,14.5,10.2,0.282,0.234,0.312,0.358,1,3600.0,362.2,115.6,246.6,180.1,362.2,859.3,401.0,128.0,273.0,180.1,401.0,951.5,
2022,2022-05-22,Vila Real,Mondim de Basto,Paradança,PARADANÇA (Fragas),41.3688369999992,-7.94839799986945,Natural,414.0,2022-05-22T08:00,16.3,89,14.4,17.3,0.0,0.0,0.0,0.0,3,1013.6,965.5,96,91,20,7,0.11,0.21,2.4,2.6,333,344,13.3,17.5,18.5,16.2,12.0,0.296,0.234,0.3,0.352,1,3468.33,237.3,88.4,148.9,175.6,237.3,671.8,196.0,73.0,123.0,175.6,196.0,555.0,
2022,2022-05-26,Vila Real,Mondim de Basto,Paradança,PARADANÇA (Fragas),41.3689400000042,-7.94901700019836,Reacendimento,414.0,2022-05-26T15:00,26.9,35,10.3,27.5,0.0,0.0,0.0,0.0,0,1021.7,974.9,12,0,0,40,0.61,2.29,8.7,11.5,42,51,23.0,25.2,17.4,15.6,12.3,0.21,0.237,0.29,0.351,1,3600.0,805.7,706.0,99.8,891.0,805.7,1056.2,856.0,750.0,106.0,891.0,856.0,1122.1,
2022,2022-05-27,Vila Real,Vila Real,Vila Real (Nossa Senhora da Conceição),AV AURELIANO BARRIGAS (Quinta das Frutas),41.3069800000721,-7.73795300006866,Desconhecida,454.0,2022-05-27T10:00,24.0,35,7.4,22.7,0.0,0.0,0.0,0.0,0,1021.9,970.2,0,0,0,0,0.52,1.95,11.3,14.7,81,79,30.2,22.8,19.7,17.2,13.0,0.155,0.178,0.2,0.283,1,3600.0,802.3,695.1,107.2,869.4,802.3,1065.5,741.0,642.0,99.0,869.4,741.0,984.1,
2022,2022-05-29,Vila Real,Valpaços,Santa Maria de Emeres,Alto do Pendão,41.5483333333333,-7.36666666666667,Natural,510.0,2022-05-29T16:00,24.7,49,13.4,22.8,0.0,0.0,0.0,0.0,1,1005.7,948.9,44,9,9,100,0.38,1.57,20.2,27.7,271,269,45.7,32.3,24.4,17.8,12.2,0.122,0.154,0.159,0.275,1,3600.0,410.9,171.4,239.5,259.3,410.9,880.4,453.0,189.0,264.0,259.3,453.0,970.7,
2022,2022-06-04,Vila Real,Ribeira de Pena,Santo Aleixo de Além-tâmega,Bragadas (Alto do Moinho),41.5409700001611,-7.82947999954224,Natural,459.0,2022-06-04T19:00,17.0,75,12.4,16.5,0.0,0.0,0.0,0.0,0,1018.6,965.3,14,16,0,0,0.1,0.49,8.7,13.7,265,270,29.5,19.0,17.3,15.7,12.3,0.302,0.268,0.288,0.354,1,3600.0,115.3,75.4,39.9,460.9,115.3,217.4,179.0,117.0,62.0,460.9,179.0,337.4,
2022,2022-06-10,Vila Real,Chaves,Sanfins,Fontainhas,41.7902777777778,-7.20805555555556,Desconhecida,706.0,2022-06-10T14:00,32.1,22,7.7,33.6,0.0,0.0,0.0,0.0,1,1017.4,940.7,41,0,36,64,0.64,3.74,1.1,1.5,270,256,17.3,33.4,22.1,17.1,12.4,0.141,0.137,0.167,0.273,1,3600.0,852.6,687.7,164.9,770.4,852.6,1184.6,879.0,709.0,170.0,770.4,879.0,1221.2,
2022,2022-06-12,Vila Real,Valpaços,Argeriz,Outeiro do Homem,41.5966666666667,-7.39472222222222,Reacendimento,711.0,2022-06-12T13:00,33.6,23,9.5,33.9,0.0,0.0,0.0,0.0,0,1015.6,938.8,17,0,27,4,0.8,4.01,12.6,16.5,239,238,31.7,34.3,24.0,17.7,12.1,0.129,0.156,0.161,0.272,1,3600.0,950.8,840.3,110.5,891.4,950.8,1250.5,955.0,844.0,111.0,891.4,955.0,1256.0,
2022,2022-06-13,Vila Real,Chaves,Santo Estêvão,SANTO ESTEVÃO (Alto do Vale do Lobo),41.7669650000003,-7.41004799948798,Desconhecida,376.0,2022-06-13T13:00,35.8,23,11.3,37.2,0.0,0.0,0.0,0.0,1,1013.7,972.6,26,0,0,88,0.8,4.54,9.4,11.7,137,137,30.2,36.2,26.0,19.6,13.8,0.124,0.134,0.153,0.272,1,3600.0,951.0,826.5,124.5,877.4,951.0,1249.3,955.0,830.0,125.0,877.4,955.0,1254.6,
2022,2022-06-13,Vila Real,Vila Real,Vila Real (Nossa Senhora da Conceição),Saída da IP 4/ Hospital (Rua de Nossa Senhora da Esperança),41.3080850002501,-7.75133199996418,Desconhecida,393.0,2022-06-13T16:00,35.1,27,13.4,34.2,0.0,0.0,0.0,0.0,0,1012.5,969.5,5,2,4,2,0.59,4.13,15.1,19.9,220,221,36.4,37.1,27.3,19.9,14.6,0.134,0.144,0.17,0.279,1,3600.0,535.9,380.0,155.8,557.3,535.9,904.4,588.0,417.0,171.0,557.3,588.0,992.4,
