year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2013,2013-07-10,Braga,Póvoa de Lanhoso,Sobradelo da Goma,L.VILARINHO,41.5585940000746,-8.17342599974738,Reacendimento,278.0,2013-07-10T01:00,21.4,70,15.6,23.0,0.0,0.0,0.0,0.0,0,1014.3,982.2,0,0,0,1,0.0,0.77,2.0,1.1,45,162,4.3,21.2,26.7,21.3,14.3,0.094,0.157,0.243,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-07-10,Braga,Guimarães,Urgezes,AV. D. JOÃO IV(M.3),41.4286739995745,-8.29222499953376,NC,269.0,2013-07-10T01:00,21.6,71,16.2,23.4,0.0,0.0,0.0,0.0,0,1014.3,983.3,0,0,0,1,0.0,0.74,2.0,1.1,45,162,4.3,21.3,26.7,21.4,14.4,0.097,0.159,0.246,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-07-10,Braga,Vila Nova de Famalicão,Gavião,RIBEIRA,41.4239440001382,-8.50733999994066,NC,133.0,2013-07-10T00:00,21.2,82,18.0,23.9,0.0,0.0,0.0,0.0,1,1014.5,999.0,41,44,0,5,0.0,0.45,1.4,4.4,180,171,6.5,22.6,26.9,21.8,15.2,0.115,0.152,0.233,0.359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-07-10,Braga,Fafe,Queimadela,BARRAGEM(M3),41.5151769998338,-8.14947299957275,NC,510.0,2013-07-10T06:00,18.0,68,12.0,18.2,0.0,0.0,0.0,0.0,0,1013.6,955.1,1,1,0,0,0.02,0.66,3.2,5.1,153,219,6.8,17.3,24.0,20.1,13.1,0.096,0.155,0.243,0.355,1,1014.35,68.0,36.3,31.7,263.6,39.3,182.1,30.0,16.0,14.0,152.4,30.0,80.3,
2013,2013-07-14,Braga,Fafe,Revelhe,SENRA (M3),41.491597000228,-8.15849500020345,NC,453.0,2013-07-14T23:00,20.1,78,16.2,21.9,0.0,0.0,0.0,0.0,0,1019.3,967.2,6,0,10,0,0.0,0.51,2.3,2.4,309,333,10.4,21.5,24.2,20.9,14.0,0.142,0.15,0.235,0.351,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-07-14,Braga,Vila Nova de Famalicão,Ribeirão,L. FERREIROS,41.3599889998966,-8.56245699988471,Desconhecida,43.0,2013-07-14T18:00,25.7,63,18.1,26.9,0.0,0.0,0.0,0.0,0,1017.6,1012.6,7,0,11,2,0.25,1.22,11.8,14.8,297,299,24.1,29.7,25.4,22.3,16.4,0.104,0.151,0.235,0.352,1,3600.0,260.1,178.8,81.3,491.0,260.1,482.0,323.0,222.0,101.0,491.0,323.0,598.5,
2013,2013-07-14,Braga,Guimarães,São Torcato,L. MOGEGE,41.4859139998754,-8.25949099964566,NC,287.0,2013-07-14T16:00,26.2,62,18.2,27.3,0.6,0.6,0.0,0.0,53,1017.6,984.9,21,1,16,36,0.37,1.3,12.7,16.8,278,279,28.1,31.1,25.1,21.6,14.9,0.14,0.151,0.237,0.351,1,3600.0,450.7,305.4,145.4,443.1,450.7,912.2,493.0,334.0,159.0,443.1,493.0,997.7,
2013,2013-07-13,Braga,Barcelos,Paradela,MOINHOS (M2),41.4567580000559,-8.68617499987284,Reacendimento,79.0,2013-07-13T11:00,22.9,70,17.1,24.1,0.0,0.0,0.0,0.0,3,1017.4,1008.2,88,98,0,0,0.35,0.85,8.8,9.5,261,261,18.4,26.8,23.3,21.9,15.9,0.102,0.16,0.245,0.355,1,3600.0,568.6,277.5,291.2,316.8,568.6,1159.2,539.0,263.0,276.0,316.8,539.0,1098.8,
2013,2013-07-13,Braga,Vila Verde,Cervães,L. LEIROINHA (M2),41.5996250004239,-8.52367699993981,Desconhecida,117.0,2013-07-13T17:00,24.8,64,17.5,25.8,0.0,0.0,0.0,0.0,2,1017.2,1003.7,69,75,1,4,0.31,1.12,11.7,14.6,279,280,36.0,30.2,25.3,22.0,15.4,0.098,0.155,0.241,0.353,1,3600.0,385.8,253.1,132.7,469.2,385.8,713.9,442.0,290.0,152.0,469.2,442.0,818.0,
2013,2013-07-14,Braga,Vila Nova de Famalicão,Riba de Ave,R. CONDE DE RIBA DAVE(M5),41.3899019998974,-8.38778699980842,Desconhecida,142.0,2013-07-14T01:00,19.6,87,17.3,21.8,0.0,0.0,0.0,0.0,0,1018.8,1002.1,0,0,0,0,0.0,0.3,3.1,4.3,306,336,5.0,21.1,24.6,22.1,15.6,0.104,0.16,0.245,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
