year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2002,2002-09-14,Guarda,Guarda,Marmeleiro,MARMELEIRO,40.4684347,-7.1253137,NC,791.0,2002-09-14T20:00,16.6,83,13.7,17.2,0.1,0.1,0.0,0.0,51,1012.9,923.5,81,0,85,99,0.0,0.32,4.1,10.1,135,153,17.6,18.4,20.1,19.6,18.9,0.24,0.184,0.159,0.285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,2002-08-10,Guarda,Guarda,Guarda (são Vicente),São Vicente,40.5450153,-7.2617102,NC,897.0,2002-08-10T07:00,14.0,90,12.5,11.8,0.0,0.0,0.0,0.0,3,1013.0,911.4,100,100,15,76,0.04,0.15,20.4,29.2,279,279,44.6,18.0,23.1,22.4,17.3,0.105,0.197,0.261,0.353,1,0.0,44.7,1.6,43.1,6.2,43.6,341.2,28.0,1.0,27.0,6.1,28.0,213.9
2002,2002-07-18,Aveiro,Ovar,Ovar,Esteiro do Puchadouro,40.8454766,-8.6909437,NC,0.0,2002-07-18T13:00,30.6,36,13.8,31.7,0.0,0.0,0.0,0.0,0,1011.7,1011.7,20,22,0,0,0.75,2.82,15.6,17.0,285,287,28.4,41.1,26.2,21.2,17.9,0.043,0.09,0.143,0.225,1,3600.0,956.2,843.2,113.0,899.1,956.2,1241.8,956.0,843.0,113.0,899.1,956.0,1241.5
2002,2002-07-24,Braga,Barcelos,Silveiros,L.SÃO SALVADOR,41.4684787,-8.582788,NC,143.0,2002-07-24T10:00,23.6,55,14.1,25.0,0.0,0.0,0.0,0.0,0,1022.8,1006.1,5,0,0,17,0.44,1.31,5.7,7.6,18,25,20.9,23.2,19.9,19.5,16.0,0.229,0.187,0.252,0.345,1,3600.0,743.6,627.7,115.9,822.1,743.6,1012.0,680.0,574.0,106.0,822.1,680.0,925.4
2002,2002-08-20,Braga,Cabeceiras de Basto,Vilar de Cunhas,Travessa \ REG,41.5603721,-7.9120912,NC,694.0,2002-08-20T11:00,22.0,44,9.1,22.7,0.0,0.0,0.0,0.0,0,1018.2,940.2,3,0,0,9,0.5,1.49,3.4,3.9,288,292,19.8,25.7,19.9,19.4,15.8,0.109,0.153,0.231,0.337,1,3600.0,823.6,717.6,106.0,884.5,823.6,1084.0,777.0,677.0,100.0,884.5,777.0,1022.6
2002,2002-08-08,Braga,Terras de Bouro,Vilar da Veiga,PORTO DO LAGE,41.6764835,-8.1744881,NC,178.0,2002-08-08T09:00,21.6,55,12.3,20.3,0.0,0.0,0.0,0.0,1,1017.7,997.0,29,0,0,98,0.32,1.16,14.1,18.7,13,16,31.0,22.7,22.2,20.8,17.2,0.102,0.162,0.244,0.346,1,3600.0,563.1,464.8,98.3,775.8,563.1,797.0,487.0,402.0,85.0,775.8,487.0,689.3
2002,2002-08-08,Braga,Terras de Bouro,Vilar da Veiga,PORTO DO LAGE,41.729705,-8.1305239,NC,869.0,2002-08-08T09:00,17.0,61,9.3,15.2,0.0,0.0,0.0,0.0,1,1019.2,921.0,31,2,0,97,0.27,0.77,11.8,15.8,27,30,32.8,19.2,19.1,18.0,14.4,0.113,0.175,0.253,0.349,1,3600.0,555.5,455.0,100.5,756.5,555.5,800.1,481.0,394.0,87.0,756.5,481.0,692.8
2002,2002-07-18,Braga,Vieira do Minho,Rossas,Vale de Abrigo,41.5853434,-8.1051347,NC,411.0,2002-07-18T02:00,16.0,68,10.2,14.8,0.0,0.0,0.0,0.0,0,1013.0,965.2,17,0,0,56,0.02,0.57,9.0,12.2,88,88,22.0,17.5,21.6,18.3,14.6,0.129,0.197,0.266,0.354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,2002-07-26,Porto,Trofa,Alvarelhos,NC,41.3103597,-8.6095624,NC,70.0,2002-07-26T23:00,17.8,88,15.8,18.9,0.0,0.0,0.0,0.0,0,1014.9,1006.6,1,0,2,0,0.0,0.25,6.2,10.5,306,319,18.0,20.8,23.6,20.6,16.9,0.176,0.189,0.237,0.335,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,2002-05-28,Setúbal,Montijo,Afonsoeiro,Sarilhos,38.6997227,-8.9636176,NC,3.0,2002-05-28T16:00,21.5,53,11.4,19.6,0.0,0.0,0.0,0.0,0,1015.8,1015.4,0,0,0,0,0.45,1.21,21.5,28.5,329,332,44.3,24.0,19.7,18.7,17.6,0.19,0.208,0.248,0.265,1,3600.0,663.5,562.7,100.7,829.1,663.5,904.1,731.0,620.0,111.0,829.1,731.0,996.2
