name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"40.165448, -7.17927",2021-07-21T00:00:00,19.1,19.1,-1.9,24.08,0,0,,,,,14.4,290,,0,,0,0,0,,Clear,clear-night,08568099999
"40.165448, -7.17927",2021-07-21T01:00:00,19.4,19.4,6.1,41.87,0,0,,,,,5.4,259,1017,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T02:00:00,18.4,18.4,8.8,53.53,0,0,,,,,5.7,246,1016.8,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T03:00:00,17.1,17.1,10.1,63.47,0,0,,,,,3.6,290,1016.9,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T04:00:00,16.6,16.6,9.9,64.94,0,0,,,,,3.6,226,1016.8,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T05:00:00,15.6,15.6,10,69.5,0,0,,,,,4.1,140,1016.9,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T06:00:00,15.5,15.5,9.6,67.93,0,0,,,,,3.4,91,1017.1,0,,25.6,0.1,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T07:00:00,15.7,15.7,8.9,64.3,0,0,,,,1.8,1.6,78,1017.6,0,,12,0,0,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T08:00:00,18.2,18.2,10.5,60.78,0,0,,,,,5.5,210,1017.9,0,,42,0.2,0,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T09:00:00,20.6,20.6,11.5,55.97,0,0,,,,,6,142,1018.3,0,,92,0.3,1,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T10:00:00,22.2,22.2,12.1,52.75,0,0,,,,,5.5,161,1018.5,0,,224,0.8,2,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T11:00:00,24.3,24.3,12.4,47.32,0,0,,,,,8.6,143,1018.5,0,,527,1.9,5,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T12:00:00,25.7,25.7,11.3,40.6,0,0,,,,,10.2,169,1018.6,0,,745,2.7,7,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T13:00:00,26.7,26.5,10.5,36.14,0,0,,,,,6.2,137,1018.5,0,,829,3,8,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T14:00:00,25.2,25.2,8.2,33.93,0,0,,,,,10.8,110,,0,,854,3.1,9,,Clear,clear-day,"08568099999,E9353"
"40.165448, -7.17927",2021-07-21T15:00:00,29.1,27.7,6.1,23.41,0,0,,,,,9,163,1017.5,0,,832,3,8,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T16:00:00,29.8,28,3.2,18.38,0,0,,,,,7.5,128,1017.1,0,,757,2.7,8,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T17:00:00,27.7,26.8,7.7,28.34,0,0,,,,,14.5,244,1016.8,0,,642,2.3,6,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T18:00:00,28,27.1,8.4,29.2,0,0,,,,,12.2,245,1016.4,0,,495,1.8,5,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T19:00:00,26.8,26.5,9.7,34.07,0,0,,,,,9.1,253,1016.4,0,,324,1.2,3,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T20:00:00,24.8,24.8,11.6,43.59,0,0,,,,,13.2,275,1016.6,0,,145,0.5,1,,Clear,clear-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T21:00:00,22.1,22.1,9.9,46.02,0,0,,,,,10.3,262,1017.1,0,,27,0.1,0,,Clear,clear-night,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-07-21T22:00:00,20.9,20.9,10.5,51.42,0,0,,,,,10.8,239,1017.3,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-07-21T23:00:00,20.6,20.6,7.5,42.69,0,0,,,,,11,214,1017.4,0,,0,0,0,,Clear,clear-night,"08570099999,08568099999"
