year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2019,2019-08-29,Faro,Silves,Armação de Pêra,Canelas,37.1169444444444,-8.35472222222222,Desconhecida,20.0,2019-08-29T08:00,22.4,70,16.7,23.8,0.0,0.0,0.0,0.0,0,1017.2,1014.9,0,0,0,0,0.14,0.8,6.5,10.3,71,78,18.7,20.1,20.1,20.1,20.1,0.0,0.0,0.0,0.0,1,3600.0,283.4,193.4,90.0,501.1,283.4,517.7,211.0,144.0,67.0,501.1,211.0,385.4,Olea europaea L.; Magnoliopsida; Tracheophyta; 
2019,2019-08-29,Faro,Vila Real de Santo António,Monte Gordo,Hortas,37.1847222222222,-7.4425,Desconhecida,9.0,2019-08-29T16:00,30.6,35,13.5,30.4,0.0,0.0,0.0,0.0,0,1017.0,1016.0,0,0,0,0,0.5,2.84,11.2,14.4,180,176,28.8,35.6,28.9,26.7,23.5,0.139,0.155,0.184,0.189,1,3600.0,539.9,447.0,92.9,770.1,539.9,778.5,610.0,505.0,105.0,770.1,610.0,879.5,
2019,2019-08-30,Faro,Lagos,Odiáxere,VIA EN125 LAGOS ODIAXERE FAR#LAGOS 8600 (ER125 (ER125) Km 32),37.1541129999691,-8.65208500001166,Reacendimento,2.0,2019-08-30T14:00,31.1,36,14.4,32.8,0.0,0.0,0.0,0.0,0,1017.5,1017.3,0,0,0,0,0.66,2.87,10.1,11.3,184,187,33.1,34.0,26.9,24.7,21.5,0.12,0.13,0.146,0.189,1,3600.0,819.7,698.9,120.8,843.5,819.7,1111.8,848.0,723.0,125.0,843.5,848.0,1150.1,Magnoliopsida; Tracheophyta; Pinus pinea L.; Eucalyptus L'Hér.; Ceratonia siliqua L.; Vitis vinifera L.; Quercus suber L.; 
2019,2019-02-05,Faro,Tavira,Cachopo,CACHOPO,37.3317219999101,-7.80984699991014,Desconhecida,393.0,2019-02-05T20:00,10.9,50,0.9,7.7,0.0,0.0,0.0,0.0,0,1027.4,980.2,2,0,0,5,0.04,0.66,8.2,13.5,331,9,13.7,10.0,10.3,11.1,14.4,0.273,0.255,0.208,0.197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019,2019-09-03,Faro,Castro Marim,Castro Marim,Horta do Sapal,37.2186111111111,-7.45027777777778,Desconhecida,6.0,2019-09-03T14:00,31.2,37,14.9,32.9,0.0,0.0,0.0,0.0,0,1017.7,1017.0,4,0,6,0,0.63,2.86,10.0,11.6,195,187,30.2,37.2,27.9,26.5,21.1,0.059,0.059,0.065,0.038,1,3600.0,772.9,643.9,129.0,797.7,772.9,1085.2,803.0,669.0,134.0,797.7,803.0,1127.5,Magnoliopsida; 
2019,2019-09-06,Faro,Loulé,Almansil,ALMANSIL (Barrocal),37.0935679997338,-8.03060199949477,Desconhecida,65.0,2019-09-06T21:00,25.6,59,17.1,26.9,0.0,0.0,0.0,0.0,1,1014.7,1007.2,20,0,3,62,0.05,1.34,8.0,18.1,333,339,14.8,29.2,29.2,26.8,22.7,0.102,0.131,0.148,0.104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019,2019-09-09,Faro,Albufeira,Albufeira,Bolota,37.0966666666667,-8.25388888888889,Desconhecida,30.0,2019-09-09T15:00,28.2,43,14.5,26.8,0.0,0.0,0.0,0.0,0,1016.9,1013.4,5,0,9,0,0.54,2.18,23.3,30.9,243,249,44.3,33.8,27.9,27.0,23.0,0.102,0.131,0.147,0.104,1,3600.0,592.6,462.3,130.4,675.0,592.6,923.4,641.0,500.0,141.0,675.0,641.0,998.8,
2019,2019-09-10,Faro,Albufeira,Paderne,Casas do Poço,37.1747222222222,-8.17583333333333,Desconhecida,123.0,2019-09-10T15:00,26.4,25,4.8,22.3,0.0,0.0,0.0,0.0,0,1016.8,1002.7,0,0,0,0,0.61,2.58,24.6,33.4,333,336,54.0,29.1,25.4,25.7,22.5,0.122,0.133,0.13,0.187,1,3600.0,667.3,525.9,141.4,772.2,667.3,918.8,722.0,569.0,153.0,772.2,722.0,994.1,Magnoliopsida; Tracheophyta; Vitis vinifera L.; Olea europaea L.; Ceratonia siliqua L.; Quercus suber L.; Pinus pinea L.; 
2019,2019-09-10,Faro,São Brás de Alportel,São Brás de Alportel,Coruja,37.2444444444444,-7.87055555555556,Desconhecida,472.0,2019-09-10T17:00,23.6,26,2.8,18.2,0.0,0.0,0.0,0.0,0,1016.5,963.0,0,0,0,0,0.41,2.16,25.3,33.4,345,346,50.4,30.4,26.4,27.2,23.7,0.083,0.145,0.162,0.195,1,3600.0,317.3,250.8,66.5,717.3,317.3,471.8,401.0,317.0,84.0,717.3,401.0,596.3,
2019,2019-09-13,Faro,Olhão,Pechão,Ribeira de Bela Mandil,37.0469444444444,-7.87166666666667,Desconhecida,21.0,2019-09-13T22:00,23.0,50,12.2,22.5,0.0,0.0,0.0,0.0,0,1018.8,1016.3,2,0,2,2,0.06,1.39,8.2,13.2,322,331,16.6,25.7,27.4,27.1,22.8,0.085,0.136,0.144,0.021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Tracheophyta; Ceratonia siliqua L.; Pinus pinea L.; 
2019,2019-09-17,Faro,Olhão,Quelfes,Brancanes,37.0538888888889,-7.84722222222222,Desconhecida,56.0,2019-09-17T22:00,20.7,73,15.6,21.8,0.0,0.0,0.0,0.0,0,1015.4,1008.8,0,0,0,0,0.01,0.67,6.1,11.4,320,332,13.7,23.9,26.2,25.8,23.2,0.115,0.139,0.155,0.081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Tracheophyta; Quercus suber L.; Ceratonia siliqua L.; Olea europaea L.; 
2019,2019-09-23,Faro,Silves,Tunes,CORTEZAES (Tunes),37.1676670000288,-8.26249499956767,Desconhecida,64.0,2019-09-23T14:00,25.0,46,12.4,24.9,0.0,0.0,0.0,0.0,1,1020.2,1012.8,26,0,0,85,0.52,1.72,13.7,16.6,225,231,32.8,27.7,22.4,24.4,23.3,0.199,0.127,0.127,0.186,1,3600.0,722.9,606.3,116.7,831.7,722.9,990.4,756.0,634.0,122.0,831.7,756.0,1035.7,Magnoliopsida; Olea europaea L.; Tracheophyta; Pinales; Quercus suber L.; Vitis vinifera L.; Ceratonia siliqua L.; 
