year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2021,2021-06-23,Faro,Albufeira,Guia,Pedra de Escorregar,37.1172222222222,-8.30944444444444,Desconhecida,21.0,2021-06-23T16:00,21.6,65,14.7,20.6,0.0,0.0,0.0,0.0,0,1015.9,1013.4,0,0,0,0,0.42,0.91,23.7,30.2,261,271,28.4,16.8,16.8,16.8,16.8,0.0,0.0,0.0,0.0,1,3600.0,665.4,562.5,102.9,804.6,665.4,925.7,731.0,618.0,113.0,804.6,731.0,1017.0,Olea europaea L.; Tracheophyta; Ceratonia siliqua L.; Vitis vinifera L.; Magnoliopsida; 
2021,2021-06-25,Faro,Loulé,Almancil,Figueiral,37.0766666666667,-8.03916666666667,Desconhecida,50.0,2021-06-25T13:00,26.4,47,14.2,28.2,0.0,0.0,0.0,0.0,0,1017.1,1011.3,0,0,0,0,0.67,1.82,13.2,16.0,191,171,31.0,31.9,24.1,22.0,19.0,0.123,0.155,0.193,0.131,1,3600.0,975.9,849.2,126.7,878.0,975.9,1280.2,978.0,851.0,127.0,878.0,978.0,1282.9,Tracheophyta; Magnoliopsida; Pinus pinea L.; Ceratonia siliqua L.; Quercus suber L.; Olea europaea L.; 
2021,2021-06-28,Faro,Castro Marim,Azinhal,Murteira de Baixo,37.3036111111111,-7.49166666666667,Desconhecida,121.0,2021-06-28T18:00,29.1,19,3.3,25.2,0.0,0.0,0.0,0.0,0,1015.9,1002.1,0,0,0,0,0.41,3.26,16.1,23.4,336,337,34.9,30.8,25.6,22.6,19.1,0.163,0.188,0.237,0.254,1,3600.0,301.0,230.1,70.9,666.3,301.0,457.0,382.0,292.0,90.0,666.3,382.0,580.0,Magnoliopsida
2021,2021-07-02,Faro,Albufeira,Albufeira,Quinta da Palmeira,37.0961111111111,-8.26861111111111,Desconhecida,106.0,2021-07-02T13:00,19.7,67,13.4,20.5,0.0,0.0,0.0,0.0,0,1018.1,1005.6,0,0,0,0,0.52,0.75,17.2,20.4,217,234,20.2,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1,3600.0,981.9,859.0,122.9,889.0,981.9,1278.6,983.0,860.0,123.0,889.0,983.0,1280.0,
2021,2021-07-03,Faro,Loulé,São Clemente,Campina de Cima,37.1355555555556,-8.01111111111111,Desconhecida,192.0,2021-07-03T16:00,32.4,30,12.5,31.9,0.0,0.0,0.0,0.0,0,1016.8,995.2,5,0,0,18,0.63,3.41,15.0,19.5,291,289,34.6,38.6,27.8,23.4,19.1,0.08,0.134,0.165,0.203,1,3600.0,664.4,559.7,104.7,802.2,664.4,923.1,730.0,615.0,115.0,802.2,730.0,1014.3,Magnoliopsida; Tracheophyta; Olea europaea L.; Ceratonia siliqua L.; Quercus rotundifolia Lam.; 
2021,2021-07-04,Faro,Lagoa,Porches,ER125 (ER125) Km 58,37.1369444444444,-8.38805555555555,Desconhecida,57.0,2021-07-04T16:00,30.7,35,13.5,29.2,0.0,0.0,0.0,0.0,0,1017.1,1010.6,0,0,0,0,0.65,2.87,23.6,30.7,322,329,48.6,35.7,26.2,22.8,19.1,0.089,0.139,0.164,0.172,1,3600.0,669.6,563.0,106.6,803.0,669.6,927.6,735.0,618.0,117.0,803.0,735.0,1018.3,
2021,2021-07-05,Faro,Loulé,Quarteira,ER396 (ER396) Km 24,37.0905555555556,-8.07416666666667,Desconhecida,40.0,2021-07-05T23:00,20.0,82,16.9,19.5,0.0,0.0,0.0,0.0,0,1016.2,1011.5,6,0,0,19,0.03,0.42,20.0,32.1,322,331,36.0,25.5,27.8,23.8,19.6,0.102,0.144,0.183,0.131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracheophyta; Pinus pinea L.; Magnoliopsida; Ceratonia siliqua L.; Olea europaea L.; 
2021,2021-07-07,Faro,Silves,São Bartolomeu de Messines,Monte da Tolosa,37.2661111111111,-8.27944444444444,Desconhecida,116.0,2021-07-07T03:00,15.2,74,10.5,12.1,0.0,0.0,0.0,0.0,0,1018.5,1004.6,0,0,0,0,0.05,0.46,22.0,35.0,356,357,39.2,20.5,26.0,24.0,19.6,0.122,0.147,0.155,0.191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Quercus rotundifolia Lam.; Tracheophyta; Quercus suber L.; Pinus pinea L.; Olea europaea L.; Eucalyptus L'Hér.; Ceratonia siliqua L.; Vitis vinifera L.; Pinus pinaster Aiton; 
2021,2021-07-08,Faro,Faro,Santa Bárbara de Nexe,TRIPADO,37.0738888888889,-7.94583333333333,Desconhecida,42.0,2021-07-08T15:00,31.5,27,10.5,31.3,0.0,0.0,0.0,0.0,0,1017.9,1013.1,0,0,0,0,0.72,3.36,14.8,18.9,214,219,36.4,36.3,26.7,24.2,19.5,0.105,0.138,0.167,0.11,1,3600.0,833.4,716.4,117.0,864.8,833.4,1096.0,883.0,759.0,124.0,864.8,883.0,1161.2,
2021,2021-07-11,Faro,Silves,Alcantarilha,Alcantarilha (ER125 (ER125) Km 62),37.1214429998398,-8.34801300048828,Desconhecida,12.0,2021-07-11T04:00,21.4,65,14.5,22.3,0.0,0.0,0.0,0.0,0,1011.8,1010.4,0,0,0,0,0.01,0.9,4.2,4.5,340,346,7.9,24.3,28.3,24.0,19.7,0.089,0.137,0.16,0.172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracheophyta; Magnoliopsida; Vitis vinifera L.; Olea europaea L.; Quercus suber L.; 
