year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2001,2001-06-17,Braga,Vila Verde,Atães,L. SizÆo,41.7122035,-8.4076889,NC,193.0,2001-06-17T17:00,21.0,44,8.4,17.4,0.0,0.0,0.0,0.0,0,1024.3,1001.6,0,0,0,0,0.41,1.39,23.4,30.8,350,354,42.8,22.8,18.1,16.8,14.0,0.204,0.24,0.32,0.392,1,3600.0,521.2,436.5,84.7,808.8,521.2,715.2,597.0,500.0,97.0,808.8,597.0,819.2,Tracheophyta; Magnoliopsida; Quercus L.; Pinus pinaster Aiton; Eucalyptus L'Hér.
2001,2001-06-02,Braga,Vila Verde,Soutelo,L.Monte,41.6124768,-8.4305516,NC,37.0,2001-06-02T20:00,19.6,90,18.0,21.8,0.0,0.0,0.0,0.0,2,1017.4,1013.0,78,87,0,0,0.02,0.22,5.0,5.0,270,270,13.3,23.3,23.6,18.9,13.8,0.209,0.285,0.357,0.396,1,1445.83,0.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,21.0,149.8,39.0,105.8,Magnoliopsida; Vitis vinifera L.; Tracheophyta; Castanea sativa Mill.
2001,2001-05-27,Braga,Vila Nova de Famalicão,Lemenhe,Sr¦ Carmo,41.45320785,-8.528272253897944,NC,106.0,2001-05-27T18:00,28.8,65,21.4,32.7,0.0,0.0,0.0,0.0,0,1019.8,1007.7,5,0,1,14,0.26,1.4,4.8,7.4,318,331,14.8,26.4,21.3,15.7,12.8,0.278,0.327,0.38,0.399,1,3600.0,283.2,216.0,67.2,641.4,283.2,448.7,358.0,273.0,85.0,641.4,358.0,567.1,Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.
2001,2001-06-28,Porto,Maia,Gemunde,Zona Indu,41.262487,-8.641313860826699,NC,105.0,2001-06-28T17:00,23.1,64,15.8,23.2,0.0,0.0,0.0,0.0,0,1021.1,1008.8,0,0,0,0,0.37,1.03,14.4,17.9,307,308,28.4,27.7,21.9,19.3,15.6,0.127,0.198,0.29,0.376,1,3600.0,508.8,424.0,84.8,776.3,508.8,722.7,582.0,485.0,97.0,776.3,582.0,826.7,Eucalyptus L'Hér.; Tracheophyta
2001,2001-06-11,Braga,Barcelos,Paradela,L.Monte,41.4627197,-8.6804574,NC,38.0,2001-06-11T13:00,23.1,46,11.0,25.3,0.0,0.0,0.0,0.0,1,1020.0,1015.5,29,0,0,97,0.56,1.51,0.8,4.1,117,128,17.3,24.9,18.9,18.1,14.8,0.213,0.259,0.334,0.389,1,3600.0,846.0,521.8,324.2,552.2,846.0,1253.6,848.0,523.0,325.0,552.2,848.0,1256.5,Eucalyptus L'Hér.; Pinus pinaster Aiton; Tracheophyta; Vitis vinifera L.
2001,2001-06-06,Braga,Guimarães,Ronfe,Guin¦u,41.4266513,-8.3880522,NC,116.0,2001-06-06T17:00,21.1,61,13.3,20.0,0.0,0.0,0.0,0.0,0,1020.3,1006.7,2,0,0,7,0.35,0.97,15.6,20.7,322,325,35.3,24.3,20.2,18.3,13.7,0.184,0.266,0.344,0.394,1,3600.0,503.7,415.1,88.6,788.5,503.7,699.4,580.0,478.0,102.0,788.5,580.0,805.3,Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Vitis vinifera L.; Pinus pinaster Aiton
2001,2001-06-28,Porto,Maia,Águas Santas,R.Real,41.206992,-8.5670816,NC,138.0,2001-06-28T18:00,22.2,69,16.3,22.3,0.0,0.0,0.0,0.0,0,1021.0,1004.9,0,0,0,0,0.25,0.82,14.1,18.1,310,313,28.1,25.9,21.8,19.1,15.6,0.146,0.2,0.289,0.377,1,3600.0,319.8,250.2,69.6,672.5,319.8,492.3,395.0,309.0,86.0,672.5,395.0,608.1,Tracheophyta; Pinus pinaster Aiton; Magnoliopsida; Eucalyptus L'Hér.; 
2001,2001-06-04,Braga,Terras de Bouro,Chamoim,L. Padrøs,41.7305222,-8.2423103,NC,609.0,2001-06-04T21:00,14.0,86,11.8,13.8,0.0,0.0,0.0,0.0,0,1024.6,953.5,3,0,0,9,0.0,0.22,5.7,7.8,288,304,13.3,17.7,19.6,16.8,11.1,0.2,0.276,0.35,0.401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quercus L.; Magnoliopsida; Tracheophyta; Pinus pinaster Aiton
2001,2001-05-28,Braga,Guimarães,Abação (são Tomé),Fornalha,41.4098393,-8.2720249,NC,392.0,2001-05-28T07:00,19.5,85,16.9,20.8,0.0,0.0,0.0,0.0,0,1022.6,977.0,2,0,0,6,0.1,0.33,7.8,6.6,68,103,16.6,18.0,18.3,14.9,11.4,0.28,0.324,0.379,0.402,1,3600.0,250.3,174.6,75.6,523.2,250.3,444.6,182.0,127.0,55.0,523.2,182.0,323.3,Eucalyptus L'Hér.; Tracheophyta; Pinales; Magnoliopsida; Pinus pinaster Aiton
2001,2001-06-28,Porto,Marco de Canaveses,Banho e Carvalhosa,Margens,41.25033965,-8.154543832403427,NC,367.0,2001-06-28T07:00,12.9,91,11.5,12.5,0.0,0.0,0.0,0.0,2,1022.6,978.9,61,68,0,0,0.06,0.14,5.8,6.5,97,93,16.9,15.5,18.5,18.5,14.1,0.113,0.199,0.294,0.378,1,3600.0,186.4,63.1,123.4,189.0,186.4,441.6,136.0,46.0,90.0,189.0,136.0,322.1,Tracheophyta; Pinus pinaster Aiton; Magnoliopsida; Vitis vinifera L.; Eucalyptus L'Hér.; 
