year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation2010,2010-02-14,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,41.11258085,-8.597501604999291,NC,206.0,2010-02-14T17:00,8.1,49,-2.0,3.8,0.0,0.0.1,0.0.2,0.0.3,3,1004.1,979.3,85,0,92,100,0.11,0.55,12.6,21.6,87,93,31.7,7.4,5.6,8.5,11.5,0.371,0.382,0.389,0.411,1,3600.0,128.9,47.4,81.6,253.2,128.9.1,262.6,185.0,68.0,117.0,253.2.1,185.0.1,376.8,scientificNames
2010,2010-08-04,Porto,Santo Tirso,Guimarei,RIBEIRA CASAL (Ribeira),41.2999527,-8.4792107,NC,202.0,2010-08-04T13:00,30.7,36,13.8,31.3,0.0,0.0,0.0,0.0,0,1015.1,992.4,0,0,0,0,0.74,2.83,17.2,22.1,340,344,29.2,34.2,25.7,22.8,17.9,0.116,0.139,0.207,0.346,1,3600.0,932.1,821.1,111.0,902.3,932.1,1209.1,932.0,821.0,111.0,902.3,932.0,1209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus pinaster Aiton; Magnoliopsida; Eucalyptus L'Hér.; Vitis vinifera L.; Tracheophyta
2010,2010-08-04,Setúbal,Moita,Alhos Vedros,BRR ASSUNÇAO PIEDADE (GAIO-ROSÁRIO),38.6676294,-9.012858,NC,0.0,2010-08-04T13:00,33.2,36,16.2,35.4,0.0,0.0,0.0,0.0,0,1013.3,1013.3,0,0,0,0,0.78,3.25,14.3,18.0,335,340,31.0,34.5,27.4,25.7,23.6,0.182,0.187,0.209,0.274,1,3600.0,951.8,839.7,112.1,904.9,951.8,1233.0,951.0,839.0,112.0,904.9,951.0,1231.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta
2010,2010-07-30,Porto,Penafiel,Guilhufe,Gandra,41.19863835,-8.306141403902867,Desconhecida,204.0,2010-07-30T13:00,33.3,29,13.0,36.2,0.0,0.0,0.0,0.0,0,1012.4,989.7,0,0,0,0,0.71,3.61,3.7,4.5,101,104,25.6,35.3,26.4,22.3,17.4,0.11,0.148,0.229,0.35,1,3600.0,935.8,827.8,108.0,900.6,935.8,1219.8,936.0,828.0,108.0,900.6,936.0,1220.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Vitis vinifera L.; Eucalyptus L'Hér.; Magnoliopsida
2010,2010-08-14,Porto,Amarante,Vila Garcia,Muro,41.3115133,-8.0796338,NC,247.0,2010-08-14T23:00,19.7,51,9.1,18.1,0.0,0.0,0.0,0.0,0,1014.0,985.3,0,0,0,0,0.06,1.14,9.4,16.6,50,42,17.3,21.3,25.5,23.4,18.5,0.102,0.143,0.22,0.338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.; Pinus pinaster Aiton; Magnoliopsida; Vitis vinifera L.; 
2010,2010-07-27,Aveiro,Santa Maria da Feira,Romariz,Rua do Castro (Rua do Lameirão),40.9432485,-8.4589611,Desconhecida,302.0,2010-07-27T07:00,23.3,44,10.5,20.5,0.0,0.0,0.0,0.0,0,1013.8,979.2,0,0,0,0,0.2,1.6,20.5,34.6,89,91,39.6,23.1,25.1,21.1,17.0,0.108,0.149,0.23,0.351,1,3600.0,196.0,131.1,64.8,473.7,196.0,367.1,130.0,87.0,43.0,473.7,130.0,243.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Pinales; Magnoliopsida
2010,2010-07-30,Viseu,Viseu,Campo,MONTE STA LUZIA (Brita Montes),40.7092874,-7.9234277,Desconhecida,559.0,2010-07-30T13:00,31.7,28,11.0,34.3,0.0,0.0,0.0,0.0,0,1012.8,951.7,0,0,0,0,0.7,3.37,2.5,3.2,90,90,23.0,37.0,26.7,22.5,16.8,0.084,0.163,0.251,0.353,1,3600.0,940.0,833.1,106.9,903.7,940.0,1223.4,941.0,834.0,107.0,903.7,941.0,1224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Pinus pinaster Aiton
2010,2010-08-03,Aveiro,Arouca,Canelas,Perlonga,40.9662166,-8.1727407,Desconhecida,338.0,2010-08-03T23:00,22.7,61,14.9,23.2,0.0,0.0,0.0,0.0,0,1015.9,977.2,0,0,0,0,0.03,1.07,7.6,11.1,19,13,18.0,24.3,26.4,22.8,17.7,0.099,0.15,0.238,0.348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Quercus L.; Eucalyptus L'Hér.; Castanea sativa Mill.; Pinus pinaster Aiton
2010,2010-08-02,Braga,Barcelos,Aguiar,QUINTA NOVA (AGUIAR) (Quinta),41.62449685,-8.655787850142348,NC,96.0,2010-08-02T19:00,24.7,48,12.9,21.5,0.0,0.0,0.0,0.0,0,1015.7,1004.6,0,0,0,0,0.26,1.61,27.9,42.1,345,350,47.5,27.9,25.5,23.0,18.2,0.098,0.146,0.228,0.342,1,3600.0,108.3,76.3,32.1,534.7,108.3,189.4,179.0,126.0,53.0,534.7,179.0,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.
2010,2010-08-12,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,Zona Industrial (RIBEIRA DE FRÁGOAS),40.690328,-8.479538190307041,Desconhecida,121.0,2010-08-12T09:00,22.3,73,17.2,22.5,0.0,0.0,0.0,0.0,1,1018.7,1004.6,27,30,0,0,0.23,0.73,15.9,21.0,335,338,32.0,24.6,26.0,24.2,19.5,0.065,0.088,0.127,0.249,1,3600.0,413.8,265.0,148.8,447.9,413.8,788.2,356.0,228.0,128.0,447.9,356.0,678.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.
2010,2010-08-03,Porto,Penafiel,Rio de Moinhos,LG. OLEIROS (CABEÇA SANTA),41.1169039,-8.27507040257782,Desconhecida,236.0,2010-08-03T22:00,24.5,54,14.6,24.4,0.0,0.0,0.0,0.0,0,1015.2,988.1,0,0,0,0,0.08,1.41,11.5,21.3,358,2,24.8,25.8,26.7,22.9,17.8,0.1,0.151,0.237,0.347,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida; Vitis vinifera L.
