year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2013,2013-09-01,Braga,Póvoa de Lanhoso,Sobradelo da Goma,Pinhel (4830-712 Berraria. Portugal),41.5572222222222,-8.17194444444444,NC,304.0,2013-09-01T23:00,21.1,50,10.2,20.0,0.0,0.0,0.0,0.0,0,1020.0,984.7,0,0,0,0,0.05,1.25,7.6,6.1,65,90,14.0,22.4,25.5,22.4,18.5,0.097,0.137,0.191,0.318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-09-01,Braga,Vila Nova de Famalicão,Vilarinho das Cambas,COMIEIRA - M7,41.3866710000568,-8.55949700037638,Desconhecida,78.0,2013-09-01T13:00,30.9,27,9.5,31.0,0.0,0.0,0.0,0.0,0,1019.3,1010.4,0,0,0,0,0.68,3.28,10.5,14.1,84,84,34.2,32.8,25.2,23.0,19.5,0.1,0.139,0.195,0.321,1,3600.0,860.4,759.7,100.7,914.0,860.4,1116.6,863.0,762.0,101.0,914.0,863.0,1120.0,
2013,2013-09-01,Braga,Vila Nova de Famalicão,Cruz,SRª CARMO - M3,41.451875,-8.50546700000763,Reacendimento,274.0,2013-09-01T13:00,29.8,26,8.1,28.8,0.0,0.0,0.0,0.0,0,1019.4,988.5,0,0,0,0,0.7,3.12,15.1,20.2,90,89,42.8,31.3,23.9,22.1,18.4,0.102,0.14,0.201,0.324,1,3600.0,868.1,768.5,99.7,925.5,868.1,1115.4,871.0,771.0,100.0,925.5,871.0,1119.1,
2013,2013-09-01,Braga,Terras De Bouro,Chorense,L. SAIM - M3,41.7017540000545,-8.29360399987963,Reacendimento,430.0,2013-09-01T16:00,31.1,23,7.7,29.9,0.0,0.0,0.0,0.0,0,1019.0,971.2,0,0,0,0,0.48,3.48,7.1,9.2,336,339,24.5,34.2,24.5,21.4,17.6,0.097,0.138,0.196,0.321,1,3600.0,541.6,463.6,78.0,843.3,541.6,738.6,611.0,523.0,88.0,843.3,611.0,833.2,
2013,2013-09-01,Braga,Guimarães,Ronfe,RUA LOURINHA - M2,41.435752000014,-8.38608799987369,Desconhecida,119.0,2013-09-01T17:00,32.0,24,8.8,30.9,0.0,0.0,0.0,0.0,0,1017.9,1004.4,0,0,0,0,0.34,3.63,5.5,7.8,328,338,22.7,33.8,26.1,23.1,19.4,0.102,0.14,0.201,0.324,1,3600.0,362.1,299.0,63.1,773.0,362.1,519.7,442.0,365.0,77.0,773.0,442.0,634.4,
2013,2013-09-01,Braga,Amares,Ferreiros,R. DOS ROMEIROS,41.6257710001204,-8.36224399990506,NC,94.0,2013-09-01T18:00,31.3,27,10.1,30.6,0.0,0.0,0.0,0.0,0,1017.8,1007.1,0,0,0,0,0.21,3.35,5.6,8.8,315,325,19.4,33.1,26.6,23.1,19.3,0.096,0.138,0.193,0.319,1,3600.0,168.2,127.4,40.9,634.3,168.2,269.7,247.0,187.0,60.0,634.3,247.0,396.1,Pinus pinaster Aiton; Tracheophyta; Magnoliopsida; Vitis vinifera L.; Eucalyptus L'Hér.
2013,2013-09-01,Braga,Fafe,São Gens,POVOAÇÃO (M7),41.4475949997372,-8.11140199979146,NC,480.0,2013-09-01T23:00,19.6,46,7.6,17.7,0.0,0.0,0.0,0.0,0,1020.9,965.6,0,0,0,0,0.06,1.24,9.1,12.4,72,100,20.5,21.0,24.3,21.7,17.9,0.094,0.135,0.188,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-09-01,Braga,Vizela,Caldas de Vizela (São Miguel),L. ABESSADAS,41.3824470000797,-8.30462400012546,NC,188.0,2013-09-01T12:00,29.4,28,9.0,28.6,0.0,0.0,0.0,0.0,0,1019.7,998.3,0,0,0,0,0.65,2.95,14.1,18.8,86,87,39.6,30.7,24.3,22.7,18.9,0.098,0.138,0.194,0.32,1,3600.0,852.1,750.3,101.8,906.0,852.1,1112.5,829.0,730.0,99.0,906.0,829.0,1082.3,
2013,2013-09-01,Braga,Braga,Oliveira (São Pedro),R.VOLTA DE CARROS - M1,41.4754079998864,-8.46524900012546,Desconhecida,159.0,2013-09-01T13:00,30.7,26,9.0,30.7,0.0,0.0,0.0,0.0,0,1019.3,1001.3,0,0,0,0,0.68,3.28,10.5,14.1,84,84,34.2,32.6,24.7,22.6,18.9,0.098,0.139,0.195,0.32,1,3600.0,860.2,759.5,100.7,914.7,860.2,1115.4,863.0,762.0,101.0,914.7,863.0,1119.1,
2013,2013-09-01,Braga,Braga,Aveleda,NOVAL - M1,41.5223379998737,-8.46208799997966,Reacendimento,144.0,2013-09-01T13:00,30.8,26,9.1,30.9,0.0,0.0,0.0,0.0,0,1019.3,1003.0,0,0,0,0,0.68,3.3,10.5,14.1,84,84,34.2,32.7,24.8,22.7,19.0,0.098,0.139,0.195,0.32,1,3600.0,860.2,759.5,100.7,915.4,860.2,1114.6,863.0,762.0,101.0,915.4,863.0,1118.2,
