year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2013,2013-09-22,Viana do Castelo,Valença,São Julião,SAO SEBASTIAO,41.9409130001068,-8.65317199998432,Reacendimento,105.0,2013-09-22T23:00,20.8,61,12.9,20.6,0.0,0.0,0.0,0.0,0,1017.7,1005.4,0,0,0,0,0.03,0.97,7.5,8.4,125,121,12.2,20.5,24.2,21.8,20.2,0.078,0.149,0.219,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Tracheophyta; Vitis vinifera L.; Magnoliopsida; Eucalyptus L'Hér.; 
2013,2013-09-22,Viana do Castelo,Vila Nova de Cerveira,Loivo,MATAVELHA,41.9274179999034,-8.73453699999385,Reacendimento,149.0,2013-09-22T22:00,21.9,57,12.9,21.6,0.0,0.0,0.0,0.0,0,1017.8,1000.4,0,0,0,0,0.04,1.13,8.2,9.1,105,99,11.9,22.1,24.8,21.9,20.0,0.097,0.137,0.193,0.314,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,2013-09-23,Viana Do Castelo,Viana Do Castelo,Geraz do Lima (Santa Leocádia),CASTELO (STA LEOCADIA),41.6977060000102,-8.66044299973382,Reacendimento,77.0,2013-09-23T11:00,26.5,43,13.0,26.0,0.0,0.0,0.0,0.0,0,1016.3,1007.4,0,0,0,0,0.47,1.95,13.3,18.0,183,179,31.0,27.9,23.2,22.4,20.4,0.097,0.137,0.193,0.314,1,3600.0,685.7,589.5,96.1,854.1,685.7,938.0,642.0,552.0,90.0,854.1,642.0,878.2,
2013,2013-09-23,Viana do Castelo,Arcos de Valdevez,Rio Frio,Grijó (RIO FRIO),41.8585289997525,-8.51130000008477,Reacendimento,665.0,2013-09-23T11:00,26.8,31,8.5,26.0,0.0,0.0,0.0,0.0,0,1016.4,942.8,0,0,0,0,0.47,2.41,6.9,8.6,186,182,29.2,27.2,21.1,19.8,17.6,0.098,0.136,0.189,0.312,1,3600.0,695.6,602.8,92.8,873.1,695.6,938.3,652.0,565.0,87.0,873.1,652.0,879.4,
2013,2013-09-23,Viana do Castelo,Monção,Portela,Cachave (PORTELA),41.9900629997253,-8.48311699973212,Reacendimento,174.0,2013-09-23T07:00,16.5,76,12.3,16.7,0.0,0.0,0.0,0.0,0,1016.1,995.5,0,0,0,0,0.02,0.44,3.6,6.7,143,196,11.5,16.9,22.7,21.5,19.3,0.097,0.135,0.184,0.309,1,95.37,34.7,16.2,18.5,151.8,17.8,144.8,15.0,7.0,8.0,78.1,15.0,62.7,Magnoliopsida; Eucalyptus L'Hér.; Quercus L.; Vitis vinifera L.; Pinus pinaster Aiton; 
2013,2013-09-23,Viana do Castelo,Vila Nova de Cerveira,Loivo,MATA VELHA (LOIVO),41.9274179999034,-8.73453699999385,Reacendimento,149.0,2013-09-23T12:00,27.0,41,12.5,26.5,0.0,0.0,0.0,0.0,0,1015.9,998.8,1,0,0,3,0.54,2.12,14.8,20.5,203,195,33.8,29.5,23.1,22.0,20.0,0.097,0.137,0.192,0.313,1,3600.0,743.1,647.5,95.6,880.3,743.1,999.7,723.0,630.0,93.0,880.3,723.0,972.6,
2013,2013-09-23,Viana do Castelo,Valença,São Julião,SENRA - S.JULIAO,41.9409130001068,-8.65317199998432,Reacendimento,105.0,2013-09-23T17:00,21.3,74,16.5,22.3,0.0,0.0,0.0,0.0,0,1014.6,1002.3,19,3,0,53,0.17,0.65,8.4,12.5,220,221,27.7,27.6,23.7,21.8,20.2,0.078,0.149,0.218,0.327,1,3600.0,213.9,143.3,70.5,526.3,213.9,370.2,282.0,189.0,93.0,526.3,282.0,488.1,Pinus pinaster Aiton; Tracheophyta; Vitis vinifera L.; Magnoliopsida; Eucalyptus L'Hér.; 
2013,2013-09-23,Viana do Castelo,Paredes de Coura,Ferreira,Venade - FERREIRA,41.9447509998745,-8.56969599988726,Reacendimento,527.0,2013-09-23T17:00,22.3,56,13.2,21.8,0.0,0.0,0.0,0.0,0,1014.8,955.1,18,0,1,58,0.21,1.17,10.1,13.5,253,254,34.6,27.8,23.0,20.2,18.0,0.095,0.134,0.182,0.308,1,3600.0,216.9,148.2,68.8,550.3,216.9,365.9,287.0,196.0,91.0,550.3,287.0,484.1,Tracheophyta; Eucalyptus L'Hér.; Magnoliopsida; Quercus L.; Pinus pinaster Aiton; 
2013,2013-09-23,Viana do Castelo,Valença,São Julião,SÃO SEBASTIÃO,41.9409130001068,-8.65317199998432,Reacendimento,105.0,2013-09-23T22:00,18.5,90,16.9,19.5,0.0,0.0,0.0,0.0,2,1015.8,1003.4,55,26,16,72,0.0,0.2,9.5,14.8,205,203,21.6,21.2,23.5,21.9,20.2,0.078,0.149,0.218,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Tracheophyta; Vitis vinifera L.; Magnoliopsida; Eucalyptus L'Hér.; 
2013,2013-09-23,Viana do Castelo,Monção,Abedim,MAMGOEIRO,41.9805830001831,-8.51440100034078,Reacendimento,468.0,2013-09-23T12:00,28.6,31,10.0,28.2,0.0,0.0,0.0,0.0,0,1015.6,963.5,0,0,0,0,0.56,2.7,10.0,13.3,201,199,32.0,30.2,22.6,21.0,18.8,0.098,0.136,0.189,0.312,1,3600.0,748.6,655.2,93.4,890.9,748.6,999.4,729.0,638.0,91.0,890.9,729.0,973.2,Magnoliopsida; Pinus pinaster Aiton; Pinales; Quercus L.; Eucalyptus L'Hér.; Vitis vinifera L.; 
