year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2001,2001-07-06,Castelo Branco,Castelo Branco,Castelo Branco,Fonte Santa,39.7982847,-7.8147625,NC,465.0,2001-07-06T20:00,18.3,65,11.5,17.2,0.0,0.0,0.0,0.0,1,1016.3,962.7,35,37,3,0,0.07,0.75,11.3,17.1,292,295,27.4,22.9,23.9,23.5,17.9,0.09,0.159,0.222,0.355,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,19.0,57.4,26.0,107.0
2001,2001-06-21,Castelo Branco,Fundão,Soalheira,Quinta da Serra,40.0274487,-7.5208524,NC,478.0,2001-06-21T14:00,36.2,15,5.8,36.7,0.0,0.0,0.0,0.0,0,1012.9,961.1,0,0,0,0,0.78,5.09,6.8,8.3,177,178,22.7,37.9,25.8,19.3,14.7,0.138,0.185,0.238,0.367,1,3600.0,929.5,815.9,113.6,899.3,929.5,1201.4,957.0,840.0,117.0,899.3,957.0,1236.9
2001,2001-09-10,Braga,Barcelos,Roriz,Reboleira,41.5846572,-8.6081022,NC,46.0,2001-09-10T09:00,24.1,50,12.9,23.6,0.0,0.0,0.0,0.0,0,1014.3,1009.0,0,0,0,0,0.28,1.51,9.8,14.2,118,117,20.2,23.0,22.8,22.1,19.7,0.102,0.162,0.227,0.336,1,3600.0,458.6,366.6,92.0,723.7,458.6,683.6,384.0,307.0,77.0,723.7,384.0,572.4
2001,2001-09-16,Braga,Terras de Bouro,Covide,L Castelo,41.7376564,-8.2257958,NC,507.0,2001-09-16T19:00,25.5,34,8.5,24.5,0.0,0.0,0.0,0.0,0,1016.7,959.7,2,0,0,5,0.06,2.15,4.4,5.6,325,333,11.5,24.6,21.9,19.9,18.1,0.112,0.178,0.232,0.337,0,384.47,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,10.0,115.8,21.0,69.7
2001,2001-09-18,Braga,Póvoa de Lanhoso,São João de Rei,S.Paulo,41.6219633,-8.3040071,NC,120.0,2001-09-18T13:00,25.0,29,5.8,23.5,0.0,0.0,0.0,0.0,0,1012.1,998.3,16,0,0,55,0.57,2.25,12.6,16.2,87,89,33.5,28.2,22.2,21.4,19.5,0.098,0.156,0.22,0.331,1,3600.0,795.6,692.3,103.3,911.5,795.6,1029.3,801.0,697.0,104.0,911.5,801.0,1036.3
2001,2001-04-15,Braga,Barcelos,Grimancelos,Mangualde,41.4399383,-8.6026327,NC,133.0,2001-04-15T18:00,17.5,63,10.3,16.3,0.0,0.0,0.0,0.0,0,1019.8,1004.0,0,0,0,0,0.16,0.75,9.0,14.3,299,304,23.8,18.6,15.9,13.4,11.9,0.29,0.33,0.375,0.415,1,3600.0,196.0,150.2,45.8,669.7,196.0,304.8,278.0,213.0,65.0,669.7,278.0,432.3
2001,2001-06-12,Porto,Baião,Santa Marinha do Zêzere,Sr¦. do S,41.1417954,-7.9611701,NC,443.0,2001-06-12T15:00,19.9,59,11.7,18.9,0.0,0.0,0.0,0.0,1,1017.7,966.7,21,15,13,0,0.38,0.94,12.6,16.2,272,271,31.3,23.2,18.8,17.0,13.2,0.192,0.232,0.316,0.387,1,3600.0,569.3,374.8,194.5,462.0,569.3,1076.2,603.0,397.0,206.0,462.0,603.0,1139.9
2001,2001-09-07,Porto,Felgueiras,Pinheiro,Ribeira,41.3674592,-8.1661637,NC,409.0,2001-09-07T17:00,26.6,31,8.3,24.7,0.0,0.0,0.0,0.0,0,1017.8,971.6,0,0,0,0,0.33,2.38,9.8,13.8,66,70,30.2,27.8,22.0,20.1,17.9,0.119,0.167,0.223,0.334,1,3600.0,329.6,268.5,61.1,757.7,329.6,477.5,410.0,334.0,76.0,757.7,410.0,594.0
2001,2001-08-09,Santarém,Benavente,Barrosa,São Brás,38.9549497,-8.7373542,NC,21.0,2001-08-09T15:00,30.9,35,13.5,30.7,0.0,0.0,0.0,0.0,0,1016.1,1013.7,0,0,0,0,0.68,2.92,18.5,23.7,333,334,40.3,36.8,26.2,23.6,20.3,0.128,0.18,0.223,0.315,1,3600.0,768.3,660.0,108.3,841.6,768.3,1043.7,816.0,701.0,115.0,841.6,816.0,1108.5
2001,2001-10-04,Setúbal,Montijo,Afonsoeiro,Sarilhos,38.6997227,-8.9636176,NC,3.0,2001-10-04T14:00,22.1,46,9.9,21.4,0.0,0.0,0.0,0.0,1,1014.7,1014.3,30,0,0,100,0.44,1.44,10.1,12.5,287,288,21.6,24.7,21.6,22.0,22.3,0.238,0.223,0.2,0.263,1,3600.0,653.6,505.9,147.7,763.7,653.6,905.9,686.0,531.0,155.0,763.7,686.0,950.9
2001,2001-06-28,Santarém,Cartaxo,Valada,Porto de Muge,39.1079604,-8.7484528,NC,4.0,2001-06-28T16:00,28.6,38,13.0,27.8,0.0,0.0,0.0,0.0,0,1019.6,1019.1,0,0,0,0,0.56,2.42,17.4,22.7,336,337,34.9,33.5,23.9,21.6,17.5,0.122,0.139,0.183,0.297,1,3600.0,639.7,463.3,176.4,658.8,639.7,930.7,700.0,507.0,193.0,658.8,700.0,1018.5
2010,2010-06-02,Santarém,Cartaxo,Valada,ESTRADA DO SETIL (VILA CHÃ DE OURIQUE),39.1729556,-8.7925102,NC,58.0,2010-06-02T16:00,30.6,39,15.2,30.3,0.0,0.0,0.0,0.0,2,1011.6,1005.0,54,0,42,97,0.44,2.67,13.7,17.2,288,290,29.5,32.2,24.5,19.1,15.3,0.113,0.22,0.302,0.338,1,3600.0,422.8,145.5,277.3,212.8,422.8,909.1,465.0,160.0,305.0,212.8,465.0,999.8
