latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
37.152897,-8.571442,0.0,2015-04-29T00:00,13.2,85,10.8,11.0,0.0,0.0,0.0,0.0,0,1022.2,1022.2,10,11,0,1,0.01,0.22,16.1,25.4,333,333,29.2,14.8,18.4,17.7,15.8,0.198,0.205,0.243,0.242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.152897,-8.571442,0.0,2015-04-29T01:00,12.8,86,10.5,10.5,0.0,0.0,0.0,0.0,0,1021.9,1021.9,10,11,0,0,0.01,0.21,16.7,25.9,335,335,27.7,14.4,18.2,17.7,15.8,0.198,0.205,0.243,0.242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.152897,-8.571442,0.0,2015-04-29T02:00,12.5,86,10.3,10.2,0.0,0.0,0.0,0.0,0,1021.7,1021.7,9,10,0,0,0.01,0.2,16.1,25.1,336,336,25.9,14.1,18.0,17.7,15.8,0.198,0.205,0.243,0.242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.152897,-8.571442,0.0,2015-04-29T03:00,12.3,87,10.1,10.0,0.0,0.0,0.0,0.0,0,1021.6,1021.6,9,10,0,0,0.01,0.19,15.7,24.6,340,339,23.0,13.7,17.7,17.7,15.8,0.198,0.205,0.243,0.242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.152897,-8.571442,0.0,2015-04-29T04:00,12.1,87,10.0,10.0,0.0,0.0,0.0,0.0,0,1021.5,1021.5,4,4,0,0,0.01,0.18,13.9,23.2,343,344,21.2,13.4,17.5,17.7,15.8,0.198,0.205,0.243,0.242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.152897,-8.571442,0.0,2015-04-29T05:00,11.9,88,9.9,10.0,0.0,0.0,0.0,0.0,0,1021.2,1021.2,8,9,0,0,0.0,0.17,12.5,21.7,348,348,19.1,13.2,17.3,17.6,15.8,0.198,0.205,0.243,0.242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.152897,-8.571442,0.0,2015-04-29T06:00,11.7,88,9.8,10.0,0.0,0.0,0.0,0.0,0,1021.8,1021.8,11,12,0,0,0.02,0.16,11.0,19.5,349,348,17.3,12.9,17.0,17.6,15.8,0.198,0.205,0.243,0.242,1,0.0,2.0,0.0,2.0,0.0,2.0,19.5,6.0,0.0,6.0,0.0,1.5,58.7
37.152897,-8.571442,0.0,2015-04-29T07:00,12.8,86,10.5,11.2,0.0,0.0,0.0,0.0,0,1022.2,1022.2,18,20,0,1,0.04,0.21,12.1,17.7,348,347,19.1,13.6,16.9,17.6,15.8,0.198,0.205,0.243,0.242,1,3079.67,85.0,44.0,41.0,276.8,85.0,194.9,144.3,74.7,69.6,304.7,131.1,330.9
37.152897,-8.571442,0.0,2015-04-29T08:00,14.8,74,10.3,12.4,0.0,0.0,0.0,0.0,2,1023.0,1023.0,51,53,0,11,0.14,0.43,16.6,20.7,342,343,25.2,15.9,16.8,17.6,15.8,0.197,0.205,0.243,0.242,1,3600.0,260.0,163.0,97.0,473.9,260.0,464.2,332.9,208.7,124.2,473.9,332.9,594.4
37.152897,-8.571442,0.0,2015-04-29T09:00,16.4,65,9.7,13.9,0.0,0.0,0.0,0.0,3,1023.2,1023.2,89,78,0,64,0.24,0.66,16.6,20.2,338,338,29.5,17.9,16.9,17.6,15.8,0.196,0.205,0.243,0.242,1,3600.0,435.0,288.0,147.0,543.1,435.0,715.7,505.1,334.4,170.7,543.1,505.1,831.1
37.152897,-8.571442,0.0,2015-04-29T10:00,18.1,59,9.9,16.3,0.0,0.0,0.0,0.0,3,1023.5,1023.5,100,99,0,94,0.35,0.85,14.4,17.3,338,339,30.2,20.2,17.1,17.6,15.8,0.194,0.205,0.243,0.242,1,3600.0,626.0,445.0,181.0,644.2,626.0,932.2,688.2,489.2,199.0,644.2,688.2,1024.9
37.152897,-8.571442,0.0,2015-04-29T11:00,19.5,56,10.6,18.6,0.0,0.0,0.0,0.0,3,1023.4,1023.4,100,88,0,87,0.44,0.99,15.0,17.7,333,333,32.0,22.4,17.4,17.6,15.8,0.191,0.205,0.243,0.242,1,3600.0,762.0,548.0,214.0,673.0,762.0,1099.0,806.2,579.8,226.4,673.0,806.2,1162.7
37.152897,-8.571442,0.0,2015-04-29T12:00,20.6,54,10.9,20.0,0.0,0.0,0.0,0.0,3,1023.1,1023.1,95,76,0,88,0.5,1.12,15.9,18.5,332,333,33.1,24.0,17.7,17.6,15.8,0.188,0.205,0.243,0.242,1,3600.0,840.0,610.0,230.0,683.4,840.0,1204.7,861.2,625.4,235.8,683.4,861.2,1235.1
37.152897,-8.571442,0.0,2015-04-29T13:00,21.2,52,11.0,20.4,0.0,0.0,0.0,0.0,3,1022.9,1022.9,82,60,0,95,0.49,1.21,16.7,19.7,327,329,33.1,24.9,18.1,17.6,15.8,0.185,0.205,0.243,0.242,1,3600.0,802.0,521.0,281.0,566.1,802.0,1242.1,798.8,518.9,279.9,566.1,798.8,1237.2
37.152897,-8.571442,0.0,2015-04-29T14:00,21.4,51,10.8,19.9,0.0,0.0,0.0,0.0,3,1022.6,1022.6,90,69,0,94,0.46,1.25,17.7,21.2,322,325,33.1,25.2,18.5,17.6,15.8,0.182,0.204,0.243,0.242,1,3600.0,727.0,440.0,287.0,491.2,727.0,1208.8,703.0,425.4,277.5,491.2,703.0,1168.8
37.152897,-8.571442,0.0,2015-04-29T15:00,21.2,52,10.9,19.4,0.0,0.0,0.0,0.0,2,1022.6,1022.6,78,55,0,96,0.44,1.21,19.1,22.7,317,319,32.8,25.2,18.8,17.6,15.8,0.179,0.204,0.243,0.242,1,3600.0,705.0,465.0,240.0,566.9,705.0,1106.9,659.0,434.6,224.3,566.9,659.0,1034.7
37.152897,-8.571442,0.0,2015-04-29T16:00,20.7,54,11.1,18.6,0.0,0.0,0.0,0.0,2,1022.5,1022.5,53,26,0,99,0.39,1.12,19.4,23.4,313,316,32.4,24.8,19.1,17.6,15.8,0.177,0.204,0.242,0.242,1,3600.0,629.0,453.0,176.0,647.9,629.0,943.6,562.6,405.2,157.4,647.9,562.6,843.9
37.152897,-8.571442,0.0,2015-04-29T17:00,20.1,56,11.0,17.6,0.0,0.0,0.0,0.0,2,1022.5,1022.5,54,27,0,100,0.31,1.04,19.4,23.9,313,315,31.3,23.9,19.3,17.6,15.8,0.175,0.204,0.242,0.242,1,3600.0,484.0,356.0,128.0,658.2,484.0,729.8,404.3,297.4,106.9,658.2,404.3,609.6
37.152897,-8.571442,0.0,2015-04-29T18:00,19.1,59,11.0,16.7,0.0,0.0,0.0,0.0,1,1022.6,1022.6,29,0,0,98,0.2,0.9,18.6,23.7,316,317,31.3,22.4,19.5,17.6,15.8,0.174,0.204,0.242,0.242,1,3600.0,273.0,158.0,115.0,443.9,273.0,480.3,197.6,114.4,83.3,443.9,197.6,347.7
