latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
41.581722,-6.753235,668.0,2015-04-29T12:00,13.9,50,3.6,12.9,0.0,0.0,0.0,0.0,0,1020.5,943.1,17,18,0,2,0.46,0.8,10.4,13.7,270,272,31.0,16.0,11.3,11.1,9.1,0.343,0.347,0.295,0.363,1,3600.0,910.0,779.0,131.0,897.8,910.0,1171.0,929.1,795.4,133.8,897.8,929.1,1195.6
41.581722,-6.753235,668.0,2015-04-30T12:00,15.6,64,8.8,13.0,0.0,0.0,0.0,0.0,3,1020.5,943.5,100,99,0,100,0.31,0.64,15.9,21.7,245,243,37.1,15.0,11.7,11.2,9.1,0.336,0.34,0.295,0.363,1,3600.0,562.0,291.0,271.0,334.4,562.0,1173.8,573.7,297.1,276.6,334.4,573.7,1198.2
41.581722,-6.753235,668.0,2015-05-01T12:00,13.6,87,11.5,11.8,0.0,0.0,0.0,0.0,3,1017.8,940.5,100,100,86,69,0.1,0.21,15.9,22.6,232,233,37.4,13.3,12.3,11.3,9.2,0.346,0.335,0.295,0.363,1,0.0,158.0,1.0,157.0,1.1,158.0,1176.5,161.3,1.0,160.3,1.1,161.3,1200.9
41.581722,-6.753235,668.0,2015-05-02T12:00,19.5,59,11.4,18.4,0.0,0.0,0.0,0.0,2,1012.8,937.4,62,35,1,100,0.42,0.92,15.8,22.2,221,220,39.2,17.6,13.3,11.4,9.2,0.359,0.336,0.296,0.362,1,3600.0,695.0,379.0,316.0,433.1,695.0,1179.2,709.3,386.8,322.5,433.1,709.3,1203.4
41.581722,-6.753235,668.0,2015-05-03T12:00,14.2,90,12.5,12.7,0.2,0.2,0.0,0.0,51,1011.6,934.9,100,100,85,100,0.07,0.17,15.2,26.7,211,212,36.4,13.9,13.5,11.6,9.3,0.366,0.335,0.296,0.362,1,0.0,92.0,0.0,92.0,0.0,92.0,1181.8,93.9,0.0,93.9,0.0,93.9,1205.9
41.581722,-6.753235,668.0,2015-05-04T12:00,15.6,84,13.0,13.9,2.2,2.2,0.0,0.0,61,1001.4,925.9,100,100,95,34,0.17,0.28,18.1,29.6,174,176,69.5,14.4,13.1,11.7,9.3,0.415,0.406,0.297,0.362,1,1439.51,306.0,95.0,211.0,108.0,306.0,1184.3,312.2,96.9,215.3,108.0,312.2,1208.3
41.581722,-6.753235,668.0,2015-05-05T12:00,11.8,60,4.2,8.2,0.0,0.0,0.0,0.0,3,1016.0,938.4,95,60,69,0,0.22,0.56,15.3,21.1,240,240,35.3,13.2,11.8,11.7,9.4,0.407,0.408,0.314,0.362,1,2519.64,404.0,127.0,277.0,144.0,404.0,1186.7,412.2,129.6,282.6,144.0,412.2,1210.7
41.581722,-6.753235,668.0,2015-05-06T12:00,13.1,55,4.3,12.9,0.0,0.0,0.0,0.0,1,1020.4,942.8,25,26,0,4,0.44,0.67,5.1,6.1,231,230,19.1,15.7,11.1,11.6,9.4,0.384,0.39,0.318,0.362,1,3600.0,853.0,622.0,231.0,703.4,853.0,1189.1,870.1,634.5,235.6,703.4,870.1,1213.0
41.581722,-6.753235,668.0,2015-05-07T12:00,20.7,37,5.6,19.3,0.0,0.0,0.0,0.0,0,1013.4,938.2,1,1,0,0,0.57,1.54,15.3,20.8,204,203,38.9,18.7,12.7,11.6,9.4,0.364,0.375,0.32,0.361,1,3600.0,911.0,791.0,120.0,892.4,911.0,1191.4,929.2,806.8,122.4,892.4,929.2,1215.2
41.581722,-6.753235,668.0,2015-05-08T12:00,16.6,61,9.0,14.0,0.0,0.0,0.0,0.0,3,1021.2,944.4,87,97,0,0,0.28,0.74,15.9,22.2,245,245,37.8,16.2,13.8,11.8,9.5,0.361,0.363,0.32,0.361,1,2623.47,455.0,131.0,324.0,147.4,455.0,1193.6,464.0,133.6,330.4,147.4,464.0,1217.3
