latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
39.543056,-9.099731,46.0,2015-05-01T12:00,17.7,80,14.3,16.5,0.0,0.0,0.0,0.0,3,1019.3,1013.8,94,100,5,4,0.16,0.39,17.6,22.4,244,244,31.0,18.2,16.5,15.6,13.9,0.185,0.208,0.181,0.241,1,1235.53,261.0,89.0,172.0,101.2,261.0,1185.8,267.7,91.3,176.4,101.2,267.7,1216.2,4.965588162327898,82.21904622258296,9.1761225075,130.4618219604492,3.554059815326025,15.607784255406024
39.543056,-9.099731,46.0,2015-05-02T12:00,19.2,70,13.7,19.5,0.0,0.0,0.0,0.0,1,1014.5,1009.1,33,4,0,97,0.42,0.66,13.8,17.0,213,212,31.7,21.4,16.8,15.7,13.9,0.18,0.204,0.181,0.24,1,3600.0,760.0,490.0,270.0,555.6,760.0,1188.3,779.3,502.5,276.9,555.6,779.3,1218.5,0.1616308482642304,48.82496261104917,5.265044842278801,76.17333384021134,0.283766989970025,8.97860349959063
39.543056,-9.099731,46.0,2015-05-03T12:00,17.8,91,16.3,17.1,1.4,1.4,0.0,0.0,61,1012.3,1006.9,100,41,100,100,0.13,0.19,20.1,27.8,190,190,42.5,18.0,16.8,15.8,14.0,0.25,0.201,0.181,0.24,1,0.0,237.0,5.0,232.0,5.7,237.0,1190.7,243.0,5.1,237.9,5.7,243.0,1220.8,0.0006506133295107,24.289037047973963,2.3408975882348586,28.783848072860152,0.0016773011698246,3.890741510292548
39.543056,-9.099731,46.0,2015-05-04T12:00,18.1,92,16.8,16.1,0.0,0.0,0.0,0.0,3,1002.5,997.1,85,77,26,0,0.12,0.17,30.0,46.6,194,197,63.7,17.4,16.3,15.8,14.0,0.314,0.267,0.182,0.24,1,0.0,231.0,22.0,209.0,24.8,231.0,1193.0,236.8,22.6,214.3,24.8,236.8,1223.0,0.0003755686178893,22.246006322853237,0.8729903502124003,5.662000000000001,0.0013633220808085,1.2602171110808655
39.543056,-9.099731,46.0,2015-05-05T12:00,16.7,56,7.9,14.6,0.0,0.0,0.0,0.0,2,1017.7,1012.2,75,39,66,0,0.38,0.83,15.2,18.8,266,265,30.2,19.0,15.7,15.7,14.1,0.264,0.267,0.185,0.24,1,3600.0,682.0,423.0,259.0,476.1,682.0,1195.3,699.1,433.6,265.5,476.1,699.1,1225.2,0.2086778304879265,55.09740922259742,2.061899312,11.072,0.6056336668404093,2.813792238411922
39.543056,-9.099731,46.0,2015-05-06T12:00,17.4,56,8.4,18.4,0.0,0.0,0.0,0.0,1,1020.0,1014.5,34,4,0,100,0.49,0.88,3.7,4.5,119,119,16.6,21.3,15.5,15.6,14.1,0.238,0.253,0.187,0.24,1,3600.0,847.0,563.0,284.0,632.3,847.0,1197.5,868.1,577.0,291.1,632.3,868.1,1227.3,0.2919216478544285,66.40059699302601,4.204884552,16.608,0.6699495799018426,5.150013151528468
39.543056,-9.099731,46.0,2015-05-07T12:00,20.2,59,11.9,20.4,0.0,0.0,0.0,0.0,0,1014.6,1009.2,0,0,0,0,0.52,0.97,16.3,20.1,202,201,33.5,22.1,16.7,15.7,14.1,0.215,0.24,0.188,0.239,1,3600.0,931.0,823.0,108.0,922.2,931.0,1199.6,954.1,843.4,110.7,922.2,954.1,1229.3,0.9679656464606834,76.05217983480448,6.50398653,22.648,1.854361302324624,7.57183172726209
39.543056,-9.099731,46.0,2015-05-08T12:00,18.6,72,13.5,18.2,0.0,0.0,0.0,0.0,3,1023.2,1017.7,90,100,0,0,0.35,0.6,13.4,16.3,246,245,25.2,20.8,17.5,15.9,14.2,0.217,0.231,0.188,0.239,1,3600.0,616.0,226.0,390.0,252.7,616.0,1201.6,631.2,231.6,399.6,252.7,631.2,1231.2,0.8196093970139264,73.66946812058711,7.956161786,28.4,1.4078282093574626,9.358173625825316
39.543056,-9.099731,46.0,2015-05-09T12:00,18.8,72,13.7,20.6,0.0,0.0,0.0,0.0,1,1024.7,1019.2,29,0,0,97,0.47,0.6,7.6,8.8,8,12,20.9,22.1,16.8,16.0,14.2,0.201,0.223,0.188,0.239,1,3600.0,826.0,552.0,274.0,615.9,826.0,1203.6,846.3,565.5,280.7,615.9,846.3,1233.1,1.0932471024068835,79.46286164684855,9.423079938,34.188,1.5793584086254289,11.157757470601975
39.543056,-9.099731,46.0,2015-05-10T12:00,21.5,74,16.7,24.4,0.0,0.0,0.0,0.0,1,1020.0,1014.6,22,0,0,74,0.53,0.66,10.8,13.0,360,5,25.9,23.7,17.5,16.1,14.2,0.186,0.216,0.187,0.239,1,3600.0,921.0,787.0,134.0,876.3,921.0,1205.5,943.5,806.2,137.3,876.3,943.5,1234.9,2.932740034606116,82.04992042000899,10.970030954,40.462,2.4713891649613884,13.076697644339102
39.543056,-9.099731,46.0,2015-05-11T12:00,22.8,68,16.7,26.4,0.0,0.0,0.0,0.0,1,1019.0,1013.6,29,0,0,97,0.57,0.87,6.5,7.7,3,11,19.1,25.2,18.3,16.3,14.3,0.168,0.208,0.187,0.238,1,3600.0,909.0,746.0,163.0,829.0,909.0,1207.3,931.1,764.2,167.0,829.0,931.1,1236.6,3.3574558411370625,83.8732520058267,12.983489322,46.97,2.5107062640257887,15.35551543772456
39.543056,-9.099731,46.0,2015-05-12T12:00,25.8,52,15.2,27.3,0.0,0.0,0.0,0.0,0,1019.3,1014.0,10,0,1,31,0.63,1.59,15.8,20.2,163,161,32.4,25.9,18.7,16.6,14.3,0.151,0.199,0.186,0.238,1,3600.0,935.0,812.0,123.0,900.6,935.0,1209.0,957.7,831.7,126.0,900.6,957.7,1238.3,9.61753623849122,87.38643873238158,16.382779914,54.018,6.534527885533858,18.63575621567152
39.543056,-9.099731,46.0,2015-05-13T12:00,21.0,69,15.2,23.1,0.0,0.0,0.0,0.0,1,1021.7,1016.3,35,0,10,98,0.49,0.77,8.6,9.7,360,2,22.3,24.7,19.0,16.8,14.4,0.136,0.192,0.185,0.238,1,3600.0,817.0,519.0,298.0,574.6,817.0,1210.7,836.7,531.5,305.2,574.6,836.7,1239.9,6.288909633036235,86.11390375960623,18.18641528,60.202,3.79537626939054,20.72260621729911
39.543056,-9.099731,46.0,2015-05-14T12:00,18.2,72,13.0,16.2,0.0,0.0,0.0,0.0,2,1023.8,1018.3,75,79,0,13,0.37,0.59,26.5,33.8,345,346,51.1,21.9,18.6,17.0,14.4,0.126,0.185,0.184,0.238,1,3600.0,744.0,472.0,272.0,521.6,744.0,1212.2,761.9,483.4,278.5,521.6,761.9,1241.4,12.50200972722748,84.98406896403874,19.609104744,65.882,7.992780904733829,22.486222813258927
39.543056,-9.099731,46.0,2015-05-15T12:00,17.4,57,8.8,13.8,0.0,0.0,0.0,0.0,0,1025.8,1020.3,0,0,0,0,0.45,0.86,33.5,44.0,357,358,63.4,21.1,17.3,17.0,14.5,0.113,0.179,0.183,0.237,1,3600.0,933.0,819.0,114.0,903.6,933.0,1213.8,955.4,838.7,116.7,903.6,955.4,1242.9,18.35830400121082,85.6339474609244,21.703385774,71.418,12.444266435587249,24.666709270918428
