index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2207,41.08963,-6.81427,561.0,2006-04-12 00:00:00,6.2,77,2.5,3.8,0.0,0.0,0.0,0.0,0,1020.1,952.9,0,0,0,0,0.0,0.22,4.6,10.9,108,107,11.2,7.8,11.2,10.5,8.2,0.331,0.343,0.349,0.298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2206,41.08963,-6.81427,561.0,2006-04-12 01:00:00,5.5,79,2.2,2.9,0.0,0.0,0.0,0.0,0,1019.9,952.5,0,0,0,0,0.0,0.19,5.4,7.6,86,90,10.4,7.1,10.9,10.5,8.2,0.331,0.343,0.349,0.298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2205,41.08963,-6.81427,561.0,2006-04-12 02:00:00,4.6,83,1.9,2.0,0.0,0.0,0.0,0.0,0,1019.7,952.1,0,0,0,0,0.0,0.14,5.0,6.6,90,77,9.7,6.6,10.6,10.5,8.2,0.331,0.343,0.349,0.298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2204,41.08963,-6.81427,561.0,2006-04-12 03:00:00,3.9,86,1.7,1.5,0.0,0.0,0.0,0.0,0,1019.3,951.6,0,0,0,0,0.0,0.11,4.0,6.2,100,80,9.7,6.1,10.3,10.5,8.2,0.331,0.343,0.349,0.298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2203,41.08963,-6.81427,561.0,2006-04-12 04:00:00,3.3,88,1.5,0.8,0.0,0.0,0.0,0.0,0,1018.8,951.0,0,0,0,0,0.0,0.09,4.0,6.3,100,77,9.4,5.6,10.0,10.5,8.2,0.331,0.343,0.349,0.298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2202,41.08963,-6.81427,561.0,2006-04-12 05:00:00,2.8,89,1.2,0.3,0.0,0.0,0.0,0.0,0,1019.1,951.2,0,0,0,0,0.0,0.08,4.0,7.2,95,63,9.7,5.2,9.7,10.5,8.2,0.331,0.343,0.349,0.298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2201,41.08963,-6.81427,561.0,2006-04-12 06:00:00,2.3,90,0.9,-0.3,0.0,0.0,0.0,0.0,0,1019.5,951.4,0,0,0,0,0.0,0.07,4.7,8.9,90,63,10.4,4.8,9.4,10.4,8.2,0.331,0.343,0.349,0.298,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,,,,,,
2200,41.08963,-6.81427,561.0,2006-04-12 07:00:00,3.8,88,2.0,1.1,0.0,0.0,0.0,0.0,0,1020.0,952.2,0,0,0,0,0.01,0.1,6.1,9.6,90,70,11.2,5.5,9.2,10.4,8.2,0.331,0.342,0.349,0.298,1,2402.02,73.0,47.0,26.0,341.4,73.0,143.4,140.4,90.4,50.0,446.5,107.4,275.8,,,,,,
2199,41.08963,-6.81427,561.0,2006-04-12 08:00:00,7.8,73,3.2,5.7,0.0,0.0,0.0,0.0,0,1020.2,953.4,0,0,0,0,0.1,0.29,4.0,8.9,80,76,13.0,8.7,9.2,10.4,8.2,0.332,0.342,0.349,0.298,1,3600.0,264.0,204.0,60.0,685.7,264.0,405.3,346.2,267.5,78.7,685.7,346.2,531.4,,,,,,
2198,41.08963,-6.81427,561.0,2006-04-12 09:00:00,11.0,59,3.3,8.7,0.0,0.0,0.0,0.0,0,1020.4,954.3,0,0,0,0,0.22,0.54,4.8,6.6,63,68,15.5,11.0,9.3,10.4,8.2,0.331,0.342,0.349,0.298,1,3600.0,468.0,388.0,80.0,814.7,468.0,648.8,548.2,454.5,93.7,814.7,548.2,760.0,,,,,,
