index,index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
2231,2231,41.441124,-6.345337,723.0,2017-03-23T00:00,-0.2,92,-1.3,-4.3,0.0,0.0,0.0,0.0,0,1014.5,927.4,12,13,0,0,0.0,0.05,11.8,22.3,247,249,26.3,4.4,7.4,9.8,8.3,0.324,0.297,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,2230,41.441124,-6.345337,723.0,2017-03-23T01:00,-0.6,93,-1.6,-4.4,0.0,0.0,0.0,0.0,2,1014.4,927.2,70,13,74,47,0.0,0.04,10.2,20.0,231,240,24.1,3.9,7.2,9.8,8.3,0.324,0.297,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,2229,41.441124,-6.345337,723.0,2017-03-23T02:00,-0.7,94,-1.6,-4.3,0.0,0.0,0.0,0.0,3,1014.2,927.0,100,39,89,99,0.0,0.04,7.9,16.1,219,231,19.8,3.6,7.0,9.7,8.3,0.323,0.297,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,2228,41.441124,-6.345337,723.0,2017-03-23T03:00,-0.2,93,-1.3,-4.0,0.0,0.0,0.0,0.0,3,1013.9,926.9,100,95,92,97,0.0,0.04,10.2,17.1,219,221,20.9,3.5,6.8,9.7,8.3,0.323,0.297,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,2227,41.441124,-6.345337,723.0,2017-03-23T04:00,-0.3,93,-1.4,-3.9,0.2,0.0,0.14,0.0,71,1013.4,926.4,100,52,78,90,0.0,0.04,8.4,15.5,220,224,21.6,3.5,6.6,9.7,8.3,0.322,0.297,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,2226,41.441124,-6.345337,723.0,2017-03-23T05:00,-0.5,92,-1.6,-4.2,0.2,0.0,0.14,0.0,71,1013.4,926.3,100,94,26,52,0.0,0.05,9.4,16.9,227,230,18.4,3.3,6.4,9.7,8.3,0.322,0.297,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,2225,41.441124,-6.345337,723.0,2017-03-23T06:00,-0.5,93,-1.5,-4.3,0.0,0.0,0.0,0.0,2,1013.0,926.0,72,70,4,23,0.0,0.04,10.2,16.6,231,231,20.5,3.2,6.2,9.6,8.3,0.322,0.298,0.339,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,2224,41.441124,-6.345337,723.0,2017-03-23T07:00,-0.1,90,-1.5,-4.2,0.0,0.0,0.0,0.0,2,1013.4,926.5,64,71,0,0,0.01,0.06,12.2,16.8,242,242,25.9,3.2,6.1,9.6,8.3,0.321,0.298,0.339,0.341,1,0.0,10.0,3.0,7.0,33.8,10.0,62.2,23.2,7.0,16.2,66.4,11.8,144.3
2223,2223,41.441124,-6.345337,723.0,2017-03-23T08:00,0.9,80,-2.2,-3.3,0.0,0.0,0.0,0.0,2,1013.2,926.6,51,50,10,0,0.04,0.13,11.8,16.6,250,248,27.0,3.5,5.9,9.6,8.3,0.321,0.298,0.339,0.341,1,3600.0,114.0,57.0,57.0,284.0,114.0,276.5,167.2,83.6,83.6,284.0,167.2,405.5
2222,2222,41.441124,-6.345337,723.0,2017-03-23T09:00,2.6,68,-2.8,-2.0,0.0,0.0,0.0,0.0,3,1012.7,926.6,100,63,64,78,0.1,0.24,14.2,19.7,263,262,33.1,4.4,5.9,9.5,8.4,0.32,0.298,0.339,0.341,1,3600.0,303.0,175.0,128.0,458.3,303.0,526.0,368.9,213.0,155.8,458.3,368.9,640.4
