latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
40.738136,-8.0425415,278.0,2009-05-14T00:00,12.0,96,11.4,11.2,0.2,0.2,0.0,0.0,51,1017.5,984.3,100,98,24,0,0.0,0.05,8.4,13.7,263,272,17.3,13.5,14.8,14.6,12.0,0.289,0.254,0.295,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T01:00,12.1,97,11.6,11.0,0.1,0.1,0.0,0.0,51,1017.0,983.8,100,97,25,7,0.0,0.05,10.5,17.7,292,303,18.4,13.5,14.7,14.6,12.0,0.289,0.254,0.295,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T02:00,12.2,97,11.7,10.7,0.3,0.3,0.0,0.0,51,1017.5,984.3,100,100,8,25,0.0,0.05,13.3,22.7,308,316,23.0,13.4,14.6,14.6,12.0,0.289,0.254,0.295,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T03:00,12.2,94,11.3,10.5,0.0,0.0,0.0,0.0,3,1017.5,984.3,88,84,0,41,0.0,0.08,14.3,24.2,313,319,28.1,13.3,14.5,14.6,12.0,0.29,0.254,0.295,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T04:00,11.6,95,10.8,10.0,0.0,0.0,0.0,0.0,3,1017.7,984.4,94,82,0,66,0.0,0.08,12.5,22.6,316,323,30.2,13.0,14.5,14.6,12.0,0.29,0.254,0.295,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T05:00,11.0,94,10.0,9.3,0.0,0.0,0.0,0.0,3,1018.6,985.2,97,84,0,72,0.0,0.08,11.7,21.7,317,324,29.9,12.7,14.3,14.6,12.0,0.29,0.255,0.295,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T06:00,10.5,92,9.3,8.7,0.0,0.0,0.0,0.0,3,1018.9,985.5,94,79,0,76,0.02,0.1,11.2,20.6,318,327,28.4,12.5,14.2,14.6,12.0,0.289,0.255,0.295,0.361,1,0.0,10.0,3.0,7.0,31.2,10.0,69.8,23.0,6.9,16.1,57.6,12.5,160.4
40.738136,-8.0425415,278.0,2009-05-14T07:00,10.6,82,7.7,8.0,0.0,0.0,0.0,0.0,2,1019.3,985.9,51,52,1,13,0.05,0.23,14.0,21.3,325,330,28.8,12.5,14.1,14.6,12.0,0.289,0.255,0.295,0.361,1,728.56,72.0,18.0,54.0,84.3,72.0,286.1,103.6,25.9,77.7,84.3,103.6,411.6
40.738136,-8.0425415,278.0,2009-05-14T08:00,11.6,73,6.8,8.3,0.0,0.0,0.0,0.0,2,1019.7,986.4,54,58,1,3,0.13,0.37,16.6,23.5,333,335,37.1,13.3,14.1,14.5,12.0,0.288,0.255,0.295,0.361,1,3600.0,264.0,158.0,106.0,396.2,264.0,534.1,323.1,193.4,129.7,396.2,323.1,653.7
40.738136,-8.0425415,278.0,2009-05-14T09:00,12.6,64,6.0,9.2,0.0,0.0,0.0,0.0,2,1019.8,986.6,72,77,2,4,0.2,0.52,16.7,23.2,335,336,38.9,14.4,14.1,14.5,12.0,0.287,0.255,0.295,0.361,1,3600.0,385.0,228.0,157.0,399.3,385.0,764.9,438.1,259.4,178.7,399.3,438.1,870.4
40.738136,-8.0425415,278.0,2009-05-14T10:00,13.5,59,5.8,10.2,0.0,0.0,0.0,0.0,2,1019.9,986.8,78,72,22,0,0.25,0.63,15.7,21.3,328,330,38.9,15.4,14.2,14.5,12.0,0.285,0.255,0.295,0.361,1,3600.0,466.0,269.0,197.0,374.4,466.0,962.5,506.8,292.5,214.2,374.4,506.8,1046.7
40.738136,-8.0425415,278.0,2009-05-14T11:00,14.2,56,5.6,10.5,0.0,0.0,0.0,0.0,3,1019.9,986.8,100,90,42,0,0.24,0.71,17.9,24.5,326,327,38.5,16.2,14.3,14.5,12.0,0.283,0.255,0.295,0.361,1,1952.79,394.0,104.0,290.0,125.1,394.0,1113.6,414.3,109.3,304.9,125.1,414.3,1170.9
40.738136,-8.0425415,278.0,2009-05-14T12:00,15.3,51,5.3,11.4,0.0,0.0,0.0,0.0,3,1019.8,986.9,100,88,26,36,0.32,0.84,18.8,25.8,324,324,40.0,17.2,14.5,14.5,12.0,0.281,0.255,0.295,0.361,1,3600.0,534.0,199.0,335.0,220.7,534.0,1207.9,545.7,203.3,342.3,220.7,545.7,1234.3
40.738136,-8.0425415,278.0,2009-05-14T13:00,15.9,49,5.2,11.9,0.0,0.0,0.0,0.0,3,1019.7,986.8,90,68,14,67,0.31,0.93,19.2,26.0,322,323,42.1,17.7,14.7,14.5,12.1,0.279,0.255,0.295,0.361,1,3129.45,492.0,152.0,340.0,164.3,492.0,1239.0,489.5,151.2,338.3,164.3,489.5,1232.7
40.738136,-8.0425415,278.0,2009-05-14T14:00,16.1,48,5.2,12.0,0.0,0.0,0.0,0.0,3,1019.4,986.6,100,96,4,49,0.3,0.94,19.7,27.0,322,323,42.8,18.0,14.9,14.5,12.1,0.277,0.255,0.295,0.361,1,1868.57,450.0,110.0,340.0,122.3,450.0,1204.8,435.6,106.5,329.1,122.3,435.6,1166.3
40.738136,-8.0425415,278.0,2009-05-14T15:00,16.2,48,5.2,12.0,0.0,0.0,0.0,0.0,3,1019.4,986.6,96,95,0,35,0.32,0.96,20.2,28.1,319,320,44.6,18.3,15.1,14.5,12.1,0.275,0.254,0.295,0.361,1,3600.0,503.0,214.0,289.0,258.8,503.0,1107.7,472.1,200.8,271.2,258.8,472.1,1039.5
40.738136,-8.0425415,278.0,2009-05-14T16:00,16.0,49,5.3,11.8,0.0,0.0,0.0,0.0,3,1019.3,986.5,80,83,0,18,0.3,0.92,20.6,28.9,317,320,46.4,18.2,15.3,14.5,12.1,0.272,0.254,0.294,0.361,1,3600.0,476.0,184.0,292.0,258.3,476.0,954.2,429.5,166.0,263.5,258.3,429.5,861.1
40.738136,-8.0425415,278.0,2009-05-14T17:00,15.2,53,5.8,11.1,0.0,0.0,0.0,0.0,2,1019.4,986.5,58,64,0,0,0.23,0.8,20.9,29.4,318,320,46.4,17.6,15.4,14.5,12.1,0.271,0.254,0.294,0.361,1,3309.97,329.0,96.0,233.0,170.3,329.0,754.8,280.3,81.8,198.5,170.3,280.3,643.1
40.738136,-8.0425415,278.0,2009-05-14T18:00,14.2,60,6.6,10.4,0.0,0.0,0.0,0.0,1,1019.6,986.6,43,48,0,0,0.16,0.65,19.9,29.0,319,322,45.7,16.7,15.4,14.5,12.1,0.27,0.254,0.294,0.361,1,3600.0,230.0,129.0,101.0,330.2,230.0,523.3,176.1,98.7,77.3,330.2,176.1,400.5
40.738136,-8.0425415,278.0,2009-05-14T19:00,12.7,67,6.7,9.4,0.0,0.0,0.0,0.0,1,1019.8,986.6,23,23,0,7,0.09,0.49,16.9,27.5,320,323,42.5,15.5,15.4,14.5,12.1,0.269,0.254,0.294,0.361,1,3600.0,115.0,54.0,61.0,262.7,115.0,275.2,62.6,29.4,33.2,262.7,62.6,149.9
40.738136,-8.0425415,278.0,2009-05-14T20:00,11.4,73,6.8,8.5,0.0,0.0,0.0,0.0,0,1020.3,986.9,16,12,0,17,0.05,0.36,14.3,26.3,321,327,37.8,14.1,15.3,14.5,12.1,0.269,0.254,0.294,0.361,0,31.86,15.0,6.0,9.0,65.0,15.0,64.7,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T21:00,10.6,78,6.9,8.1,0.0,0.0,0.0,0.0,0,1020.7,987.2,11,7,0,15,0.01,0.28,11.4,23.8,325,331,33.1,13.1,15.2,14.5,12.1,0.269,0.254,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T22:00,9.8,83,7.0,7.7,0.0,0.0,0.0,0.0,0,1021.3,987.7,10,4,0,23,0.0,0.21,8.9,20.1,328,336,28.4,12.2,15.0,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-14T23:00,8.7,89,7.1,6.9,0.0,0.0,0.0,0.0,0,1021.2,987.5,4,1,0,10,0.0,0.12,7.0,18.2,325,335,23.8,11.3,14.8,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T00:00,8.0,92,6.8,6.2,0.0,0.0,0.0,0.0,0,1021.4,987.6,3,3,0,0,0.0,0.09,6.6,17.1,319,332,20.9,10.6,14.5,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T01:00,7.6,92,6.3,5.7,0.0,0.0,0.0,0.0,0,1021.3,987.4,12,13,0,0,0.0,0.09,6.4,17.4,322,333,18.7,10.1,14.3,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T02:00,7.1,93,6.0,5.1,0.0,0.0,0.0,0.0,0,1021.1,987.2,4,4,0,0,0.0,0.07,6.8,18.1,328,337,18.0,9.5,14.0,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T03:00,6.8,93,5.8,4.8,0.0,0.0,0.0,0.0,0,1021.0,987.1,7,6,0,5,0.0,0.07,6.9,17.5,332,341,17.3,9.1,13.7,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T04:00,6.4,94,5.5,4.0,0.0,0.0,0.0,0.0,0,1020.7,986.7,8,4,0,13,0.0,0.06,8.5,15.4,332,344,17.6,8.6,13.4,14.5,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T05:00,5.8,96,5.2,3.5,0.0,0.0,0.0,0.0,0,1020.8,986.7,5,2,0,12,0.0,0.04,8.0,14.1,333,345,17.3,8.3,13.2,14.4,12.1,0.268,0.255,0.294,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T06:00,5.8,96,5.2,3.9,0.0,0.0,0.0,0.0,0,1021.0,986.9,6,4,0,8,0.0,0.04,4.8,12.1,333,350,15.8,8.3,12.9,14.4,12.1,0.268,0.255,0.294,0.361,1,260.33,20.0,9.0,11.0,92.3,20.0,71.5,45.8,20.6,25.2,168.5,25.1,163.8
40.738136,-8.0425415,278.0,2009-05-15T07:00,8.3,86,6.2,6.6,0.0,0.0,0.0,0.0,0,1021.1,987.3,3,2,0,3,0.05,0.15,5.0,8.5,339,348,15.8,10.1,12.8,14.4,12.1,0.268,0.255,0.294,0.361,1,3600.0,143.0,89.0,54.0,411.9,143.0,289.3,204.9,127.5,77.4,411.9,204.9,414.5
40.738136,-8.0425415,278.0,2009-05-15T08:00,10.0,71,4.9,7.3,0.0,0.0,0.0,0.0,0,1021.2,987.6,3,3,0,0,0.15,0.36,9.7,12.8,345,349,22.7,12.4,12.8,14.4,12.1,0.267,0.255,0.294,0.361,1,3600.0,342.0,267.0,75.0,665.8,342.0,536.9,418.0,326.3,91.7,665.8,418.0,656.3
40.738136,-8.0425415,278.0,2009-05-15T09:00,11.5,63,4.7,8.5,0.0,0.0,0.0,0.0,0,1021.2,987.8,4,5,0,0,0.25,0.5,11.4,14.9,342,345,28.1,14.4,12.9,14.4,12.1,0.266,0.255,0.294,0.361,1,3600.0,537.0,439.0,98.0,766.2,537.0,767.2,610.7,499.3,111.5,766.2,610.7,872.5
40.738136,-8.0425415,278.0,2009-05-15T10:00,12.8,58,4.8,10.7,0.0,0.0,0.0,0.0,0,1021.0,987.8,1,1,0,0,0.32,0.62,10.0,13.0,339,341,28.8,16.2,13.1,14.4,12.1,0.264,0.255,0.294,0.361,1,3600.0,661.0,533.0,128.0,739.9,661.0,964.5,718.6,579.5,139.2,739.9,718.6,1048.6
40.738136,-8.0425415,278.0,2009-05-15T11:00,14.1,55,5.2,13.1,0.0,0.0,0.0,0.0,0,1020.1,987.0,13,14,0,0,0.41,0.73,9.5,12.1,331,333,28.1,17.9,13.4,14.4,12.1,0.262,0.255,0.294,0.361,1,3600.0,806.0,641.0,165.0,769.5,806.0,1115.3,847.3,673.9,173.5,769.5,847.3,1172.5
40.738136,-8.0425415,278.0,2009-05-15T12:00,15.5,53,5.9,15.2,0.0,0.0,0.0,0.0,0,1019.9,987.0,8,9,0,0,0.49,0.83,10.0,12.7,322,325,29.5,19.5,13.8,14.4,12.1,0.259,0.254,0.294,0.361,1,3600.0,928.0,797.0,131.0,882.3,928.0,1209.5,948.2,814.4,133.9,882.3,948.2,1235.8
40.738136,-8.0425415,278.0,2009-05-15T13:00,16.4,51,6.3,16.2,0.0,0.0,0.0,0.0,0,1019.3,986.5,1,1,0,0,0.51,0.91,10.7,13.5,315,316,31.7,20.4,14.2,14.4,12.1,0.256,0.254,0.294,0.361,1,3600.0,939.0,788.0,151.0,850.4,939.0,1240.5,934.2,784.0,150.2,850.4,934.2,1234.3
40.738136,-8.0425415,278.0,2009-05-15T14:00,17.1,50,6.6,16.5,0.0,0.0,0.0,0.0,0,1019.0,986.3,0,0,0,0,0.51,0.98,12.8,16.4,308,310,33.1,20.9,14.6,14.4,12.1,0.253,0.254,0.294,0.361,1,3600.0,926.0,803.0,123.0,891.1,926.0,1206.4,896.5,777.4,119.1,891.1,896.5,1168.0
40.738136,-8.0425415,278.0,2009-05-15T15:00,17.5,49,6.8,15.9,0.0,0.0,0.0,0.0,0,1018.6,986.0,0,0,0,0,0.47,1.01,15.5,20.0,306,308,34.9,21.1,14.9,14.3,12.1,0.25,0.253,0.294,0.361,1,3600.0,844.0,737.0,107.0,889.3,844.0,1109.4,792.3,691.8,100.4,889.3,792.3,1041.4
40.738136,-8.0425415,278.0,2009-05-15T16:00,17.3,51,7.0,15.0,0.0,0.0,0.0,0.0,0,1018.7,986.0,0,0,0,0,0.39,0.97,16.3,21.3,305,307,37.1,20.7,15.3,14.3,12.1,0.248,0.253,0.294,0.361,1,3600.0,704.0,601.0,103.0,841.4,704.0,956.3,635.6,542.6,93.0,841.4,635.6,863.3
40.738136,-8.0425415,278.0,2009-05-15T17:00,16.5,55,7.3,13.4,0.0,0.0,0.0,0.0,0,1018.9,986.1,0,0,0,0,0.3,0.85,16.1,21.5,304,305,37.4,19.8,15.5,14.4,12.1,0.247,0.253,0.294,0.361,1,3600.0,525.0,422.0,103.0,746.0,525.0,757.3,447.7,359.9,87.8,746.0,447.7,645.8
40.738136,-8.0425415,278.0,2009-05-15T18:00,15.3,60,7.5,12.4,0.0,0.0,0.0,0.0,0,1019.2,986.3,2,1,1,0,0.19,0.7,15.2,20.8,301,304,36.7,18.5,15.6,14.4,12.1,0.246,0.253,0.293,0.361,1,3600.0,336.0,261.0,75.0,664.1,336.0,526.2,257.8,200.2,57.5,664.1,257.8,403.7
40.738136,-8.0425415,278.0,2009-05-15T19:00,13.8,67,7.7,11.5,0.0,0.0,0.0,0.0,0,1019.3,986.2,3,3,0,0,0.09,0.52,11.6,18.0,300,303,32.8,16.9,15.7,14.4,12.1,0.245,0.253,0.293,0.361,1,3600.0,145.0,94.0,51.0,451.7,145.0,278.6,79.9,51.8,28.1,451.7,79.9,153.5
40.738136,-8.0425415,278.0,2009-05-15T20:00,12.4,73,7.7,10.6,0.0,0.0,0.0,0.0,0,1019.4,986.2,12,9,6,0,0.03,0.39,7.9,17.1,300,305,25.2,15.3,15.6,14.4,12.1,0.245,0.253,0.293,0.361,0,100.61,17.0,7.0,10.0,74.7,17.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T21:00,11.3,79,7.7,9.9,0.0,0.0,0.0,0.0,0,1020.0,986.6,20,16,9,0,0.0,0.29,6.0,13.4,295,306,19.4,14.1,15.5,14.4,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T22:00,10.8,82,7.9,9.7,0.0,0.0,0.0,0.0,1,1020.4,986.9,40,30,21,0,0.0,0.23,3.3,5.9,276,308,13.7,13.2,15.4,14.4,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-15T23:00,10.4,85,8.0,9.6,0.0,0.0,0.0,0.0,2,1020.2,986.7,66,63,15,0,0.0,0.18,1.8,3.2,233,297,11.9,12.6,15.2,14.4,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T00:00,9.9,89,8.2,9.1,0.0,0.0,0.0,0.0,2,1020.1,986.5,80,84,7,0,0.0,0.14,2.2,1.9,189,248,9.0,12.1,15.0,14.4,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T01:00,9.7,92,8.4,8.8,0.0,0.0,0.0,0.0,3,1019.5,985.9,88,96,2,0,0.0,0.1,2.7,2.7,157,203,7.6,11.7,14.8,14.4,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T02:00,9.7,91,8.4,8.7,0.0,0.0,0.0,0.0,3,1019.0,985.5,89,99,0,0,0.0,0.1,3.9,4.3,146,180,7.9,11.6,14.6,14.4,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T03:00,10.1,88,8.2,9.0,0.0,0.0,0.0,0.0,3,1018.6,985.1,89,99,0,0,0.0,0.15,4.1,5.1,142,172,8.6,11.7,14.5,14.3,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T04:00,9.9,90,8.4,8.8,0.0,0.0,0.0,0.0,3,1018.3,984.8,90,100,0,0,0.0,0.12,4.6,6.2,135,159,8.6,11.6,14.3,14.3,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T05:00,10.1,89,8.4,8.9,0.0,0.0,0.0,0.0,3,1017.5,984.1,91,100,1,0,0.0,0.13,4.9,6.8,126,148,8.6,11.6,14.1,14.3,12.1,0.245,0.253,0.293,0.361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.738136,-8.0425415,278.0,2009-05-16T06:00,10.5,87,8.4,9.3,0.0,0.0,0.0,0.0,3,1017.5,984.1,100,99,6,28,0.02,0.17,4.9,7.0,126,145,9.0,11.8,14.0,14.3,12.1,0.245,0.253,0.293,0.361,1,0.0,7.0,1.0,6.0,10.1,7.0,73.2,16.0,2.3,13.7,18.3,8.9,167.2
40.738136,-8.0425415,278.0,2009-05-16T07:00,11.5,84,8.9,10.5,0.0,0.0,0.0,0.0,3,1017.6,984.3,100,96,9,58,0.04,0.22,4.8,7.2,138,153,11.5,12.7,13.9,14.3,12.1,0.245,0.253,0.293,0.361,1,0.0,43.0,6.0,37.0,27.5,43.0,292.4,61.4,8.6,52.8,27.5,61.4,417.4
40.738136,-8.0425415,278.0,2009-05-16T08:00,13.1,86,10.8,12.5,0.0,0.0,0.0,0.0,3,1017.4,984.3,88,77,14,34,0.1,0.21,5.9,7.2,169,174,15.5,14.3,14.0,14.3,12.1,0.244,0.253,0.293,0.361,1,1250.94,185.0,41.0,144.0,101.7,185.0,539.6,225.8,50.1,175.8,101.7,225.8,658.7
40.738136,-8.0425415,278.0,2009-05-16T09:00,14.4,82,11.4,13.7,0.0,0.0,0.0,0.0,3,1017.7,984.7,94,78,8,65,0.2,0.29,7.7,9.6,217,214,20.2,15.8,14.1,14.3,12.1,0.244,0.253,0.293,0.361,1,3600.0,391.0,238.0,153.0,414.0,391.0,769.4,444.4,270.5,173.9,414.0,444.4,874.6
40.738136,-8.0425415,278.0,2009-05-16T10:00,16.1,73,11.2,15.1,0.2,0.2,0.0,0.0,51,1017.6,984.8,75,65,25,6,0.25,0.5,9.2,11.8,239,239,25.2,17.1,14.3,14.3,12.1,0.243,0.253,0.293,0.361,1,3600.0,446.0,240.0,206.0,332.4,446.0,966.4,484.7,260.9,223.9,332.4,484.7,1050.3
40.738136,-8.0425415,278.0,2009-05-16T11:00,17.2,66,10.9,15.7,0.0,0.0,0.0,0.0,3,1017.1,984.5,84,65,43,0,0.24,0.66,12.5,16.1,237,236,30.2,18.0,14.5,14.3,12.1,0.243,0.253,0.293,0.361,1,2657.14,379.0,124.0,255.0,148.6,379.0,1117.0,398.4,130.3,268.0,148.6,398.4,1174.0
40.738136,-8.0425415,278.0,2009-05-16T12:00,17.6,67,11.3,15.9,0.2,0.2,0.0,0.0,51,1016.9,984.3,65,52,30,0,0.28,0.67,14.2,18.8,234,234,35.3,18.6,14.7,14.3,12.1,0.243,0.253,0.293,0.361,1,3007.3,451.0,145.0,306.0,160.2,451.0,1211.0,460.8,148.1,312.6,160.2,460.8,1237.3
40.738136,-8.0425415,278.0,2009-05-16T13:00,18.4,63,11.2,16.7,0.3,0.3,0.0,0.0,51,1016.3,983.8,68,55,31,0,0.37,0.78,16.9,22.0,232,232,39.6,19.4,15.0,14.3,12.1,0.241,0.252,0.293,0.361,1,3600.0,636.0,331.0,305.0,356.7,636.0,1242.0,632.8,329.3,303.5,356.7,632.8,1235.8
40.738136,-8.0425415,278.0,2009-05-16T14:00,19.0,58,10.7,17.6,0.3,0.3,0.0,0.0,51,1016.1,983.7,72,57,34,0,0.44,0.92,18.9,25.5,239,239,44.3,20.4,15.3,14.3,12.1,0.239,0.252,0.293,0.361,1,3600.0,778.0,589.0,189.0,652.5,778.0,1208.0,753.3,570.3,183.0,652.5,753.3,1169.6
40.738136,-8.0425415,278.0,2009-05-16T15:00,18.1,64,11.3,15.4,0.2,0.2,0.0,0.0,51,1016.0,983.5,42,20,40,0,0.29,0.74,20.8,27.9,244,245,45.4,19.9,15.5,14.3,12.1,0.238,0.252,0.293,0.361,1,3600.0,476.0,325.0,151.0,391.4,476.0,1111.2,446.9,305.1,141.8,391.4,446.9,1043.3
