index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,41.441124,-8.546783,92.0,2021-03-11 00:00:00,11.9,98,11.6,10.9,0.0,0.0,0.0,0.0,3,1025.9,1014.7,100,100,0,99,0.0,0.03,10.4,20.0,194,203,17.6,11.8,11.2,11.6,12.0,0.34,0.35,0.369,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,41.441124,-8.546783,92.0,2021-03-11 01:00:00,12.1,99,11.9,11.2,0.1,0.1,0.0,0.0,51,1025.8,1014.6,100,100,0,98,0.0,0.02,10.3,20.0,205,214,19.4,11.7,11.2,11.6,12.0,0.341,0.35,0.368,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,41.441124,-8.546783,92.0,2021-03-11 02:00:00,12.1,99,11.9,11.2,0.1,0.1,0.0,0.0,51,1025.6,1014.4,100,100,0,98,0.0,0.02,10.7,20.1,200,209,19.4,11.7,11.3,11.6,12.0,0.342,0.35,0.368,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,41.441124,-8.546783,92.0,2021-03-11 03:00:00,12.1,99,11.9,11.1,0.1,0.1,0.0,0.0,51,1025.2,1014.0,100,100,0,98,0.0,0.02,10.9,20.6,197,209,19.8,11.6,11.3,11.6,12.0,0.343,0.35,0.368,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,41.441124,-8.546783,92.0,2021-03-11 04:00:00,12.1,99,11.9,11.3,0.5,0.5,0.0,0.0,53,1024.7,1013.5,100,100,13,98,0.0,0.02,9.8,18.9,204,215,20.2,11.7,11.3,11.6,12.0,0.348,0.35,0.368,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,41.441124,-8.546783,92.0,2021-03-11 05:00:00,12.2,99,12.1,11.5,0.6,0.6,0.0,0.0,53,1024.6,1013.4,100,100,0,95,0.0,0.01,9.7,18.8,225,234,17.6,11.7,11.4,11.6,12.0,0.357,0.35,0.368,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,41.441124,-8.546783,92.0,2021-03-11 06:00:00,12.3,99,12.1,11.6,0.1,0.1,0.0,0.0,51,1024.9,1013.7,100,90,0,96,0.0,0.02,9.4,18.4,223,230,17.3,11.8,11.4,11.6,12.0,0.357,0.35,0.368,0.413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2224,41.441124,-8.546783,92.0,2021-03-11 07:00:00,12.2,99,12.0,11.3,0.0,0.0,0.0,0.0,3,1025.2,1014.0,100,88,0,95,0.0,0.02,10.0,19.9,218,225,18.0,11.7,11.4,11.6,12.0,0.358,0.35,0.368,0.413,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,,,,,,
2223,41.441124,-8.546783,92.0,2021-03-11 08:00:00,12.6,97,12.2,11.4,0.3,0.3,0.0,0.0,51,1025.7,1014.5,100,85,20,84,0.02,0.04,13.0,22.2,222,227,23.4,11.9,11.5,11.6,12.0,0.361,0.351,0.368,0.413,1,0.0,29.0,4.0,25.0,29.1,29.0,147.9,54.8,7.6,47.2,37.5,42.5,279.4,,,,,,
2222,41.441124,-8.546783,92.0,2021-03-11 09:00:00,13.1,95,12.3,11.2,0.5,0.5,0.0,0.0,53,1026.2,1015.0,69,35,19,87,0.04,0.07,17.6,27.2,224,224,31.3,12.3,11.5,11.6,12.0,0.367,0.351,0.368,0.413,1,0.0,93.0,13.0,80.0,44.7,93.0,403.6,120.3,16.8,103.5,44.7,120.3,522.2,,,,,,
