index,index.1,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,2231,40.45694,-7.2355347,651.0,2009-06-09 00:00:00,9.8,90,8.2,8.1,0.0,0.0,0.0,0.0,2,1016.3,940.0,57,35,43,0,0.0,0.12,7.9,15.1,231,237,17.3,12.2,15.9,16.9,12.5,0.267,0.197,0.253,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,2230,40.45694,-7.2355347,651.0,2009-06-09 01:00:00,9.6,92,8.3,8.0,0.0,0.0,0.0,0.0,2,1016.2,939.9,52,35,34,0,0.0,0.1,7.7,15.5,229,234,18.4,11.9,15.7,16.8,12.5,0.266,0.197,0.253,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,2229,40.45694,-7.2355347,651.0,2009-06-09 02:00:00,9.5,93,8.3,7.8,0.0,0.0,0.0,0.0,2,1016.4,940.0,58,42,33,0,0.0,0.09,8.7,14.7,228,234,18.7,11.7,15.5,16.8,12.5,0.266,0.198,0.253,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,2228,40.45694,-7.2355347,651.0,2009-06-09 03:00:00,9.7,91,8.2,8.1,0.0,0.0,0.0,0.0,2,1016.6,940.3,52,37,23,16,0.0,0.11,7.4,14.6,223,232,20.5,11.7,15.3,16.8,12.5,0.265,0.198,0.253,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,2227,40.45694,-7.2355347,651.0,2009-06-09 04:00:00,9.8,90,8.2,8.2,0.0,0.0,0.0,0.0,3,1017.2,940.8,97,55,31,96,0.0,0.12,7.4,14.3,223,231,20.5,11.8,15.2,16.8,12.5,0.265,0.198,0.253,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,2226,40.45694,-7.2355347,651.0,2009-06-09 05:00:00,9.8,89,8.2,8.3,0.0,0.0,0.0,0.0,3,1017.4,941.0,93,51,30,97,0.0,0.13,7.1,13.6,221,230,19.1,11.8,15.0,16.8,12.5,0.265,0.198,0.253,0.329,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,2225,40.45694,-7.2355347,651.0,2009-06-09 06:00:00,9.8,90,8.3,8.1,0.0,0.0,0.0,0.0,2,1017.8,941.4,73,40,13,98,0.02,0.12,8.9,12.2,220,225,19.1,11.7,14.8,16.8,12.5,0.264,0.198,0.253,0.329,1,0.0,25.0,6.0,19.0,50.2,25.0,102.7,53.9,12.9,41.0,77.5,34.9,221.6,,,,,,
2224,2224,40.45694,-7.2355347,651.0,2009-06-09 07:00:00,10.9,84,8.3,8.9,0.0,0.0,0.0,0.0,3,1018.2,942.1,81,53,15,81,0.06,0.21,10.7,14.2,237,240,24.1,12.8,14.8,16.7,12.6,0.264,0.198,0.253,0.329,1,405.53,117.0,19.0,98.0,73.5,117.0,343.1,158.4,25.7,132.7,73.5,158.4,464.4,,,,,,
2223,2223,40.45694,-7.2355347,651.0,2009-06-09 08:00:00,12.0,75,7.8,9.8,0.0,0.0,0.0,0.0,2,1018.3,942.4,59,55,6,21,0.13,0.35,11.3,14.7,243,245,25.2,14.0,14.7,16.7,12.6,0.263,0.198,0.253,0.329,1,3600.0,254.0,116.0,138.0,264.2,254.0,582.9,304.4,139.0,165.4,264.2,304.4,698.5,,,,,,
2222,2222,40.45694,-7.2355347,651.0,2009-06-09 09:00:00,13.0,68,7.3,10.5,0.0,0.0,0.0,0.0,2,1018.1,942.5,60,57,15,0,0.18,0.47,11.9,15.3,241,240,25.6,15.1,14.8,16.7,12.6,0.262,0.199,0.253,0.329,1,3600.0,315.0,176.0,139.0,289.9,315.0,805.8,354.9,198.3,156.6,289.9,354.9,907.8,,,,,,
2221,2221,40.45694,-7.2355347,651.0,2009-06-09 10:00:00,14.6,62,7.3,12.3,0.0,0.0,0.0,0.0,3,1018.6,943.4,92,91,11,12,0.29,0.64,11.5,14.5,221,222,28.4,17.3,15.0,16.7,12.6,0.259,0.199,0.253,0.329,1,3600.0,534.0,258.0,276.0,343.6,534.0,996.7,577.6,279.1,298.5,343.6,577.6,1078.1,,,,,,
2220,2220,40.45694,-7.2355347,651.0,2009-06-09 11:00:00,15.6,58,7.4,12.9,0.0,0.0,0.0,0.0,3,1018.7,943.7,100,95,12,69,0.31,0.74,13.5,17.3,226,227,30.6,18.5,15.2,16.7,12.6,0.257,0.199,0.253,0.329,1,3600.0,542.0,255.0,287.0,296.2,542.0,1142.6,568.2,267.3,300.9,296.2,568.2,1197.8,,,,,,
2219,2219,40.45694,-7.2355347,651.0,2009-06-09 12:00:00,16.1,57,7.5,13.2,0.0,0.0,0.0,0.0,3,1018.8,943.9,100,98,21,74,0.27,0.79,15.3,19.6,225,226,31.3,18.7,15.4,16.7,12.6,0.255,0.199,0.253,0.329,1,1234.58,414.0,94.0,320.0,101.2,414.0,1233.5,422.5,95.9,326.6,101.2,422.5,1258.9,,,,,,
2218,2218,40.45694,-7.2355347,651.0,2009-06-09 13:00:00,16.8,55,7.6,13.8,0.0,0.0,0.0,0.0,3,1018.3,943.6,100,97,12,58,0.29,0.87,16.3,21.2,221,222,33.1,19.0,15.6,16.6,12.6,0.253,0.199,0.252,0.329,1,91.33,431.0,60.0,371.0,63.0,431.0,1263.2,428.9,59.7,369.2,63.0,428.9,1257.0,,,,,,
2217,2217,40.45694,-7.2355347,651.0,2009-06-09 14:00:00,17.5,54,8.0,14.5,0.0,0.0,0.0,0.0,3,1017.9,943.4,100,99,42,59,0.31,0.93,16.8,21.9,222,221,35.6,19.5,15.9,16.6,12.6,0.25,0.199,0.252,0.329,1,1502.6,469.0,102.0,367.0,110.1,469.0,1229.8,454.7,98.9,355.8,110.1,454.7,1192.4,,,,,,
2216,2216,40.45694,-7.2355347,651.0,2009-06-09 15:00:00,17.8,54,8.4,14.7,0.0,0.0,0.0,0.0,3,1017.6,943.2,100,100,76,60,0.29,0.93,17.8,23.4,223,223,37.1,19.7,16.1,16.6,12.6,0.248,0.199,0.252,0.329,1,1461.26,408.0,93.0,315.0,108.7,408.0,1135.5,384.3,87.6,296.7,108.7,384.3,1069.4,,,,,,
2215,2215,40.45694,-7.2355347,651.0,2009-06-09 16:00:00,17.4,57,8.7,14.4,0.0,0.0,0.0,0.0,3,1017.7,943.2,100,100,97,39,0.2,0.86,18.1,25.2,223,223,37.1,18.9,16.2,16.6,12.6,0.247,0.199,0.252,0.329,1,0.0,220.0,17.0,203.0,22.9,220.0,986.7,199.9,15.4,184.4,22.9,199.9,896.5,,,,,,
2214,2214,40.45694,-7.2355347,651.0,2009-06-09 17:00:00,16.7,61,9.2,14.0,0.0,0.0,0.0,0.0,3,1017.6,943.0,100,100,99,3,0.14,0.74,17.3,24.7,228,228,36.4,18.0,16.3,16.6,12.6,0.245,0.199,0.252,0.329,1,0.0,112.0,0.0,112.0,0.0,112.0,793.6,96.7,0.0,96.7,0.0,96.7,685.5,,,,,,
2213,2213,40.45694,-7.2355347,651.0,2009-06-09 18:00:00,16.1,66,9.7,14.1,0.0,0.0,0.0,0.0,3,1018.0,943.2,100,100,98,17,0.1,0.63,13.6,20.4,238,238,31.3,17.2,16.4,16.6,12.6,0.245,0.199,0.252,0.329,1,0.0,57.0,0.0,57.0,0.0,57.0,569.4,45.1,0.0,45.1,0.0,45.1,450.6,,,,,,
2212,2212,40.45694,-7.2355347,651.0,2009-06-09 19:00:00,16.0,68,10.2,14.4,0.0,0.0,0.0,0.0,3,1018.6,943.7,100,100,100,3,0.07,0.58,11.4,17.7,252,250,29.2,16.7,16.4,16.6,12.6,0.244,0.199,0.252,0.329,1,0.0,32.0,0.0,32.0,0.0,32.0,329.3,20.2,0.0,20.2,0.0,20.2,208.0,,,,,,
2211,2211,40.45694,-7.2355347,651.0,2009-06-09 20:00:00,15.4,73,10.5,14.1,0.0,0.0,0.0,0.0,3,1018.9,943.8,100,97,99,0,0.05,0.47,9.9,16.7,251,251,25.2,16.1,16.4,16.6,12.6,0.243,0.199,0.252,0.329,0,0.0,7.0,2.0,5.0,17.5,7.0,93.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2210,2210,40.45694,-7.2355347,651.0,2009-06-09 21:00:00,14.9,77,10.9,13.8,0.0,0.0,0.0,0.0,2,1019.4,944.2,70,38,44,30,0.01,0.39,9.5,15.5,241,242,23.4,15.7,16.4,16.6,12.6,0.243,0.199,0.252,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2209,2209,40.45694,-7.2355347,651.0,2009-06-09 22:00:00,14.0,82,11.0,12.9,0.0,0.0,0.0,0.0,2,1019.8,944.3,52,32,1,76,0.01,0.29,9.5,17.5,233,238,21.2,14.9,16.3,16.5,12.6,0.243,0.199,0.252,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2208,2208,40.45694,-7.2355347,651.0,2009-06-09 23:00:00,13.1,87,10.9,12.0,0.0,0.0,0.0,0.0,3,1019.5,943.8,87,63,1,100,0.0,0.2,9.4,17.1,227,231,20.9,14.2,16.2,16.5,12.6,0.243,0.199,0.252,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2207,2207,40.45694,-7.2355347,651.0,2009-06-10 00:00:00,12.6,90,10.9,11.4,0.0,0.0,0.0,0.0,3,1019.6,943.8,100,88,0,99,0.0,0.15,10.0,17.3,221,227,20.5,13.7,16.0,16.5,12.6,0.242,0.199,0.252,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2206,2206,40.45694,-7.2355347,651.0,2009-06-10 01:00:00,12.0,92,10.7,10.6,0.0,0.0,0.0,0.0,3,1019.5,943.5,100,94,1,91,0.0,0.12,10.6,17.4,215,220,19.8,13.3,15.9,16.5,12.6,0.242,0.199,0.252,0.329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
