latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
38.76977,-7.858124,239.0,2001-05-25T00:00,16.4,81,13.0,16.0,0.0,0.0,0.0,0.0,1,1020.6,992.3,28,0,0,92,0.01,0.36,9.4,18.1,320,329,16.2,18.1,20.0,16.6,14.2,0.283,0.311,0.299,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T01:00,15.7,83,12.7,15.1,0.0,0.0,0.0,0.0,0,1020.4,992.0,12,0,0,39,0.01,0.31,9.7,19.3,321,327,15.8,17.5,19.7,16.6,14.2,0.283,0.311,0.299,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T02:00,14.9,85,12.4,14.2,0.0,0.0,0.0,0.0,0,1020.2,991.8,13,0,0,42,0.0,0.25,9.7,19.4,321,329,16.2,16.9,19.5,16.6,14.2,0.284,0.311,0.299,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T03:00,14.2,87,12.1,13.6,0.0,0.0,0.0,0.0,1,1019.9,991.4,23,0,0,77,0.0,0.21,9.0,18.5,323,331,15.8,16.4,19.3,16.7,14.3,0.284,0.311,0.299,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T04:00,13.7,89,11.9,13.2,0.0,0.0,0.0,0.0,1,1020.0,991.5,24,0,0,80,0.0,0.17,7.8,16.6,326,336,14.4,15.9,19.0,16.7,14.3,0.284,0.31,0.299,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T05:00,13.3,91,11.8,12.9,0.0,0.0,0.0,0.0,1,1019.9,991.3,20,0,0,68,0.0,0.14,6.4,14.6,322,340,11.5,15.3,18.7,16.7,14.3,0.284,0.31,0.299,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T06:00,13.1,93,12.0,12.6,0.0,0.0,0.0,0.0,0,1020.0,991.4,17,0,0,58,0.01,0.1,7.2,13.8,323,340,9.7,15.1,18.5,16.7,14.3,0.284,0.31,0.299,0.358,1,551.24,26.0,12.0,14.0,116.1,26.0,79.0,58.9,27.2,31.7,202.6,33.8,179.0
38.76977,-7.858124,239.0,2001-05-25T07:00,15.1,81,11.8,14.8,0.0,0.0,0.0,0.0,0,1019.9,991.5,12,0,0,40,0.08,0.33,5.8,11.7,330,342,14.8,16.7,18.3,16.7,14.3,0.285,0.31,0.299,0.358,1,3600.0,167.0,107.0,60.0,466.6,167.0,305.8,236.2,151.3,84.9,466.6,236.2,432.5
38.76977,-7.858124,239.0,2001-05-25T08:00,17.7,72,12.6,17.8,0.0,0.0,0.0,0.0,0,1020.2,992.0,10,0,0,32,0.2,0.57,5.0,7.1,339,345,15.8,18.5,18.3,16.7,14.3,0.284,0.31,0.299,0.358,1,3600.0,362.0,278.0,84.0,666.5,362.0,556.2,440.6,338.3,102.2,666.5,440.6,676.9
38.76977,-7.858124,239.0,2001-05-25T09:00,20.5,63,13.1,20.9,0.0,0.0,0.0,0.0,0,1020.0,992.1,12,0,0,41,0.34,0.91,4.9,6.2,343,350,16.2,20.5,18.4,16.7,14.3,0.284,0.31,0.299,0.358,1,3600.0,559.0,461.0,98.0,779.1,559.0,789.0,634.4,523.2,111.2,779.1,634.4,895.5
38.76977,-7.858124,239.0,2001-05-25T10:00,23.2,54,13.4,24.6,0.0,0.0,0.0,0.0,0,1019.9,992.3,0,0,0,0,0.47,1.3,5.2,6.9,348,354,16.9,22.6,18.6,16.7,14.3,0.283,0.309,0.299,0.358,1,3600.0,731.0,622.0,109.0,839.2,731.0,988.4,793.9,675.5,118.4,839.2,793.9,1073.4
38.76977,-7.858124,239.0,2001-05-25T11:00,25.4,45,12.6,27.4,0.0,0.0,0.0,0.0,0,1019.4,992.0,0,0,0,0,0.59,1.79,5.7,7.3,342,349,17.6,24.5,19.0,16.7,14.3,0.281,0.308,0.299,0.358,1,3600.0,864.0,746.0,118.0,872.0,864.0,1140.9,907.7,783.8,124.0,872.0,907.7,1198.6
38.76977,-7.858124,239.0,2001-05-25T12:00,27.1,38,11.7,29.2,0.0,0.0,0.0,0.0,0,1019.2,991.9,0,0,0,0,0.67,2.22,6.0,7.8,343,347,18.7,26.1,19.4,16.7,14.3,0.279,0.308,0.299,0.358,1,3600.0,948.0,827.0,121.0,892.3,948.0,1235.9,968.4,844.8,123.6,892.3,968.4,1262.5
38.76977,-7.858124,239.0,2001-05-25T13:00,28.3,36,11.6,30.4,0.0,0.0,0.0,0.0,0,1018.5,991.4,0,0,0,0,0.7,2.48,6.8,8.5,342,348,19.8,27.3,19.8,16.7,14.3,0.277,0.307,0.299,0.358,1,3600.0,975.0,852.0,123.0,896.6,975.0,1267.2,970.1,847.7,122.4,896.6,970.1,1260.7
38.76977,-7.858124,239.0,2001-05-25T14:00,29.0,35,11.9,30.8,0.0,0.0,0.0,0.0,0,1017.9,990.8,2,0,0,5,0.69,2.62,7.8,9.8,338,343,20.9,28.1,20.3,16.7,14.3,0.275,0.307,0.298,0.358,1,3600.0,942.0,822.0,120.0,889.3,942.0,1232.5,912.2,796.0,116.2,889.3,912.2,1193.5
38.76977,-7.858124,239.0,2001-05-25T15:00,29.5,34,12.1,30.6,0.0,0.0,0.0,0.0,0,1017.5,990.5,3,0,0,9,0.64,2.72,9.5,12.1,335,337,22.3,28.4,20.7,16.8,14.3,0.273,0.306,0.298,0.358,1,3600.0,854.0,740.0,114.0,870.0,854.0,1134.2,802.1,695.1,107.1,870.0,802.1,1065.3
38.76977,-7.858124,239.0,2001-05-25T16:00,29.5,34,12.2,29.6,0.0,0.0,0.0,0.0,0,1017.0,990.0,0,0,0,0,0.56,2.71,10.9,14.3,333,335,23.4,28.3,21.1,16.8,14.3,0.272,0.305,0.298,0.358,1,3600.0,716.0,609.0,107.0,829.4,716.0,979.1,647.2,550.5,96.7,829.4,647.2,885.0
38.76977,-7.858124,239.0,2001-05-25T17:00,29.2,36,12.5,28.1,0.0,0.0,0.0,0.0,0,1016.9,989.9,0,0,0,1,0.45,2.59,13.1,17.4,328,330,24.8,27.7,21.4,16.8,14.3,0.271,0.305,0.298,0.358,1,3600.0,542.0,447.0,95.0,766.3,542.0,777.7,463.4,382.1,81.2,766.3,463.4,664.9
38.76977,-7.858124,239.0,2001-05-25T18:00,28.1,41,13.6,27.1,0.0,0.0,0.0,0.0,0,1016.9,989.8,0,0,0,0,0.32,2.24,14.2,21.0,324,325,26.3,26.6,21.7,16.8,14.3,0.27,0.305,0.298,0.358,1,3600.0,346.0,268.0,78.0,657.1,346.0,543.8,267.1,206.9,60.2,657.1,267.1,419.9
38.76977,-7.858124,239.0,2001-05-25T19:00,25.7,51,14.7,25.0,0.0,0.0,0.0,0.0,0,1017.4,990.0,0,0,0,0,0.19,1.62,15.3,25.7,321,323,29.5,25.1,21.8,16.9,14.3,0.269,0.305,0.298,0.358,1,3600.0,156.0,104.0,52.0,472.7,156.0,293.3,88.7,59.1,29.6,472.7,88.7,166.8
38.76977,-7.858124,239.0,2001-05-25T20:00,23.4,59,14.9,22.7,0.0,0.0,0.0,0.0,0,1017.6,990.0,0,0,0,0,0.1,1.18,15.7,27.3,323,326,29.5,23.5,21.8,16.9,14.3,0.269,0.304,0.298,0.358,0,260.73,21.0,9.0,12.0,91.0,21.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T21:00,21.6,65,14.7,21.1,0.0,0.0,0.0,0.0,0,1018.4,990.7,0,0,0,0,0.06,0.91,14.3,25.6,326,331,28.1,22.2,21.7,16.9,14.3,0.27,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T22:00,20.2,69,14.3,19.9,0.0,0.0,0.0,0.0,0,1018.9,991.0,0,0,0,0,0.04,0.74,11.9,22.1,325,332,25.2,21.2,21.6,16.9,14.3,0.27,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-25T23:00,19.0,72,13.9,18.7,0.0,0.0,0.0,0.0,0,1018.6,990.6,0,0,0,0,0.03,0.62,11.2,21.1,327,335,23.0,20.4,21.4,16.9,14.3,0.27,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T00:00,18.1,75,13.5,17.7,0.0,0.0,0.0,0.0,0,1018.6,990.5,0,0,0,0,0.02,0.53,10.0,19.7,330,339,20.9,19.6,21.2,17.0,14.3,0.27,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T01:00,17.2,77,13.2,16.8,0.0,0.0,0.0,0.0,0,1018.3,990.1,0,0,0,0,0.02,0.45,9.5,18.9,331,342,18.4,19.0,21.0,17.0,14.3,0.27,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T02:00,16.6,80,13.1,16.3,0.0,0.0,0.0,0.0,0,1017.9,989.7,0,0,0,0,0.01,0.38,8.9,18.1,333,347,16.2,18.4,20.8,17.0,14.3,0.27,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T03:00,16.1,83,13.2,15.9,0.0,0.0,0.0,0.0,0,1017.5,989.3,0,0,0,0,0.0,0.32,8.2,17.0,337,354,14.4,17.9,20.5,17.0,14.3,0.271,0.304,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T04:00,15.7,86,13.3,15.5,0.0,0.0,0.0,0.0,0,1017.4,989.1,0,0,0,0,0.0,0.26,8.1,16.6,339,359,11.9,17.4,20.3,17.0,14.3,0.271,0.303,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T05:00,15.3,88,13.3,15.3,0.0,0.0,0.0,0.0,0,1017.7,989.4,0,0,0,0,0.0,0.21,7.8,16.2,338,359,10.8,16.9,20.0,17.0,14.3,0.271,0.303,0.298,0.358,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.76977,-7.858124,239.0,2001-05-26T06:00,15.2,90,13.6,15.1,0.0,0.0,0.0,0.0,0,1017.8,989.5,3,3,0,0,0.01,0.17,8.6,16.2,338,356,11.5,16.7,19.7,17.1,14.3,0.271,0.303,0.298,0.358,1,654.31,27.0,13.0,14.0,124.8,27.0,80.0,61.1,29.4,31.7,216.7,35.2,181.0
38.76977,-7.858124,239.0,2001-05-26T07:00,17.6,83,14.7,18.1,0.0,0.0,0.0,0.0,0,1018.2,990.1,0,0,0,0,0.08,0.33,7.2,14.1,342,357,16.6,18.5,19.6,17.1,14.3,0.272,0.303,0.298,0.358,1,3600.0,168.0,112.0,56.0,485.3,168.0,307.7,237.1,158.0,79.0,485.3,237.1,434.1
38.76977,-7.858124,239.0,2001-05-26T08:00,20.3,74,15.5,21.2,0.0,0.0,0.0,0.0,0,1018.3,990.4,0,0,0,0,0.21,0.61,6.5,9.4,354,360,17.6,20.3,19.6,17.1,14.3,0.271,0.303,0.298,0.358,1,3600.0,360.0,280.0,80.0,669.3,360.0,557.7,437.8,340.5,97.3,669.3,437.8,678.2
38.76977,-7.858124,239.0,2001-05-26T09:00,23.2,65,16.2,24.5,0.0,0.0,0.0,0.0,0,1017.8,990.2,0,0,0,0,0.36,1.01,5.9,8.2,11,15,18.0,22.4,19.7,17.1,14.3,0.271,0.302,0.298,0.358,1,3600.0,557.0,461.0,96.0,777.7,557.0,790.2,632.0,523.0,108.9,777.7,632.0,896.5
38.76977,-7.858124,239.0,2001-05-26T10:00,26.1,55,16.3,28.4,0.0,0.0,0.0,0.0,0,1017.4,990.1,0,0,0,0,0.5,1.53,6.8,9.3,32,36,18.4,24.6,20.0,17.1,14.3,0.27,0.302,0.298,0.358,1,3600.0,729.0,620.0,109.0,835.4,729.0,989.3,791.6,673.2,118.4,835.4,791.6,1074.3
38.76977,-7.858124,239.0,2001-05-26T11:00,28.6,45,15.5,31.4,0.0,0.0,0.0,0.0,0,1016.9,989.8,0,0,0,0,0.62,2.14,6.4,8.7,47,52,18.7,26.6,20.3,17.1,14.3,0.268,0.301,0.298,0.358,1,3600.0,863.0,747.0,116.0,872.2,863.0,1141.6,906.6,784.8,121.9,872.2,906.6,1199.3
38.76977,-7.858124,239.0,2001-05-26T12:00,30.3,37,14.2,33.1,0.0,0.0,0.0,0.0,0,1016.8,989.9,0,0,0,0,0.71,2.69,6.7,8.6,54,57,19.8,28.3,20.8,17.1,14.3,0.266,0.301,0.298,0.358,1,3600.0,948.0,827.0,121.0,891.4,948.0,1236.6,968.4,844.8,123.6,891.4,968.4,1263.2
38.76977,-7.858124,239.0,2001-05-26T13:00,31.3,34,13.4,34.3,0.0,0.0,0.0,0.0,0,1016.2,989.4,0,0,0,0,0.73,3.02,5.4,6.9,48,51,19.4,29.6,21.2,17.1,14.3,0.264,0.3,0.297,0.358,1,3600.0,975.0,854.0,121.0,897.8,975.0,1267.9,970.1,849.7,120.4,897.8,970.1,1261.6
38.76977,-7.858124,239.0,2001-05-26T14:00,31.9,32,13.1,34.6,0.0,0.0,0.0,0.0,0,1015.8,989.0,1,0,0,3,0.71,3.21,4.8,6.0,27,33,17.3,30.4,21.7,17.2,14.3,0.262,0.299,0.297,0.358,1,3600.0,942.0,822.0,120.0,888.3,942.0,1233.4,912.3,796.1,116.2,888.3,912.3,1194.6
38.76977,-7.858124,239.0,2001-05-26T15:00,32.3,31,13.0,34.3,0.0,0.0,0.0,0.0,0,1015.3,988.6,0,0,0,1,0.65,3.33,5.6,7.3,15,20,16.9,30.8,22.2,17.2,14.3,0.26,0.299,0.297,0.358,1,3600.0,853.0,739.0,114.0,867.5,853.0,1135.4,801.4,694.3,107.1,867.5,801.4,1066.7
38.76977,-7.858124,239.0,2001-05-26T16:00,32.4,30,12.8,33.3,0.0,0.0,0.0,0.0,0,1015.0,988.3,0,0,0,0,0.56,3.38,6.6,8.2,9,15,16.9,30.7,22.6,17.2,14.3,0.259,0.298,0.297,0.358,1,3600.0,716.0,610.0,106.0,829.1,716.0,980.7,647.5,551.6,95.9,829.1,647.5,886.8
38.76977,-7.858124,239.0,2001-05-26T17:00,32.2,31,12.9,32.0,0.0,0.0,0.0,0.0,0,1015.0,988.3,0,0,0,1,0.44,3.32,7.2,9.5,6,11,16.9,30.1,23.0,17.2,14.3,0.258,0.298,0.297,0.358,1,3600.0,542.0,447.0,95.0,764.2,542.0,779.7,463.7,382.4,81.3,764.2,463.7,667.0
38.76977,-7.858124,239.0,2001-05-26T18:00,31.5,34,13.7,31.6,0.0,0.0,0.0,0.0,0,1014.8,988.0,1,0,0,4,0.3,3.06,7.9,11.2,360,2,16.6,29.1,23.2,17.3,14.3,0.257,0.298,0.297,0.358,1,3600.0,348.0,270.0,78.0,658.9,348.0,546.2,269.2,208.8,60.3,658.9,269.2,422.4
38.76977,-7.858124,239.0,2001-05-26T19:00,29.4,42,15.1,29.8,0.0,0.0,0.0,0.0,0,1015.0,988.0,0,0,0,0,0.17,2.37,8.9,16.1,339,344,15.8,27.6,23.4,17.3,14.3,0.257,0.297,0.297,0.358,1,3600.0,158.0,105.0,53.0,472.7,158.0,296.1,90.6,60.2,30.4,472.7,90.6,169.7
38.76977,-7.858124,239.0,2001-05-26T20:00,26.8,50,15.6,27.0,0.0,0.0,0.0,0.0,0,1015.5,988.3,0,0,0,0,0.11,1.75,11.9,22.6,331,335,18.0,25.8,23.4,17.3,14.3,0.257,0.297,0.297,0.358,0,351.05,22.0,10.0,12.0,100.0,22.0,74.4,0.0,0.0,0.0,0.0,0.0,0.0
