latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
38.488575,-8.670288,0.0,2006-06-09T00:00,18.5,94,17.5,20.2,0.0,0.0,0.0,0.0,1,1014.9,1014.9,29,32,0,0,0.0,0.12,6.9,13.2,231,241,12.2,20.1,25.8,22.8,17.6,0.044,0.09,0.156,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T01:00,17.9,97,17.4,19.4,0.0,0.0,0.0,0.0,1,1014.9,1014.9,47,52,0,0,0.0,0.06,7.9,14.0,227,235,11.9,19.2,25.5,22.8,17.7,0.044,0.09,0.156,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T02:00,17.6,98,17.3,19.0,0.0,0.0,0.0,0.0,2,1014.3,1014.3,66,73,0,0,0.0,0.03,7.9,14.2,227,234,11.9,18.6,25.3,22.8,17.7,0.044,0.09,0.156,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T03:00,17.5,99,17.3,19.0,0.0,0.0,0.0,0.0,3,1014.2,1014.2,80,89,0,0,0.0,0.03,7.6,12.6,225,233,12.2,18.5,25.0,22.8,17.7,0.044,0.09,0.156,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T04:00,17.5,99,17.3,19.2,0.0,0.0,0.0,0.0,3,1014.1,1014.1,91,100,1,0,0.0,0.03,6.3,10.7,211,225,11.5,18.3,24.8,22.8,17.7,0.044,0.09,0.156,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T05:00,17.5,99,17.3,19.2,0.0,0.0,0.0,0.0,3,1014.0,1014.0,89,99,0,0,0.0,0.03,5.9,9.5,194,209,10.8,18.3,24.5,22.8,17.7,0.044,0.09,0.156,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T06:00,17.7,98,17.5,19.4,0.0,0.0,0.0,0.0,3,1014.4,1014.4,97,100,12,0,0.01,0.03,6.8,9.6,180,193,11.2,18.7,24.3,22.8,17.7,0.044,0.09,0.156,0.177,1,0.0,16.0,4.0,12.0,38.3,16.0,79.8,36.3,9.1,27.2,66.6,20.9,180.7
38.488575,-8.670288,0.0,2006-06-09T07:00,18.3,95,17.5,19.8,0.1,0.1,0.0,0.0,51,1014.6,1014.6,97,100,11,0,0.05,0.1,8.0,10.8,172,182,14.4,19.9,24.2,22.8,17.7,0.045,0.09,0.156,0.177,1,806.7,82.0,20.0,62.0,86.9,82.0,305.6,115.5,28.2,87.4,86.9,115.5,430.5
38.488575,-8.670288,0.0,2006-06-09T08:00,18.9,89,17.1,20.0,0.1,0.1,0.0,0.0,51,1014.7,1014.7,66,66,11,0,0.12,0.23,10.1,13.0,176,180,19.1,21.8,24.1,22.8,17.7,0.046,0.09,0.156,0.177,1,2664.43,207.0,62.0,145.0,148.8,207.0,553.1,251.9,75.4,176.4,148.8,251.9,672.9
38.488575,-8.670288,0.0,2006-06-09T09:00,20.6,76,16.2,21.2,0.0,0.0,0.0,0.0,1,1015.0,1015.0,29,22,12,7,0.26,0.59,11.0,13.6,191,192,22.3,24.5,24.1,22.8,17.7,0.047,0.09,0.156,0.177,1,3600.0,448.0,323.0,125.0,546.3,448.0,784.8,508.8,366.9,142.0,546.3,508.8,891.4
38.488575,-8.670288,0.0,2006-06-09T10:00,22.0,66,15.5,22.1,0.0,0.0,0.0,0.0,1,1014.7,1014.7,37,20,31,0,0.36,0.89,13.0,15.9,219,219,25.2,27.6,24.2,22.8,17.7,0.047,0.09,0.156,0.177,1,3600.0,563.0,369.0,194.0,497.3,563.0,985.0,612.2,401.2,210.9,497.3,612.2,1071.0
38.488575,-8.670288,0.0,2006-06-09T11:00,23.0,60,14.9,23.0,0.0,0.0,0.0,0.0,1,1014.8,1014.8,35,14,37,0,0.43,1.12,15.6,18.9,232,231,30.2,29.9,24.3,22.8,17.7,0.048,0.09,0.156,0.177,1,3600.0,665.0,453.0,212.0,527.5,665.0,1140.0,699.8,476.7,223.1,527.5,699.8,1199.6
38.488575,-8.670288,0.0,2006-06-09T12:00,23.4,58,14.8,23.2,0.0,0.0,0.0,0.0,1,1014.7,1014.7,40,20,37,0,0.46,1.2,17.7,21.9,237,237,33.5,31.2,24.5,22.8,17.7,0.047,0.09,0.156,0.177,1,3600.0,705.0,450.0,255.0,482.0,705.0,1239.2,721.6,460.6,261.0,482.0,721.6,1268.4
38.488575,-8.670288,0.0,2006-06-09T13:00,23.6,57,14.7,23.3,0.0,0.0,0.0,0.0,1,1014.4,1014.4,20,15,11,0,0.49,1.24,18.8,23.0,238,238,34.6,32.1,24.7,22.8,17.7,0.047,0.09,0.156,0.177,1,3600.0,739.0,534.0,205.0,555.5,739.0,1276.0,737.1,532.6,204.5,555.5,737.1,1272.7
38.488575,-8.670288,0.0,2006-06-09T14:00,23.9,56,14.5,24.0,0.0,0.0,0.0,0.0,0,1014.1,1014.1,11,8,7,0,0.54,1.31,18.9,23.1,239,239,35.6,33.3,25.0,22.8,17.7,0.047,0.09,0.156,0.177,1,3600.0,831.0,606.0,225.0,644.7,831.0,1247.8,807.3,588.7,218.6,644.7,807.3,1212.2
38.488575,-8.670288,0.0,2006-06-09T15:00,23.7,56,14.4,23.4,0.0,0.0,0.0,0.0,0,1013.9,1013.9,5,4,2,0,0.49,1.3,19.2,24.0,242,242,35.6,33.3,25.2,22.8,17.7,0.047,0.09,0.156,0.177,1,3600.0,746.0,620.0,126.0,711.6,746.0,1156.5,703.9,585.0,118.9,711.6,703.9,1091.1
38.488575,-8.670288,0.0,2006-06-09T16:00,23.5,57,14.4,22.8,0.0,0.0,0.0,0.0,0,1014.0,1014.0,6,1,1,14,0.45,1.25,19.5,24.2,245,245,35.3,33.0,25.4,22.8,17.7,0.047,0.089,0.156,0.177,1,3600.0,694.0,543.0,151.0,714.8,694.0,1008.3,631.6,494.2,137.4,714.8,631.6,917.7
38.488575,-8.670288,0.0,2006-06-09T17:00,23.1,59,14.7,21.8,0.0,0.0,0.0,0.0,0,1014.0,1014.0,7,4,4,2,0.37,1.15,19.7,24.6,249,249,34.6,31.9,25.6,22.8,17.7,0.046,0.089,0.156,0.177,1,3600.0,559.0,455.0,104.0,742.4,559.0,813.5,483.5,393.6,90.0,742.4,483.5,703.6
38.488575,-8.670288,0.0,2006-06-09T18:00,22.3,64,15.1,21.2,0.0,0.0,0.0,0.0,0,1014.4,1014.4,8,6,4,0,0.25,0.97,19.0,23.8,251,252,33.5,29.8,25.7,22.8,17.7,0.046,0.089,0.155,0.177,1,3600.0,347.0,252.0,95.0,571.6,347.0,585.2,274.9,199.7,75.3,571.6,274.9,463.6
38.488575,-8.670288,0.0,2006-06-09T19:00,21.3,70,15.5,20.8,0.0,0.0,0.0,0.0,0,1014.4,1014.4,7,3,2,10,0.14,0.77,15.8,21.0,253,254,32.0,27.3,25.7,22.8,17.7,0.046,0.089,0.155,0.177,1,3600.0,174.0,116.0,58.0,454.2,174.0,339.0,109.9,73.2,36.6,454.2,109.9,214.0
38.488575,-8.670288,0.0,2006-06-09T20:00,20.4,76,16.0,20.6,0.0,0.0,0.0,0.0,1,1015.1,1015.1,34,7,2,88,0.05,0.58,13.0,18.8,256,258,27.0,24.7,25.6,22.8,17.7,0.046,0.089,0.155,0.177,0,979.95,36.0,15.0,21.0,128.4,36.0,96.2,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T21:00,19.8,81,16.3,20.4,0.0,0.0,0.0,0.0,1,1015.9,1015.9,31,1,0,100,0.02,0.45,11.0,17.1,259,262,20.9,22.8,25.4,22.8,17.7,0.046,0.089,0.155,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T22:00,19.4,83,16.4,20.1,0.0,0.0,0.0,0.0,1,1016.1,1016.1,49,13,13,99,0.01,0.38,10.6,18.1,260,264,15.8,21.6,25.3,22.8,17.7,0.046,0.089,0.155,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-09T23:00,18.8,87,16.6,19.8,0.0,0.0,0.0,0.0,2,1016.2,1016.2,52,14,28,76,0.0,0.29,8.9,15.6,256,262,12.6,20.5,25.1,22.8,17.7,0.046,0.089,0.155,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-10T00:00,18.3,90,16.7,19.4,0.0,0.0,0.0,0.0,1,1016.2,1016.2,28,9,10,45,0.0,0.21,8.9,15.6,249,255,11.9,19.6,24.9,22.8,17.7,0.046,0.089,0.155,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.488575,-8.670288,0.0,2006-06-10T01:00,17.9,93,16.7,19.0,0.0,0.0,0.0,0.0,1,1015.9,1015.9,22,14,4,24,0.0,0.14,8.2,15.7,255,259,11.9,18.8,24.7,22.8,17.8,0.046,0.089,0.155,0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
