latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
40.105446,-7.563019,472.0,2022-06-22T00:00,13.1,87,10.9,12.6,0.0,0.0,0.0,0.0,2,1012.6,957.4,72,60,8,45,0.0,0.2,5.4,14.0,233,235,17.6,16.4,21.3,22.3,16.4,0.115,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3258424402861988,47.018650812346294,45.58166558867162,495.44825000000003,0.14555543404390364,74.11639970642486
40.105446,-7.563019,472.0,2022-06-22T01:00,13.3,87,11.2,13.0,0.0,0.0,0.0,0.0,3,1012.3,957.2,100,100,9,55,0.0,0.19,4.2,9.2,239,244,20.9,16.1,21.1,22.2,16.4,0.115,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15556675095651568,43.032111015561185,41.02383003973539,501.24625000000003,0.07394128147982858,68.11143620441777
40.105446,-7.563019,472.0,2022-06-22T02:00,13.5,88,11.5,12.9,0.0,0.0,0.0,0.0,3,1012.1,957.0,100,100,73,39,0.0,0.19,6.8,10.3,198,205,18.7,16.2,20.9,22.2,16.4,0.115,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1315806347984633,41.674604306524486,36.919282615323084,507.08025000000004,0.0666142888209479,62.46817467054616
40.105446,-7.563019,472.0,2022-06-22T03:00,13.4,90,11.8,12.7,0.3,0.3,0.0,0.0,51,1011.8,956.7,100,100,49,1,0.0,0.15,8.8,12.3,189,195,23.8,16.2,20.7,22.2,16.4,0.117,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06974390719459203,38.3021487683165,31.75164347891117,512.89625,0.03871817613570678,54.99232285297282
40.105446,-7.563019,472.0,2022-06-22T04:00,13.6,92,12.3,13.2,0.1,0.1,0.0,0.0,51,1011.6,956.6,100,100,31,0,0.0,0.13,7.9,11.9,196,205,24.1,16.2,20.5,22.2,16.4,0.118,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02147697396744568,33.679701040579076,26.776136049468846,518.74825,0.013251376732351373,47.43160085973638
40.105446,-7.563019,472.0,2022-06-22T05:00,14.1,86,11.9,13.4,0.0,0.0,0.0,0.0,3,1011.7,956.8,100,100,46,0,0.0,0.22,8.9,12.8,212,218,25.9,16.2,20.3,22.2,16.4,0.118,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05087394448932473,37.75518548174173,22.726281432363955,524.69025,0.03477282215781768,41.011646442784965
40.105446,-7.563019,472.0,2022-06-22T06:00,14.3,85,11.8,13.5,0.0,0.0,0.0,0.0,3,1012.1,957.2,91,100,2,0,0.03,0.25,9.4,13.6,227,233,27.4,16.3,20.2,22.2,16.4,0.118,0.167,0.209,0.274,1,0.0,11.0,1.0,10.0,8.7,11.0,93.4,24.6,2.2,22.3,14.2,15.1,208.8,0.088981948542323,41.02169023117354,19.243988202621857,530.66825,0.06749043806462315,35.288727808617786
40.105446,-7.563019,472.0,2022-06-22T07:00,14.9,81,11.6,13.7,0.1,0.1,0.0,0.0,51,1012.4,957.6,45,44,9,0,0.07,0.33,11.2,14.9,230,233,29.2,16.9,20.1,22.1,16.4,0.119,0.167,0.209,0.274,1,2774.23,120.0,38.0,82.0,152.5,120.0,330.0,164.1,52.0,112.2,152.5,164.1,451.4,0.21291763763672147,46.46445865836143,16.157725300897194,536.75425,0.18010497285589738,30.053709834147778
40.105446,-7.563019,472.0,2022-06-22T08:00,15.9,77,11.8,14.8,0.0,0.0,0.0,0.0,2,1012.9,958.2,58,55,14,0,0.16,0.42,11.5,14.9,212,217,31.3,18.1,20.0,22.1,16.4,0.119,0.167,0.209,0.274,1,3600.0,309.0,204.0,105.0,473.8,309.0,570.1,372.0,245.6,126.4,473.8,372.0,686.3,0.40412847795090684,52.23197990422515,13.71126821210414,543.0202499999999,0.37841378099107104,25.79427217387847
40.105446,-7.563019,472.0,2022-06-22T09:00,17.3,66,11.0,15.5,0.0,0.0,0.0,0.0,3,1012.8,958.4,100,100,100,0,0.23,0.67,14.5,18.8,222,225,37.8,19.4,20.0,22.1,16.4,0.12,0.167,0.209,0.274,1,3600.0,366.0,196.0,170.0,326.7,366.0,794.5,413.5,221.4,192.0,326.7,413.5,897.5,0.9549695048720825,62.120626485229046,12.210894966584343,549.53825,0.9599014850737866,23.136538878593335
40.105446,-7.563019,472.0,2022-06-22T10:00,16.3,71,11.1,14.3,0.3,0.3,0.0,0.0,51,1013.2,958.6,99,59,76,0,0.14,0.54,15.8,21.4,227,228,40.0,19.5,20.0,22.1,16.4,0.122,0.167,0.209,0.274,1,0.0,170.0,12.0,158.0,16.1,170.0,987.8,184.3,13.0,171.3,16.1,184.3,1070.8,0.8799469622695835,61.42841419461387,10.184925170864426,547.1305804794066,0.987443698272507,19.46403486680248
40.105446,-7.563019,472.0,2022-06-22T11:00,18.4,61,10.8,16.3,0.1,0.1,0.0,0.0,51,1013.4,959.1,100,100,37,0,0.28,0.82,15.5,20.4,228,229,40.3,20.7,20.0,22.0,16.4,0.122,0.167,0.209,0.274,1,3600.0,421.0,226.0,195.0,263.2,421.0,1137.0,442.2,237.4,204.8,263.2,442.2,1194.1,1.1701706811700834,66.71601660604759,9.182018482298528,545.1528283240078,1.2277253549925669,17.622017119518706
40.105446,-7.563019,472.0,2022-06-22T12:00,19.8,58,11.3,17.8,0.0,0.0,0.0,0.0,2,1013.1,959.1,64,26,68,0,0.31,0.97,16.2,20.8,238,240,41.0,21.7,19.9,22.0,16.4,0.133,0.167,0.209,0.274,1,522.05,443.0,72.0,371.0,77.4,443.0,1231.8,452.9,73.6,379.3,77.4,452.9,1259.2,1.5831970778546116,70.35253199517926,8.667039800267897,543.4694949246973,1.431330093222255,16.66948352605755
40.105446,-7.563019,472.0,2022-06-22T13:00,20.0,55,10.7,18.1,0.0,0.0,0.0,0.0,1,1013.2,959.2,48,17,55,0,0.4,1.05,16.6,21.6,243,244,42.8,23.2,20.0,22.0,16.4,0.132,0.167,0.209,0.274,1,3600.0,616.0,306.0,310.0,320.1,616.0,1265.8,614.0,305.0,309.0,320.1,614.0,1261.7,1.9398687544634772,72.97322058379619,8.628616903415393,550.4734949246973,1.6050908763864085,16.606471849061567
40.105446,-7.563019,472.0,2022-06-22T14:00,20.1,57,11.3,18.4,0.0,0.0,0.0,0.0,2,1013.0,959.1,66,41,49,0,0.41,1.01,17.7,23.2,253,254,47.2,24.3,20.2,22.0,16.4,0.131,0.167,0.209,0.274,1,3600.0,654.0,451.0,203.0,482.9,654.0,1236.6,635.3,438.1,197.2,482.9,635.3,1201.3,2.2121491321785567,73.66132710438204,8.603662429666038,557.4954949246974,1.7477970953160782,16.568098498404343
40.105446,-7.563019,472.0,2022-06-22T15:00,19.8,55,10.5,17.5,0.0,0.0,0.0,0.0,2,1012.9,958.9,58,21,65,0,0.39,1.04,19.1,25.2,267,268,49.0,25.0,20.5,22.0,16.4,0.13,0.167,0.209,0.274,1,3600.0,611.0,370.0,241.0,427.4,611.0,1146.3,576.8,349.3,227.5,427.4,576.8,1082.1,4.1446501618950125,78.51702124453183,10.395371377364144,564.4634949246973,2.579338789287149,19.875649232321795
40.105446,-7.563019,472.0,2022-06-22T16:00,19.1,59,10.9,16.9,0.1,0.1,0.0,0.0,51,1012.9,958.8,84,50,65,0,0.32,0.91,17.1,22.6,278,279,48.2,24.8,20.7,21.9,16.5,0.13,0.167,0.209,0.274,1,3600.0,490.0,341.0,149.0,451.1,490.0,1001.0,446.6,310.8,135.8,451.1,446.6,912.3,4.423916727065115,79.00858197847671,12.575740389364144,571.3054949246973,2.439659486083498,23.839572038098268
40.105446,-7.563019,472.0,2022-06-22T17:00,19.4,58,11.0,17.6,0.0,0.0,0.0,0.0,1,1012.6,958.6,34,18,30,0,0.25,0.95,14.3,18.7,282,281,43.6,24.4,20.9,21.9,16.5,0.13,0.167,0.209,0.274,1,3600.0,344.0,166.0,178.0,271.2,344.0,810.6,298.5,144.1,154.5,271.2,298.5,703.5,4.791849728249481,80.15063891663875,14.842460649364144,578.2014949246973,2.3748108541822006,27.894770962032453
40.105446,-7.563019,472.0,2022-06-22T18:00,18.8,59,10.6,17.0,0.0,0.0,0.0,0.0,1,1012.6,958.5,47,20,48,0,0.21,0.9,13.7,18.2,288,288,37.4,23.9,21.1,21.9,16.5,0.129,0.167,0.209,0.274,1,3600.0,303.0,200.0,103.0,450.3,303.0,588.1,242.1,159.8,82.3,450.3,242.1,469.8,4.947457854046815,79.92045890367262,16.990447943364146,584.9894949246973,2.249374331235253,31.680568071825228
40.105446,-7.563019,472.0,2022-06-22T19:00,17.3,66,11.0,15.6,0.0,0.0,0.0,0.0,2,1013.0,958.6,58,32,44,11,0.12,0.66,14.0,19.3,299,299,35.3,22.7,21.2,21.9,16.5,0.129,0.167,0.209,0.274,1,3600.0,143.0,69.0,74.0,262.1,143.0,348.6,93.2,45.0,48.2,262.1,93.2,227.3,4.687583857274299,78.613382330133,18.637440039364147,591.5074949246973,2.0121240481340026,34.55309998831554
40.105446,-7.563019,472.0,2022-06-22T20:00,16.2,72,11.2,14.9,0.0,0.0,0.0,0.0,2,1013.5,958.8,64,7,96,0,0.05,0.51,11.9,17.9,299,300,34.9,21.3,21.2,21.9,16.5,0.128,0.167,0.209,0.274,1,498.04,31.0,11.0,20.0,90.2,31.0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,3.822605511428667,77.08664596580006,19.912700543364146,597.8274949246974,1.5962106156596914,36.764020746612246
40.105446,-7.563019,472.0,2022-06-22T21:00,15.8,75,11.4,14.7,0.0,0.0,0.0,0.0,2,1014.2,959.4,62,2,100,0,0.02,0.45,10.5,15.6,292,296,30.2,20.2,21.2,21.9,16.5,0.128,0.167,0.209,0.274,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2485932868270733,75.52290717061688,21.024999393364144,604.0754949246974,1.3397346740169092,38.68398430136006
