year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames,tri,roughness,aspect,slope,CLC_CODE,altitude,mean_elev,fwix,ffmc,dmc,dc,isi,bui
2001,2001-07-20,Faro,Monchique,Monchique,Castelo da Nave,37.283231,-8.5772292,Natural,336.807,2001-07-20T15:00,30.5,20,5.1,29.8,0.0,0.0,0.0,0.0,0,1015.0,979.8,0,0,0,0,0.69,3.48,9.5,11.8,61,63,31.7,35.0,23.7,22.2,19.0,0.116,0.151,0.182,0.215,1,3600.0,835.0,728.2,106.7,883.5,835.0,1091.8,884.0,771.0,113.0,883.5,884.0,1155.9,Quercus suber L.; ; Magnoliopsida; Eucalyptus L'Hér.,17.0,34.280517578125,34.280517578125,8.365034103393555,324.0,336.807,336.807,49.63156765081679,95.05917073136293,322.7514770813906,777.1923369140625,14.086211463306226,322.56260448020174
2001,2001-07-15,Faro,Portimão,Mexilhoeira Grande,Pereira \ POVI,37.2303635,-8.627351585983046,Natural,336.807,2001-07-15T19:00,20.9,50,10.2,17.1,0.0,0.0,0.0,0.0,1,1016.4,1004.0,25,0,0,83,0.22,1.23,26.6,36.4,330,332,48.2,25.8,25.1,23.1,19.4,0.123,0.154,0.191,0.255,1,3600.0,115.1,65.6,49.5,417.2,115.1,208.1,186.0,106.0,80.0,417.2,186.0,336.3,Eucalyptus L'Hér.; Pinus pinea L.; Magnoliopsida; Tracheophyta; Quercus suber L.; Pinus pinaster Aiton; Ceratonia siliqua L.; Vitis vinifera L.; ,7.0,273.35748291015625,273.35748291015625,1.341338872909546,323.0,336.807,336.807,51.22283775116401,89.30613790622024,309.9451096168437,764.0903774414062,14.82798433270575,309.8788273374791
2001,2001-07-02,Guarda,Gouveia,Folgosinho,FOLGOSINHO,40.5110485,-7.512100191719745,Natural,25.022,2001-07-02T04:00,20.1,70,14.4,20.7,0.0,0.0,0.0,0.0,0,1019.0,918.5,5,0,9,0,0.01,0.71,5.4,8.8,323,348,9.7,20.2,25.0,20.1,14.0,0.087,0.175,0.267,0.363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Tracheophyta; Pinales; Pinus pinaster Aiton; Quercus L.; Pinus pinea L.; Olea europaea L.; Vitis vinifera L.; ,37.0,47.90071868896485,47.90071868896485,12.593141555786133,112.0,25.022,25.022,17.092892831940922,85.591309338067,225.17254278,524.2429526367188,3.0022358470331945,224.96307923610223
2001,2001-07-29,Guarda,Gouveia,Aldeias,Taberneira,40.4687182,-7.5982209,Natural,25.022,2001-07-29T15:00,29.8,28,9.1,29.6,0.0,0.0,0.0,0.0,1,1015.5,936.3,28,0,40,14,0.6,3.03,8.4,10.5,83,84,31.3,36.8,25.2,21.3,17.2,0.077,0.167,0.252,0.353,1,3600.0,725.1,577.1,148.0,727.5,725.1,1052.4,769.0,612.0,157.0,727.5,769.0,1116.1,Magnoliopsida; Pinales; Pinus pinaster Aiton; Tracheophyta; ,15.0,261.47637939453125,261.47637939453125,6.597179889678955,242.0,25.022,25.022,37.99200745380187,93.18649402758976,120.6247632967461,583.3821308593749,10.284534220537232,159.03905408060018
2001,2001-07-30,Guarda,Seia,Alvoco da Serra,Cerro dos Pardieiros,40.2954775,-7.6695448,Natural,25.022,2001-07-30T14:00,29.1,34,11.6,28.1,0.0,0.0,0.0,0.0,0,1016.9,938.7,13,0,6,30,0.44,2.66,9.7,13.0,88,92,44.6,30.6,24.1,20.2,16.6,0.109,0.153,0.234,0.345,1,3600.0,480.2,195.4,284.8,221.6,480.2,1170.1,494.0,201.0,293.0,221.6,494.0,1203.7,Pinus pinaster Aiton; Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.,35.0,192.291015625,192.291015625,15.804390907287598,243.0,25.022,25.022,40.232588667375,92.88973952326847,167.57331167135158,627.092005859375,10.533898385106482,200.9203518262817
2001,2001-08-25,Guarda,Seia,Sazes da Beira,SAZES DA BEIRA,40.3504122,-7.734188152639971,Natural,25.022,2001-08-25T03:00,23.6,37,8.0,21.5,0.0,0.0,0.0,0.0,2,1011.5,936.6,57,0,51,87,0.1,1.84,10.5,21.9,128,139,35.3,22.4,24.7,21.4,18.3,0.099,0.144,0.206,0.326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Pinus pinaster Aiton; Tracheophyta; Olea europaea L.,34.0,179.9461669921875,179.9461669921875,15.6925687789917,242.0,25.022,25.022,32.079394992301346,90.18742917401502,148.997568048,752.8695546875,7.475120905613783,199.35911412978203
2001,2001-08-25,Guarda,Seia,Cabeça,CABEÇA,40.31959185,-7.735925495676429,Natural,25.022,2001-08-25T03:00,23.8,38,8.8,22.5,0.0,0.0,0.0,0.0,2,1011.2,957.0,64,0,59,97,0.06,1.82,6.9,15.8,62,107,24.8,22.4,25.0,21.8,18.7,0.098,0.147,0.211,0.328,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Magnoliopsida; Tracheophyta,37.0,253.04039001464844,253.04039001464844,18.171371459960938,241.0,25.022,25.022,27.621668457010625,89.86991033986618,154.150573702,773.8975546875,5.957776110855718,205.8128676732868
2001,2001-07-11,Castelo Branco,Vila de Rei,Fundada,Melriça,39.7013016,-8.22683809368936,Natural,29.874,2001-07-11T17:00,32.6,34,14.8,30.7,0.0,0.0,0.0,0.0,0,1017.5,1004.3,0,0,0,0,0.59,3.22,24.6,33.0,342,344,50.4,37.3,26.6,22.4,18.9,0.091,0.138,0.192,0.325,1,3600.0,502.5,418.1,84.3,776.9,502.5,712.2,578.0,481.0,97.0,776.9,578.0,819.3,Tracheophyta; Pinus pinaster Aiton; Magnoliopsida; Eucalyptus L'Hér.; Pinales; Olea europaea L.; ,18.0,14.106964111328123,149.20150756835938,9.865582466125488,324.0,29.874,29.874,71.35916899165669,94.01375113175976,209.975299612,589.0921479492187,26.104332459326304,222.0671906262559
2001,2001-07-28,Castelo Branco,Sertã,Cumeada,Vaquinhas Cimeiras,39.7728957,-8.1144535,Natural,29.874,2001-07-28T16:00,29.0,37,12.8,28.9,0.0,0.0,0.0,0.0,1,1013.4,972.2,22,0,29,16,0.54,2.54,12.1,15.3,307,309,29.5,35.1,25.0,22.1,18.7,0.102,0.153,0.199,0.336,1,3600.0,617.0,509.8,107.2,758.7,617.0,891.3,679.0,561.0,118.0,758.7,679.0,980.8,Magnoliopsida; Tracheophyta; Pinus pinaster Aiton; Olea europaea L.,12.0,352.509521484375,352.509521484375,3.406503915786743,312.0,29.874,29.874,40.22050131120564,91.76227518953613,300.6099094027032,713.620005859375,10.14102132509594,300.3761381297565
2001,2001-08-24,Castelo Branco,Sertã,Castelo,Fonte Fria \ POV,39.8437437,-8.1716405,Natural,29.874,2001-08-24T14:00,33.1,24,9.7,34.0,0.0,0.0,0.0,0.0,0,1011.6,968.4,16,0,1,52,0.64,3.85,5.0,6.2,201,190,23.8,37.1,25.0,22.4,19.6,0.107,0.149,0.183,0.315,1,3600.0,800.2,685.1,115.1,831.0,800.2,1103.5,827.0,708.0,119.0,831.0,827.0,1140.4,Magnoliopsida; Pinus pinaster Aiton; Olea europaea L.; Tracheophyta; Quercus suber L.; Eucalyptus L'Hér.; Vitis vinifera L.; Pinales; Quercus L.; ,8.0,181.8435974121093,181.8435974121093,2.435506820678711,243.0,29.874,29.874,41.098527592629615,94.62650865993557,207.85662928,794.1518046875,10.58103704756816,251.2871811310158
