latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
40.175747,-7.1949463,570.0,2015-06-20T12:00,30.1,26,8.5,31.6,0.0,0.0,0.0,0.0,0,1017.5,954.6,0,0,0,0,0.73,3.16,5.7,7.3,55,57,21.6,30.7,21.6,18.4,14.7,0.142,0.221,0.259,0.352,1,3600.0,976.0,864.0,112.0,927.5,976.0,1233.9,996.9,882.5,114.4,927.5,996.9,1260.3
40.175747,-7.1949463,570.0,2015-06-21T12:00,32.5,20,6.6,33.1,0.0,0.0,0.0,0.0,0,1016.4,954.0,14,0,23,0,0.72,3.91,6.1,7.6,183,183,20.9,32.8,22.6,18.8,14.7,0.122,0.216,0.258,0.352,1,3600.0,932.0,790.0,142.0,848.2,932.0,1233.5,952.0,807.0,145.1,848.2,952.0,1260.0
40.175747,-7.1949463,570.0,2015-06-22T12:00,26.5,44,13.4,28.2,0.0,0.0,0.0,0.0,0,1016.2,952.6,5,4,1,4,0.65,1.93,10.7,13.3,220,221,32.8,31.3,23.3,19.2,14.8,0.114,0.212,0.256,0.352,1,3600.0,929.0,797.0,132.0,855.9,929.0,1233.1,949.1,814.2,134.9,855.9,949.1,1259.7
40.175747,-7.1949463,570.0,2015-06-23T12:00,22.8,42,9.2,23.6,0.0,0.0,0.0,0.0,0,1016.1,951.8,9,4,0,19,0.64,1.62,10.2,12.6,293,294,28.1,29.3,21.8,19.4,14.9,0.111,0.209,0.255,0.351,1,3600.0,985.0,863.0,122.0,927.0,985.0,1232.6,1006.4,881.7,124.6,927.0,1006.4,1259.4
40.175747,-7.1949463,570.0,2015-06-24T12:00,25.6,43,12.1,28.4,0.0,0.0,0.0,0.0,0,1017.5,953.7,3,3,0,0,0.64,1.87,2.5,3.0,172,166,18.4,31.5,21.5,19.5,15.0,0.105,0.206,0.254,0.351,1,3600.0,939.0,812.0,127.0,872.5,939.0,1232.1,959.5,829.7,129.8,872.5,959.5,1259.0
40.175747,-7.1949463,570.0,2015-06-25T12:00,29.2,26,7.5,29.0,0.0,0.0,0.0,0.0,0,1020.4,957.1,0,0,0,0,0.74,3.01,12.2,15.3,204,204,32.8,32.9,22.9,19.7,15.1,0.101,0.203,0.253,0.35,1,3600.0,962.0,851.0,111.0,914.7,962.0,1231.6,983.1,869.6,113.4,914.7,983.1,1258.6
40.175747,-7.1949463,570.0,2015-06-26T12:00,31.5,22,6.9,31.1,0.0,0.0,0.0,0.0,0,1021.2,958.3,5,0,0,16,0.77,3.62,12.7,16.0,225,226,32.0,35.0,23.9,20.0,15.2,0.097,0.199,0.252,0.35,1,3600.0,961.0,850.0,111.0,913.9,961.0,1231.1,982.1,868.7,113.4,913.9,982.1,1258.2
40.175747,-7.1949463,570.0,2015-06-27T12:00,33.4,12,0.3,33.4,0.0,0.0,0.0,0.0,0,1019.3,956.9,0,0,0,0,0.74,4.51,4.3,4.8,222,222,19.1,36.9,24.4,20.3,15.3,0.095,0.196,0.25,0.349,1,3600.0,974.0,863.0,111.0,928.2,974.0,1230.5,995.5,882.1,113.5,928.2,995.5,1257.7
40.175747,-7.1949463,570.0,2015-06-28T12:00,34.7,16,5.6,35.1,0.0,0.0,0.0,0.0,0,1018.2,956.1,0,0,0,0,0.77,4.61,6.9,8.2,242,241,22.0,38.2,25.6,20.7,15.4,0.094,0.193,0.249,0.349,1,3600.0,968.0,857.0,111.0,922.1,968.0,1229.9,989.5,876.0,113.5,922.1,989.5,1257.2
40.175747,-7.1949463,570.0,2015-06-29T12:00,37.1,16,6.7,36.6,0.0,0.0,0.0,0.0,0,1016.0,954.5,0,0,0,0,0.85,5.33,13.1,16.4,189,189,34.6,39.1,26.7,21.2,15.5,0.093,0.19,0.247,0.348,1,3600.0,960.0,849.0,111.0,913.9,960.0,1229.3,981.4,867.9,113.5,913.9,981.4,1256.7
