latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
40.03515,-7.8041687,563.0,2019-06-20T12:00,18.8,61,11.1,17.8,0.0,0.0,0.0,0.0,3,1016.3,951.9,90,100,0,0,0.39,0.85,13.0,16.6,298,297,36.7,21.0,17.1,16.2,13.8,0.187,0.187,0.246,0.316,1,3600.0,656.0,368.0,288.0,395.6,656.0,1232.1,670.8,376.3,294.5,395.6,670.8,1259.8,,,,,,
40.03515,-7.8041687,563.0,2019-06-21T12:00,21.9,48,10.6,22.6,0.0,0.0,0.0,0.0,0,1017.7,953.9,2,2,0,0,0.58,1.35,11.3,14.3,329,332,34.2,22.9,17.3,16.3,13.9,0.177,0.188,0.246,0.316,1,3600.0,924.0,798.0,126.0,858.1,924.0,1231.7,944.9,816.1,128.9,858.1,944.9,1259.5,31.165736377550854,91.17764101122876,90.97193406507813,392.0289833984375,8.964329897813903,115.14448986991927
40.03515,-7.8041687,563.0,2019-06-22T12:00,25.3,29,6.2,24.7,0.0,0.0,0.0,0.0,1,1013.9,951.0,28,0,0,94,0.64,2.28,11.3,14.4,211,212,33.8,25.1,18.3,16.4,13.9,0.162,0.184,0.243,0.315,1,3600.0,902.0,690.0,212.0,742.1,902.0,1231.3,922.5,705.7,216.8,742.1,922.5,1259.2,34.5976902469446,92.10806193296405,95.90659196907814,399.98698339843753,10.22870001481017,119.9255357230645
40.03515,-7.8041687,563.0,2019-06-23T12:00,22.2,63,14.8,21.5,0.2,0.2,0.0,0.0,51,1013.5,950.0,100,100,12,94,0.27,0.99,15.3,20.1,195,195,38.2,22.2,19.1,16.7,14.0,0.156,0.18,0.241,0.315,1,846.4,339.0,82.0,257.0,88.2,339.0,1230.8,346.7,83.9,262.9,88.2,346.7,1258.9,26.493164690295114,87.84328615562474,98.17620815507813,407.3869833984375,6.802111829936057,122.53071155806269
40.03515,-7.8041687,563.0,2019-06-24T12:00,15.4,75,11.0,15.2,0.1,0.1,0.0,0.0,51,1016.1,951.0,89,0,100,97,0.24,0.44,3.6,4.7,360,356,14.0,16.5,17.7,16.8,14.0,0.243,0.181,0.242,0.315,1,2138.41,396.0,122.0,274.0,131.3,396.0,1230.3,405.1,124.8,280.3,131.3,405.1,1258.5,12.775961029163424,84.94703540210922,99.26218040507813,413.5629833984375,2.508089877660682,124.07441392649038
40.03515,-7.8041687,563.0,2019-06-25T12:00,19.7,65,13.1,20.1,0.0,0.0,0.0,0.0,3,1016.9,952.6,100,51,96,30,0.35,0.79,3.8,5.0,163,159,25.6,20.4,16.6,16.7,14.1,0.276,0.188,0.244,0.315,1,3600.0,533.0,207.0,326.0,222.8,533.0,1229.8,545.3,211.8,333.5,222.8,545.3,1258.1,13.050377631822126,84.99472464073753,101.17875688507813,420.5129833984375,2.550144762541236,126.35342491838891
40.03515,-7.8041687,563.0,2019-06-26T12:00,21.0,66,14.3,20.7,0.1,0.1,0.0,0.0,51,1016.9,952.9,91,63,57,0,0.32,0.86,11.7,15.4,169,169,34.6,22.0,18.0,16.7,14.1,0.252,0.191,0.245,0.314,1,2980.85,476.0,148.0,328.0,159.4,476.0,1229.3,487.0,151.4,335.6,159.4,487.0,1257.7,17.90776887911061,85.04242962398443,103.15693760907813,427.6969833984375,3.8220692728620875,128.70652814267706
40.03515,-7.8041687,563.0,2019-06-27T12:00,23.6,52,13.1,25.1,0.0,0.0,0.0,0.0,0,1017.3,953.8,4,4,0,0,0.61,1.4,11.0,13.6,203,202,34.9,24.0,18.7,16.9,14.2,0.23,0.191,0.243,0.314,1,3600.0,940.0,832.0,108.0,896.2,940.0,1228.7,961.8,851.3,110.5,896.2,961.8,1257.2,21.807010082188516,87.12947071610796,106.27821930507812,435.3489833984375,4.945989342822126,131.99764820140356
40.03515,-7.8041687,563.0,2019-06-28T12:00,28.6,42,14.3,31.3,0.0,0.0,0.0,0.0,0,1015.8,953.4,0,0,0,0,0.67,2.29,6.7,8.2,164,165,26.6,26.5,19.2,17.1,14.2,0.199,0.184,0.237,0.314,1,3600.0,921.0,813.0,108.0,876.1,921.0,1228.1,942.5,831.9,110.5,876.1,942.5,1256.7,24.808119238539952,89.79839891096873,110.81323942107812,443.9009833984375,5.83788796160595,136.46214594115236
40.03515,-7.8041687,563.0,2019-06-29T12:00,30.3,32,11.7,31.6,0.0,0.0,0.0,0.0,0,1015.5,953.5,5,0,0,18,0.71,2.93,9.7,12.6,211,207,29.5,28.4,20.7,17.4,14.3,0.171,0.177,0.233,0.313,1,3600.0,929.0,814.0,115.0,877.6,929.0,1227.5,950.7,833.0,117.7,877.6,950.7,1256.2,35.15311083051554,92.21905359427542,116.43449505307812,452.7589833984375,9.585437346255873,141.74121745291325
