latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
40.94903,-7.0512695,520.0,2015-06-20T00:00,20.7,53,10.7,19.3,0.0,0.0,0.0,0.0,0,1018.3,958.9,0,0,0,0,0.07,1.16,11.4,24.0,77,82,23.4,19.4,22.2,17.9,14.1,0.193,0.21,0.255,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.94903,-7.0512695,520.0,2015-06-20T01:00,19.6,57,10.9,18.3,0.0,0.0,0.0,0.0,0,1018.9,959.2,0,0,0,0,0.06,0.98,11.0,23.9,71,79,26.6,18.9,21.9,18.0,14.1,0.193,0.21,0.255,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.94903,-7.0512695,520.0,2015-06-20T02:00,18.7,60,10.8,17.3,0.0,0.0,0.0,0.0,0,1019.1,959.2,0,0,0,0,0.05,0.86,10.9,22.9,63,71,26.6,18.5,21.7,18.0,14.1,0.192,0.21,0.255,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.94903,-7.0512695,520.0,2015-06-20T03:00,17.8,62,10.5,16.4,0.0,0.0,0.0,0.0,0,1019.3,959.3,0,0,0,0,0.04,0.77,10.3,22.1,61,68,25.6,18.1,21.4,18.0,14.1,0.192,0.21,0.255,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.94903,-7.0512695,520.0,2015-06-20T04:00,16.9,64,10.0,15.5,0.0,0.0,0.0,0.0,0,1019.6,959.4,0,0,0,0,0.04,0.7,10.0,20.3,60,67,23.8,17.6,21.2,18.0,14.1,0.192,0.21,0.255,0.327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.94903,-7.0512695,520.0,2015-06-20T05:00,16.1,65,9.6,14.5,0.0,0.0,0.0,0.0,0,1020.0,959.6,0,0,0,0,0.03,0.63,10.1,18.7,55,65,22.7,17.1,20.9,18.0,14.1,0.192,0.21,0.255,0.327,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.94903,-7.0512695,520.0,2015-06-20T06:00,16.0,66,9.5,14.5,0.0,0.0,0.0,0.0,0,1020.4,959.9,0,0,0,0,0.05,0.63,9.0,17.7,53,63,22.7,17.0,20.6,18.0,14.1,0.192,0.21,0.255,0.327,1,1993.81,50.0,28.0,22.0,230.3,50.0,109.4,103.5,58.0,45.6,339.0,70.3,226.5
40.94903,-7.0512695,520.0,2015-06-20T07:00,17.3,53,7.5,15.0,0.0,0.0,0.0,0.0,0,1020.7,960.5,0,0,0,0,0.14,0.94,11.1,16.4,61,64,27.0,18.4,20.5,18.0,14.1,0.192,0.21,0.255,0.327,1,3600.0,207.0,149.0,58.0,569.9,207.0,346.4,278.6,200.5,78.1,569.9,278.6,466.2
40.94903,-7.0512695,520.0,2015-06-20T08:00,19.2,45,6.8,16.6,0.0,0.0,0.0,0.0,0,1020.5,960.7,0,0,0,0,0.27,1.23,12.1,16.7,63,65,30.2,20.2,20.4,18.0,14.1,0.191,0.21,0.255,0.327,1,3600.0,400.0,320.0,80.0,726.8,400.0,583.2,478.4,382.7,95.7,726.8,478.4,697.6
40.94903,-7.0512695,520.0,2015-06-20T09:00,21.5,36,5.9,18.9,0.0,0.0,0.0,0.0,0,1020.1,960.7,0,0,0,0,0.4,1.64,12.6,17.2,63,64,32.4,22.3,20.5,18.0,14.1,0.19,0.21,0.254,0.327,1,3600.0,591.0,497.0,94.0,819.0,591.0,803.8,665.3,559.5,105.8,819.0,665.3,904.9
