latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
40.94903,-7.0512695,520.0,2015-06-20T12:00,28.3,20,2.8,27.5,0.0,0.0,0.0,0.0,0,1018.2,960.2,0,0,0,0,0.73,3.09,10.6,13.7,62,63,31.7,28.7,21.3,18.0,14.1,0.186,0.209,0.254,0.327,1,3600.0,974.0,861.0,113.0,927.5,974.0,1229.6,994.4,879.1,115.4,927.5,994.4,1255.4,,,,,,
40.94903,-7.0512695,520.0,2015-06-21T12:00,30.7,23,7.1,32.5,0.0,0.0,0.0,0.0,0,1016.5,959.1,0,0,0,0,0.69,3.4,1.6,1.8,27,37,19.4,31.1,21.9,18.4,14.2,0.171,0.208,0.253,0.327,1,3600.0,959.0,845.0,114.0,910.5,959.0,1229.2,979.2,862.8,116.4,910.5,979.2,1255.1,28.100541223673762,94.81344966063021,58.829143776,467.90113037109376,9.147038163306119,89.51995800670996
40.94903,-7.0512695,520.0,2015-06-22T12:00,29.5,35,12.6,31.2,0.0,0.0,0.0,0.0,0,1014.7,957.2,6,0,7,7,0.69,2.66,8.7,11.2,232,228,29.5,31.7,23.4,18.8,14.3,0.162,0.206,0.252,0.327,1,3600.0,917.0,782.0,135.0,842.7,917.0,1228.8,936.4,798.6,137.9,842.7,936.4,1254.8,32.91634905346457,93.56071007704978,64.065504516,476.61513037109376,11.000834502232015,95.90326936727152
40.94903,-7.0512695,520.0,2015-06-23T12:00,22.1,57,13.3,21.8,0.0,0.0,0.0,0.0,3,1016.2,957.2,100,98,2,79,0.37,1.13,9.7,12.7,285,285,26.6,24.8,21.7,19.1,14.4,0.179,0.206,0.252,0.326,1,3600.0,531.0,208.0,323.0,224.2,531.0,1228.3,542.3,212.4,329.9,224.2,542.3,1254.5,5.24157254737109,74.41691562149904,52.201756694456016,475.6408332585722,1.2109381083594082,81.92520877131025
40.94903,-7.0512695,520.0,2015-06-24T12:00,25.2,47,13.0,26.9,0.0,0.0,0.0,0.0,0,1017.2,958.7,15,17,0,0,0.53,1.7,3.5,4.2,24,31,18.4,27.3,20.8,19.1,14.5,0.173,0.204,0.251,0.326,1,3600.0,757.0,533.0,224.0,574.7,757.0,1227.9,773.2,544.4,228.8,574.7,773.2,1254.1,10.772638088614952,85.1996331328118,55.87142146845601,483.58083325857217,2.583820693188562,86.70017368580383
40.94903,-7.0512695,520.0,2015-06-25T12:00,29.1,34,11.7,30.6,0.0,0.0,0.0,0.0,0,1019.5,961.6,13,0,21,0,0.65,2.66,6.7,8.8,216,215,23.0,30.8,22.2,19.3,14.6,0.162,0.203,0.25,0.326,1,3600.0,876.0,737.0,139.0,794.9,876.0,1227.4,894.8,752.8,142.0,794.9,894.8,1253.7,23.685611840846043,91.00452516124953,61.118839380456016,492.22283325857217,6.936567481470239,93.28111212185871
40.94903,-7.0512695,520.0,2015-06-26T12:00,31.2,20,5.5,30.9,0.0,0.0,0.0,0.0,0,1020.6,963.0,11,0,0,37,0.75,3.63,10.4,14.0,236,235,28.8,32.4,23.2,19.5,14.6,0.153,0.201,0.249,0.326,1,3600.0,957.0,835.0,122.0,900.9,957.0,1226.8,977.7,853.0,124.6,900.9,977.7,1253.3,40.281990088051295,94.88097803585075,67.92163282045601,501.24283325857215,14.384182805248292,101.46900581089982
40.94903,-7.0512695,520.0,2015-06-27T12:00,31.2,19,5.0,32.5,0.0,0.0,0.0,0.0,0,1019.5,962.0,0,0,0,0,0.69,3.68,1.8,2.0,323,315,15.5,33.3,23.6,19.8,14.7,0.146,0.2,0.249,0.325,1,3600.0,961.0,849.0,112.0,916.4,961.0,1226.3,981.8,867.4,114.4,916.4,981.8,1252.8,32.73472056964315,95.36353866899353,74.809461178456,510.26283325857213,9.9620399407562,109.48867752546488
40.94903,-7.0512695,520.0,2015-06-28T12:00,32.7,20,6.9,34.0,0.0,0.0,0.0,0.0,0,1018.4,961.2,0,0,0,0,0.73,3.95,4.2,5.3,301,298,18.7,34.7,24.8,20.2,14.8,0.14,0.198,0.248,0.325,1,3600.0,963.0,852.0,111.0,920.0,963.0,1225.7,984.0,870.6,113.4,920.0,984.0,1252.4,36.7844678180347,95.44281900910784,81.928173818456,519.5528332585722,11.364854627945066,117.5250847124171
40.94903,-7.0512695,520.0,2015-06-29T12:00,35.7,20,9.0,37.3,0.0,0.0,0.0,0.0,0,1015.8,959.3,0,0,0,0,0.75,4.7,4.7,6.5,203,199,19.4,36.4,25.7,20.6,15.0,0.135,0.196,0.247,0.325,1,3600.0,953.0,842.0,111.0,909.6,953.0,1225.0,973.8,860.4,113.4,909.6,973.8,1251.8,40.01869771308319,95.91052132826393,89.67872485845601,529.3828332585722,12.419505656149587,125.99697387816025
