latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
40.175747,-7.4473877,435.0,2015-06-21T00:00,22.5,35,6.1,20.2,0.0,0.0,0.0,0.0,0,1015.8,963.6,0,0,0,0,0.08,1.78,8.9,21.8,14,38,19.1,21.1,24.8,19.5,15.4,0.129,0.19,0.242,0.337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.175747,-7.4473877,435.0,2015-06-21T01:00,21.3,39,6.8,19.3,0.0,0.0,0.0,0.0,0,1015.8,963.4,0,0,0,0,0.07,1.55,8.7,20.2,17,41,19.4,20.2,24.5,19.5,15.4,0.129,0.19,0.242,0.337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.175747,-7.4473877,435.0,2015-06-21T02:00,20.3,42,6.9,18.4,0.0,0.0,0.0,0.0,0,1015.6,963.0,0,0,0,0,0.06,1.39,8.0,17.8,18,43,19.4,19.4,24.1,19.5,15.4,0.129,0.19,0.242,0.337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.175747,-7.4473877,435.0,2015-06-21T03:00,19.6,44,6.9,17.6,0.0,0.0,0.0,0.0,0,1015.9,963.2,0,0,0,0,0.06,1.28,8.2,18.1,15,44,18.4,18.7,23.8,19.5,15.4,0.129,0.19,0.242,0.337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.175747,-7.4473877,435.0,2015-06-21T04:00,18.9,46,7.1,17.0,0.0,0.0,0.0,0.0,0,1015.8,963.0,0,0,0,0,0.05,1.18,8.2,18.1,15,44,17.6,18.1,23.5,19.6,15.4,0.129,0.19,0.242,0.337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.175747,-7.4473877,435.0,2015-06-21T05:00,18.3,49,7.3,16.4,0.0,0.0,0.0,0.0,0,1015.9,962.9,0,0,0,0,0.05,1.08,8.2,16.8,15,45,16.9,17.6,23.1,19.6,15.4,0.129,0.19,0.242,0.337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.175747,-7.4473877,435.0,2015-06-21T06:00,18.5,52,8.5,17.0,0.0,0.0,0.0,0.0,0,1016.3,963.4,0,0,0,0,0.06,1.03,7.8,14.5,13,46,15.8,17.8,22.8,19.6,15.4,0.129,0.19,0.242,0.337,1,1789.63,41.0,22.0,19.0,187.8,41.0,96.3,91.4,49.0,42.4,302.7,56.7,214.6
40.175747,-7.4473877,435.0,2015-06-21T07:00,21.8,48,10.2,20.8,0.0,0.0,0.0,0.0,0,1016.5,964.1,2,0,4,0,0.14,1.37,7.5,12.0,17,49,17.6,20.1,22.6,19.6,15.4,0.129,0.19,0.242,0.337,1,3600.0,189.0,131.0,58.0,516.8,189.0,335.7,257.2,178.3,78.9,516.8,257.2,456.9
40.175747,-7.4473877,435.0,2015-06-21T08:00,26.3,33,8.7,25.3,0.0,0.0,0.0,0.0,0,1016.5,964.9,7,0,11,0,0.26,2.29,4.2,6.9,59,62,17.3,23.9,22.7,19.6,15.4,0.129,0.19,0.242,0.337,1,3600.0,373.0,290.0,83.0,667.4,373.0,575.5,448.1,348.4,99.7,667.4,448.1,691.3
40.175747,-7.4473877,435.0,2015-06-21T09:00,28.9,27,8.0,27.6,0.0,0.0,0.0,0.0,0,1016.7,965.5,8,0,14,0,0.4,2.9,4.9,6.0,126,123,16.6,27.0,22.8,19.6,15.4,0.128,0.19,0.242,0.337,1,3600.0,541.0,428.0,113.0,709.3,541.0,799.1,610.5,482.9,127.5,709.3,610.5,901.7
40.175747,-7.4473877,435.0,2015-06-21T10:00,30.7,23,7.4,30.2,0.0,0.0,0.0,0.0,0,1016.4,965.5,15,0,25,0,0.54,3.4,5.9,7.2,142,143,22.0,30.0,23.1,19.6,15.4,0.127,0.19,0.241,0.337,1,3600.0,708.0,581.0,127.0,776.1,708.0,991.5,766.8,629.3,137.5,776.1,766.8,1073.9
40.175747,-7.4473877,435.0,2015-06-21T11:00,32.1,20,6.5,32.0,0.0,0.0,0.0,0.0,0,1016.2,965.6,16,0,26,0,0.64,3.82,6.4,7.7,153,152,23.0,32.3,23.4,19.6,15.4,0.126,0.189,0.241,0.337,1,3600.0,822.0,677.0,145.0,786.9,822.0,1139.5,862.8,710.6,152.2,786.9,862.8,1196.0
40.175747,-7.4473877,435.0,2015-06-21T12:00,33.3,19,6.4,33.6,0.0,0.0,0.0,0.0,0,1016.1,965.7,14,0,24,0,0.72,4.15,6.8,8.3,183,185,24.1,34.4,23.9,19.6,15.4,0.124,0.189,0.241,0.337,1,3600.0,916.0,748.0,168.0,803.5,916.0,1232.9,935.9,764.3,171.6,803.5,935.9,1259.7
40.175747,-7.4473877,435.0,2015-06-21T13:00,33.9,18,6.7,34.0,0.0,0.0,0.0,0.0,0,1015.6,965.3,10,0,17,0,0.71,4.32,7.3,8.4,200,200,24.5,35.6,24.4,19.6,15.4,0.123,0.189,0.241,0.337,1,3600.0,880.0,724.0,156.0,757.7,880.0,1265.6,876.7,721.3,155.4,757.7,876.7,1260.8
40.175747,-7.4473877,435.0,2015-06-21T14:00,34.4,18,7.0,33.9,0.0,0.0,0.0,0.0,0,1015.3,965.1,15,0,24,2,0.64,4.43,7.1,8.6,204,202,25.6,36.4,24.8,19.7,15.4,0.122,0.189,0.241,0.337,1,3600.0,771.0,592.0,179.0,634.8,771.0,1235.1,748.6,574.8,173.8,634.8,748.6,1199.1
