latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
40.105446,-7.563019,472.0,2022-06-20T00:00,13.3,92,12.0,11.9,0.0,0.0,0.0,0.0,3,1013.0,957.8,91,100,0,2,0.0,0.12,13.7,21.5,300,305,34.9,19.1,24.6,22.9,16.2,0.109,0.17,0.212,0.275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.105446,-7.563019,472.0,2022-06-20T01:00,13.1,93,12.0,12.0,0.0,0.0,0.0,0.0,3,1012.9,957.7,100,100,7,89,0.0,0.11,12.3,18.3,302,306,36.4,18.7,24.3,22.9,16.2,0.109,0.17,0.212,0.275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.105446,-7.563019,472.0,2022-06-20T02:00,13.6,88,11.6,12.3,0.0,0.0,0.0,0.0,3,1012.3,957.2,100,100,0,92,0.0,0.19,12.1,17.6,300,305,32.0,18.4,24.1,22.9,16.2,0.109,0.17,0.212,0.275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.105446,-7.563019,472.0,2022-06-20T03:00,13.2,89,11.4,11.7,0.0,0.0,0.0,0.0,3,1012.3,957.2,100,100,1,80,0.0,0.17,13.2,20.1,292,299,33.1,18.1,23.8,22.9,16.2,0.109,0.17,0.212,0.275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.105446,-7.563019,472.0,2022-06-20T04:00,12.8,88,10.8,11.0,0.0,0.0,0.0,0.0,3,1012.4,957.2,100,100,0,76,0.0,0.18,14.2,20.8,294,300,34.9,17.9,23.5,22.9,16.2,0.108,0.17,0.212,0.275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.105446,-7.563019,472.0,2022-06-20T05:00,12.5,86,10.3,10.6,0.0,0.0,0.0,0.0,3,1012.6,957.3,94,100,0,14,0.01,0.2,14.0,20.4,296,302,35.3,17.5,23.2,22.9,16.2,0.108,0.17,0.212,0.275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.105446,-7.563019,472.0,2022-06-20T06:00,12.1,88,10.1,10.1,0.0,0.0,0.0,0.0,3,1013.1,957.7,89,99,0,0,0.02,0.18,13.7,20.4,297,302,34.2,17.2,23.0,22.9,16.2,0.108,0.17,0.212,0.275,1,0.0,29.0,4.0,25.0,34.6,29.0,94.4,64.8,8.9,55.8,56.1,39.9,210.7
40.105446,-7.563019,472.0,2022-06-20T07:00,12.9,80,9.6,10.7,0.0,0.0,0.0,0.0,2,1013.3,958.1,71,79,0,0,0.08,0.3,14.2,19.8,300,303,36.4,17.6,22.7,22.9,16.2,0.108,0.17,0.212,0.275,1,3600.0,146.0,49.0,97.0,195.5,146.0,332.0,199.4,66.9,132.5,195.5,199.4,453.3
40.105446,-7.563019,472.0,2022-06-20T08:00,14.9,66,8.7,12.2,0.0,0.0,0.0,0.0,0,1013.3,958.4,11,12,0,0,0.2,0.57,16.4,22.0,299,302,40.7,18.9,22.5,22.9,16.2,0.108,0.17,0.212,0.275,1,3600.0,369.0,266.0,103.0,615.9,369.0,572.1,443.9,320.0,123.9,615.9,443.9,688.2
40.105446,-7.563019,472.0,2022-06-20T09:00,16.5,55,7.4,13.2,0.0,0.0,0.0,0.0,0,1013.2,958.6,10,11,0,0,0.31,0.85,18.8,25.0,299,300,47.2,20.8,22.4,22.8,16.2,0.108,0.17,0.212,0.275,1,3600.0,561.0,446.0,115.0,741.8,561.0,796.3,633.5,503.7,129.9,741.8,633.5,899.3
