latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
40.03515,-7.8041687,563.0,2019-06-20T00:00,12.8,96,12.1,12.3,0.0,0.0,0.0,0.0,2,1017.1,951.3,63,41,0,87,0.0,0.07,7.9,15.3,317,326,19.1,16.5,18.2,16.2,13.8,0.19,0.182,0.244,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.03515,-7.8041687,563.0,2019-06-20T01:00,12.5,94,11.6,11.9,0.0,0.0,0.0,0.0,0,1016.9,951.1,18,3,0,52,0.0,0.09,7.4,14.6,317,327,19.4,16.0,18.0,16.2,13.8,0.19,0.182,0.244,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.03515,-7.8041687,563.0,2019-06-20T02:00,11.7,94,10.7,10.9,0.0,0.0,0.0,0.0,1,1016.4,950.4,27,4,0,79,0.0,0.09,6.4,16.1,313,326,19.1,15.3,17.9,16.2,13.8,0.19,0.182,0.244,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.03515,-7.8041687,563.0,2019-06-20T03:00,11.1,93,9.9,10.2,0.0,0.0,0.0,0.0,1,1016.0,949.9,34,6,1,93,0.0,0.1,6.1,16.2,310,323,16.9,14.6,17.7,16.2,13.8,0.19,0.182,0.244,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.03515,-7.8041687,563.0,2019-06-20T04:00,10.8,94,9.9,9.7,0.0,0.0,0.0,0.0,1,1016.0,949.9,38,12,0,89,0.0,0.08,7.4,17.2,313,323,18.0,14.1,17.5,16.2,13.8,0.19,0.182,0.244,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.03515,-7.8041687,563.0,2019-06-20T05:00,10.8,96,10.2,9.8,0.0,0.0,0.0,0.0,2,1016.2,950.1,50,25,0,93,0.0,0.06,7.1,16.9,319,326,19.4,13.9,17.3,16.2,13.8,0.19,0.182,0.244,0.316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.03515,-7.8041687,563.0,2019-06-20T06:00,11.6,94,10.6,10.4,0.0,0.0,0.0,0.0,3,1016.2,950.2,100,77,3,96,0.01,0.09,9.3,14.1,324,328,20.9,13.9,17.1,16.2,13.8,0.19,0.182,0.244,0.316,1,0.0,21.0,3.0,18.0,26.3,21.0,92.2,47.0,6.7,40.3,43.1,28.7,206.3
40.03515,-7.8041687,563.0,2019-06-20T07:00,13.0,88,11.1,12.0,0.0,0.0,0.0,0.0,3,1016.2,950.5,83,41,40,73,0.06,0.18,9.1,12.0,326,327,22.7,14.4,16.9,16.2,13.8,0.189,0.182,0.244,0.316,1,747.12,112.0,21.0,91.0,84.9,112.0,327.6,153.5,28.8,124.8,84.9,153.5,449.2
40.03515,-7.8041687,563.0,2019-06-20T08:00,14.9,80,11.4,14.0,0.0,0.0,0.0,0.0,2,1015.8,950.6,56,9,40,81,0.14,0.35,9.2,12.1,321,323,24.1,15.5,16.8,16.2,13.8,0.189,0.182,0.244,0.316,1,3600.0,258.0,121.0,137.0,282.1,258.0,568.1,310.9,145.8,165.1,282.1,310.9,684.5
40.03515,-7.8041687,563.0,2019-06-20T09:00,16.7,73,11.8,16.0,0.0,0.0,0.0,0.0,0,1015.9,951.1,14,16,0,0,0.24,0.52,8.7,11.0,322,322,25.6,17.0,16.8,16.2,13.8,0.188,0.182,0.244,0.316,1,3600.0,439.0,233.0,206.0,389.2,439.0,793.0,496.2,263.4,232.8,389.2,496.2,896.3
