surface,latitude,longitude,fbupinx,drtcode,dufmcode,ffmcode,fdsrte,fwinx,infsinx
0.0,41.840811206489,350.64,,,,,,,
0.0,41.840811206489,351.36,13.5,91.75,8.25,28.294922,9.0113e-18,0.0039062514,0.0039062584
0.0,41.840811206489,352.08,16.0,113.75,9.75,39.03711,9.0113e-18,0.04296875,0.054687507
0.0,41.840811206489,352.8,43.25,217.75,28.75,54.44922,0.0390625,1.203125,0.68359375
0.0,41.840811206489,353.52,114.25,337.0,99.25,88.916016,14.6875,34.976562,10.707031
0.0,41.27918996225089,350.64,,,,,,,
0.0,41.27918996225089,351.36,22.25,154.5,13.75,40.20508,9.0113e-18,0.07421875,0.07421876
0.0,41.27918996225089,352.08,41.25,175.0,29.25,48.21875,9.0113e-18,0.30859375,0.21093751
0.0,41.27918996225089,352.8,117.25,479.75,84.5,67.43555,0.7265625,6.3789062,1.1523438
0.0,41.27918996225089,353.52,142.0,441.25,119.0,86.859375,11.4921875,30.445312,7.71875
0.0,40.71756869718417,350.859375,,,,,,,
0.0,40.71756869718417,351.5625,62.0,231.5,46.5,55.79492,0.078125,1.78125,0.62890625
0.0,40.71756869718417,352.265625,66.5,204.25,56.0,53.82617,0.0234375,0.93359375,0.453125
0.0,40.71756869718417,352.96875,110.75,333.25,94.75,75.2832,1.25,8.703125,1.6914062
0.0,40.15594741204222,350.859375,32.75,280.5,19.25,64.74414,0.3984375,4.5664062,2.03125
0.0,40.15594741204222,351.5625,105.0,273.75,100.75,79.57422,2.28125,12.222656,2.6367188
0.0,40.15594741204222,352.265625,101.75,240.5,101.75,77.1875,1.765625,10.5625,2.2460938
0.0,40.15594741204222,352.96875,160.25,392.0,160.25,83.509766,6.3125,21.699219,4.5078125
0.0,39.594326107545804,350.6666666666667,32.25,330.25,18.25,63.79492,0.375,4.421875,1.9960938
0.0,39.594326107545804,351.33333333333337,127.75,447.75,99.25,81.61133,4.5234375,17.972656,3.8554688
0.0,39.594326107545804,352.0,166.5,346.75,167.0,87.197266,12.8203125,32.390625,7.9453125
0.0,39.594326107545804,352.6666666666667,170.25,405.25,170.25,84.59961,7.4140625,23.765625,5.0195312
0.0,39.594326107545804,353.33333333333337,193.0,438.5,193.25,89.18945,11.828125,30.949219,7.1328125
0.0,39.03270478438495,350.6666666666667,104.5,584.5,67.25,79.62305,4.796875,18.578125,4.5703125
0.0,39.03270478438495,351.33333333333337,154.75,520.5,123.0,83.19531,7.0390625,23.078125,4.9804688
0.0,39.03270478438495,352.0,177.25,444.5,176.5,90.07031,20.632812,42.378906,11.761719
0.0,39.03270478438495,352.6666666666667,172.5,439.75,169.25,89.4375,16.992188,37.972656,10.0
0.0,39.03270478438495,353.33333333333337,224.5,590.75,214.0,90.47266,17.953125,39.171875,9.933594
0.0,38.47108344322056,350.6666666666667,51.0,477.5,29.5,63.88672,0.7421875,6.4726562,2.125
0.0,38.47108344322056,351.33333333333337,182.25,532.75,159.25,84.28125,10.28125,28.585938,6.4296875
0.0,38.47108344322056,352.0,170.75,430.5,169.5,90.046875,20.234375,41.910156,11.683594
0.0,38.47108344322056,352.6666666666667,172.0,433.25,171.0,88.94922,16.023438,36.73828,9.515625
0.0,38.47108344322056,353.33333333333337,182.0,428.5,182.25,89.9082,18.359375,39.671875,10.5390625
0.0,37.909462084686055,350.6666666666667,,,,,,,
0.0,37.909462084686055,351.33333333333337,168.25,490.0,147.5,84.05859,10.625,29.128906,6.765625
0.0,37.909462084686055,352.0,180.0,481.5,169.0,89.884766,20.679688,42.429688,11.730469
0.0,37.909462084686055,352.6666666666667,172.75,454.5,164.75,88.416016,14.1015625,34.17578,8.511719
0.0,37.909462084686055,353.33333333333337,152.75,316.0,153.0,86.75,10.453125,28.855469,6.9101562
0.0,37.34784070938886,350.6666666666667,75.75,457.75,47.75,76.103516,2.1015625,11.65625,3.1484375
0.0,37.34784070938886,351.33333333333337,169.75,492.0,149.25,85.015625,13.4375,33.26172,8.21875
0.0,37.34784070938886,352.0,193.5,490.25,190.75,88.17969,18.015625,39.25,10.21875
0.0,37.34784070938886,352.6666666666667,189.0,496.5,180.25,89.42969,17.960938,39.179688,10.2421875
