ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2010,DM21051,Florestal,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,131712,161667.0,460043.0,2010-02-14,17:27:00,2010-02-14,18:28:00,2010-02-14,17:35:00,117,PT11040912,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.11258085,-8.597501604999291
2010,DM21056,Florestal,Porto,Amarante,Mancelos,R.CIMO DE VILA (Cimo de Vila),130123,196769.0,480338.0,2010-02-16,16:25:00,2010-02-16,17:45:00,2010-02-16,16:30:00,Populares,PT11050123,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,41.2894833,-8.155317
2010,DM21057,Florestal,Porto,Penafiel,Penafiel,RUA ALAMELA (Rua Alfredo Pereira),131124,187618.0,470806.0,2010-02-16,16:50:00,2010-02-16,17:48:00,2010-02-16,16:56:00,Populares,PT11051324,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,41.2039194,-8.292240964931633
2010,DM21065,Florestal,Porto,Lousada,Nevogilde,Lameira,130515,184329.0,483899.0,2010-03-15,18:32:00,2010-03-15,21:18:00,2010-03-15,18:50:00,Populares,PT11050815,0.0,0.7,0.0,0.7,0.7,0,0,0,1,0,0,,,,,41.2681682,-8.3287022
2010,BL110149,Florestal,Viseu,Castro Daire,Castro Daire,Farejinhas,180304,219636.0,437648.0,2010-03-17,01:50:00,2010-03-17,03:32:00,2010-03-17,02:30:00,Populares,PT12050304,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,630.0,Desconhecida,40.91465745,-7.920020147736607
2010,DM21079,Florestal,Porto,Baião,Gestaçô,FOJO (Foja),130205,206818.0,464218.0,2010-03-17,11:14:00,2010-03-17,12:30:00,2010-03-17,11:25:00,Populares,PT11050205,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.1677523,-7.9285981
2010,DM410161,Florestal,Braga,Fafe,Freitas,TRAVASSÔ(FREITAS) (TRAVASSOS),30713,194407.0,502516.0,2010-03-17,13:15:00,2010-03-17,16:16:00,,,Populares,PT11030113,2.0,4.0,0.0,6.0,6.0,0,0,0,0,1,0,,,630.0,Desconhecida,41.517727,-8.220231994344001
2010,DM21088,Florestal,Porto,Valongo,Campo,SERRA DAS PIAS (Serra de Pias),131502,172004.0,464624.0,2010-03-17,16:05:00,2010-03-17,17:10:00,2010-03-17,16:12:00,117,PT11040702,0.06,0.0,0.0,0.06,0.06,0,0,0,1,0,0,,,,,41.1830981,-8.4838315
2010,BL110156,Florestal,Viseu,Vila Nova de Paiva,Touro,LAJE GORDA,182205,223694.0,435214.0,2010-03-17,18:16:00,2010-03-17,19:25:00,2010-03-17,18:35:00,Populares,PT12051305,0.0,0.4,0.0,0.4,0.4,0,0,0,1,0,0,Serra do Leomil,,630.0,Desconhecida,40.9040177,-7.7793342
2010,TM110145,Florestal,Vila Real,Boticas,São Salvador de Viveiro,Campos,170214,230694.0,520712.0,2010-03-17,18:25:00,2010-03-17,19:16:00,2010-03-17,18:44:00,Populares,PT11080214,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.6550606,-7.764652
2010,TM110147,Florestal,Vila Real,Montalegre,Covelo Do Gerês,Parque Eolico (COVELO DO GEREZ),170607,212503.0,527410.0,2010-03-17,18:41:00,2010-03-17,20:00:00,2010-03-17,19:12:00,Populares,PT11080907,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,Barroso,,,,41.719162,-7.9806545
2010,DM410166,Florestal,Braga,Barcelos,Barqueiros,CALIFORNIA (BARQUEIROS) (BARQUEIROS),30215,150084.0,502337.0,2010-03-17,19:02:00,2010-03-17,21:35:00,2010-03-17,19:17:00,Populares,PT11020215,0.0,0.25,0.0,0.25,0.25,0,0,0,1,0,0,,,60.0,Desconhecida,41.48131265,-8.722270769499865
2010,DM21095,Florestal,Porto,Gondomar,Fânzeres,AV. CONDUTA (FANZERES),130402,166868.0,466451.0,2010-03-17,19:09:00,2010-03-17,20:09:00,2010-03-17,19:14:00,Populares,PT11040202,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.1712712,-8.54277892397772
2010,TM110149,Florestal,Vila Real,Montalegre,Morgade,MORGADE,170616,232100.0,531429.0,2010-03-17,20:10:00,2010-03-17,22:15:00,2010-03-17,20:25:00,Populares,PT11080916,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,41.75545045,-7.747037132204383
2010,TM110151,Florestal,Vila Real,Vila Real,Vila Marim,Arnal. P.N.A (Arnal),171429,227083.0,485172.0,2010-03-17,21:21:00,2010-03-17,22:25:00,2010-03-17,21:40:00,Populares,PT11071929,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,ALVÃO,,,41.3352011,-7.8098737
2010,RO210168,Florestal,Lisboa,Oeiras,Porto Salvo,TALAIDE (Talaíde),111009,97895.0,197105.0,2010-06-04,15:59:00,2010-06-04,17:03:00,2010-06-04,16:06:00,Populares,PT13020509,0.0,0.006,0.0,0.006,0.006,0,0,0,1,0,0,,,,,38.717239,-9.3020403
2010,RO310162,Florestal,Setúbal,Almada,Charneca De Caparica,FONTE TELHA (Fonte da Telha),150309,107376.0,179095.0,2010-06-04,17:23:00,2010-06-04,19:55:00,2010-06-04,17:37:00,Populares,PT13030209,0.04,0.0,0.0,0.04,0.04,0,0,0,1,0,0,Mata Nacional da Machada,ARRIBA FÓSSIL DA COSTA DA CAPARICA,,,38.6080628,-9.2016143
2010,DM210611,Florestal,Porto,Paredes,Lordelo,LEVADINHA (Levandeira),131013,181559.0,469431.0,2010-06-04,22:26:00,2010-06-04,23:14:00,2010-06-04,22:29:00,Populares,PT11051213,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,41.2346057,-8.4146751
2010,RO210170,Florestal,Lisboa,Sintra,São João das Lampas,Assafora,111110,89433.0,216112.0,2010-06-05,00:28:00,2010-06-05,01:35:00,2010-06-05,00:40:00,Populares,PT13020610,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,SINTRA-CASCAIS,6.0,Desconhecida,38.83363195,-9.367501448128994
2010,DM210612,Florestal,Porto,Vila Nova de Gaia,Serzedo,RUA CONDE BRANDÃO (Rua Conde Barão),131721,161472.0,453104.0,2010-06-05,08:00:00,2010-06-05,09:38:00,2010-06-05,08:07:00,Populares,PT11040921,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.0486349,-8.6110318
2010,DM210614,Florestal,Porto,Vila Nova de Gaia,Pedroso,Rua Bartolomeu Dias,131713,165297.0,455243.0,2010-06-05,12:45:00,2010-06-05,13:57:00,2010-06-05,12:55:00,Populares,PT11040913,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.0654247,-8.5468066
