ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf,LAT,LON
2012,DM31217,Florestal,Viana do Castelo,Ponte de Lima,Vitorino dos Piães,Portela,160751,159354,524771,2012-01-24,12:46:00,2012-01-24,15:51:00,2012-01-24,13:10:00,Populares,PT11010751,0.3,0.0,0.0,0.3,0.3,0,0,0,1,0,0,Entre Lima e Neiva,,,,Entre Douro e Minho,Alto Minho,41.6815613,-8.6232985
2012,RO31215,Florestal,Setúbal,Montijo,Pegões,HERDADE QT DO SOL (Herdade Colares de Perdizes),150706,150846,195864,2012-01-27,15:46:00,2012-01-27,16:30:00,2012-01-27,16:05:00,Outros,PT13030506,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,Ribatejo e Oeste,AML,38.68008015,-8.591171494214755
2012,BL21220,Florestal,Coimbra,Penacova,Travanca do Mondego,junto Barragem Agueira (Junqueira),61311,194125,368529,2012-01-29,15:34:00,2012-01-29,17:50:00,2012-01-29,15:50:00,117,PT12020711,0.0,2.5,0.0,2.5,2.5,0,0,0,0,1,0,,,630.0,Desconhecida,Beira Litoral,Centro Litoral,40.325039,-8.1869841
2012,DM2126,Florestal,Porto,Vila Nova de Gaia,Perozinho,RUA 25 DE ABRIL (Rua Vinte e Cinco de Abril),131714,159367,453764,2012-01-09,17:02:00,2012-01-09,18:34:00,2012-01-09,17:12:00,Populares,PT11040914,0.03,0.0,0.0,0.03,0.03,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.0170886,-8.5745374
2012,RO21226,Florestal,Lisboa,Arruda dos Vinhos,Arranhó,A do Baço,110201,110539,223523,2012-01-11,17:44:00,2012-01-11,20:35:00,2012-01-11,18:15:00,Outros,PT13010301,0.4,0.9,0.0,1.3,1.3,0,0,0,0,1,0,,,630.0,Desconhecida,Ribatejo e Oeste,Oeste,38.9748152,-9.1648093
2012,DM4127,Florestal,Braga,Póvoa de Lanhoso,Geraz do Minho,MONTE STº TIRSO(GERAZ MINHO) (Belmonte),30914,187000,514007,2012-01-13,18:14:00,2012-01-13,19:40:00,2012-01-13,18:25:00,Populares,PT11030314,0.03,0.0,0.0,0.03,0.03,0,0,0,1,0,0,,,60.0,Desconhecida,Entre Douro e Minho,Baixo Minho,41.59736625,-8.297210149506228
2012,BL11213,Florestal,Viseu,Oliveira de Frades,Destriz,PISCOS (Pisco),181003,186944,411542,2012-01-11,13:50:00,2012-01-11,17:38:00,2012-01-11,14:02:00,Populares,PT12050703,0.3,0.0,0.0,0.3,0.3,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Litoral,Dão Lafões,40.6508584,-8.2820723
2012,DM3129,Florestal,Viana do Castelo,Ponte de Lima,Friastelas,Torre,160724,169832,533315,2012-01-12,16:24:00,2012-01-12,18:08:00,2012-01-12,16:30:00,Populares,PT11010724,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,Entre Douro e Minho,Alto Minho,41.6758414,-8.5761898
2012,BL31227,Florestal,Aveiro,Albergaria-a-Velha,Angeja,ANGEJA,10203,164189,412358,2012-01-13,14:54:00,2012-01-13,16:40:00,2012-01-13,15:10:00,Populares,PT12010203,0.0,0.3,0.0,0.3,0.3,0,0,0,1,0,0,,,6.0,Desconhecida,Beira Litoral,Centro Litoral,40.6796594,-8.557070735291884
2012,RO31211,Florestal,Setúbal,Moita,Moita,R. POÇO NOVO (MOITA),150603,125163,187721,2012-01-23,19:46:00,2012-01-23,20:16:00,2012-01-23,19:53:00,Populares,PT13030403,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,AML,38.6402642,-8.972055868357723
2012,DM21227,Florestal,Porto,Paços de Ferreira,Ferreira,RUA DE GILDE (Rua do Comércio),130905,182186,479668,2012-01-25,23:00:00,2012-01-26,00:08:00,2012-01-25,23:09:00,Populares,PT11051105,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.2869948,-8.3416486
2012,BL11234,Florestal,Viseu,Lamego,Penude,Penude de Baixo,180517,224064,457563,2012-01-29,17:40:00,2012-01-29,23:50:00,2012-01-29,18:08:00,Populares,PT11070517,0.0,8.0,0.0,8.0,8.0,0,0,0,0,1,0,,,630.0,Desconhecida,Trás-os-Montes,Douro,41.0764376,-7.8520499
2012,BL312253,Florestal,Aveiro,Santa Maria da Feira,Louredo,Rua dos Curros (Rua do Lameirão),10912,166746,452073,2012-02-19,18:15:00,2012-02-19,22:25:00,2012-02-19,18:32:00,Populares,PT11060212,0.0,0.93,0.0,0.93,0.93,0,0,0,1,0,0,,,6.0,Desconhecida,Entre Douro e Minho,AMP e Entre Douro e Vouga,40.9799889,-8.4600169
2012,DM212305,Florestal,Porto,Santo Tirso,Santo Tirso,Varzea,131422,168162,486639,2012-02-19,19:00:00,2012-02-19,20:50:00,2012-02-19,19:05:00,Populares,PT11030422,0.0,0.1,0.0,0.1,0.1,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.3487298,-8.5119475
2012,RO212362,Florestal,Lisboa,Mafra,Igreja Nova,"Murtal (Largo da Fonte-Boa 1, 2640 Mafra, Portugal)",110908,95424,214770,2012-02-18,14:21:00,2012-02-18,18:00:00,2012-02-18,14:45:00,Outros,PT13010808,0.0,5.375,0.0,5.375,5.375,0,0,0,0,1,0,,,610.0,Desconhecida,Ribatejo e Oeste,AML,38.91323715,-9.328906889461573
2012,RO31284,Florestal,Setúbal,Moita,Moita,TRASEIRAS DA RUA LUIS RIBEIRO (GAIO-ROSÁRIO),150603,124152,189919,2012-02-18,04:43:00,2012-02-18,05:05:00,2012-02-18,04:50:00,Populares,PT13030403,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,AML,38.6750518,-9.0064524
2012,BL412211,Florestal,Leiria,Peniche,Serra DEl Rei,CEZAREDA,101405,103040,261636,2012-02-23,17:16:00,2012-02-23,18:35:00,2012-02-23,17:30:00,117,PT13011105,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,Oeste,39.332275550000006,-9.270018759601571
2012,AG11224,Florestal,Faro,Silves,São Bartolomeu de Messines,Sitio das Passadeiras (SENTIEIRAS),81305,180514,20971,2012-01-31,19:40:00,2012-01-31,20:25:00,2012-01-31,20:00:00,Populares,PT15011305,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,Algarve,Algarve,37.2560769,-8.2869009
2012,AG1128,Florestal,Faro,Alcoutim,Alcoutim,Quexoa (ALCOUTIM),80201,258495,56220,2012-01-10,14:00:00,2012-01-10,15:00:00,2012-01-10,14:10:00,Outros,PT15010201,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,,,,Algarve,Algarve,37.4700144,-7.4725535
2012,DM41218,Florestal,Braga,Fafe,Freitas,TRAVASSÔ (TRAVASSOS),30713,194407,502516,2012-01-25,17:04:00,2012-01-25,18:10:00,2012-01-25,17:26:00,117,PT11030113,0.2,0.3,0.0,0.5,0.5,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.5123302,-8.2096905
2012,DM21226,Florestal,Porto,Paços de Ferreira,Meixomil,RUA ANTONIO PALHITO (MEIXOMIL),130910,178876,479812,2012-01-25,19:05:00,2012-01-25,19:52:00,2012-01-25,19:10:00,Populares,PT11051110,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.29029805,-8.39087970179239
2012,BL11223,Florestal,Viseu,Castro Daire,Castro Daire,Santa Margarida,180304,215606,438284,2012-01-24,16:08:00,2012-01-24,17:20:00,2012-01-24,16:14:00,117,PT12050304,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Litoral,Dão Lafões,40.91465745,-7.920020147736607
2012,DM21230,Florestal,Porto,Felgueiras,Margaride Santa Eulália,IDANHAS (Idanha),130320,194065,487689,2012-01-28,14:40:00,2012-01-28,15:48:00,2012-01-28,14:47:00,Populares,PT11050720,0.0,0.015,0.0,0.015,0.015,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.3667229,-8.203496330346734
2012,TM11221,Florestal,Vila Real,Vila Real,Vilarinho de Samardã,Samardã,171430,236578,490115,2012-01-28,17:23:00,2012-01-28,18:40:00,2012-01-28,17:40:00,117,PT11071930,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,Trás-os-Montes,Douro,41.3960267,-7.7164444
2012,DM412238,Florestal,Braga,Terras de Bouro,Vilar da Veiga,ADEMEUS - PNPG (Ademeus),31017,196973,524054,2012-02-18,18:36:00,2012-02-18,22:25:00,2012-02-18,18:40:00,Outros,PT11020517,1.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,,PENEDA-GERÊS,711.0,Reacendimento,Entre Douro e Minho,Baixo Minho,41.70154,-8.1684698
2012,DM212308,Florestal,Porto,Felgueiras,Margaride Santa Eulália,RUA D MANUEL I (JUGUEIROS),130320,192952,492353,2012-02-19,15:38:00,2012-02-19,17:29:00,2012-02-19,15:42:00,Populares,PT11050720,0.0,0.18,0.0,0.18,0.18,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.3667229,-8.203496330346734
2012,DM212314,Florestal,Porto,Felgueiras,Sendim,Corvete,130324,192952,492353,2012-02-19,17:28:00,2012-02-19,22:34:00,2012-02-19,17:38:00,Populares,PT11050724,0.0,3.56,0.0,3.56,3.56,0,0,0,0,1,0,,,610.0,Desconhecida,Entre Douro e Minho,Tâmega,41.3977591,-8.1826516
2012,RO31214,Florestal,Setúbal,Palmela,Pinhal Novo,ESTR LAGOA DA PALHA (Estrada dos Espanhóis),150803,144879,181669,2012-01-26,17:33:00,2012-01-26,18:08:00,2012-01-26,17:41:00,117,PT13030603,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,Ribatejo e Oeste,AML,38.630096,-8.9128319
2012,RO11224,Florestal,Santarém,Santarém,Alcanede,Mata do Rei,141604,136415,274040,2012-01-26,15:36:00,2012-01-26,17:48:00,2012-01-26,15:56:00,Outros,PT13051104,0.0,1.157,0.0,1.157,1.157,0,0,0,0,1,0,,SERRAS DE AIRE E CANDEEIROS,610.0,Desconhecida,Ribatejo e Oeste,Ribatejo,39.4319465,-8.8715032
2012,BL112514,Florestal,Viseu,Viseu,Rio de Loba,CUDEÇAL - TRAVASSÓS DE CIMA (Cavernães de Cima),182323,224915,415957,2012-02-23,13:33:00,2012-02-23,16:05:00,2012-02-23,13:39:00,Populares,PT12051423,1.2,0.5,0.0,1.7,1.7,0,0,0,0,1,0,São Salvador,,630.0,Desconhecida,Beira Litoral,Dão Lafões,40.6644487,-7.8781043
2012,RO212414,Florestal,Lisboa,Cascais,São Domingos de Rana,Quinta da Estribeira - Talaide,110506,95263,192552,2012-02-23,18:53:00,2012-02-23,21:40:00,2012-02-23,19:12:00,Outros,PT13020206,0.0,0.7654,0.0,0.7654,0.7654,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,AML,38.7015666,-9.3417434
2012,DM212481,Florestal,Porto,Vila Nova de Gaia,Vilar de Andorinho,PÇ. CAVADAS (Praceta das Cavadas),131723,162439,459648,2012-02-23,14:50:00,2012-02-23,16:12:00,2012-02-23,14:51:00,Populares,PT11040923,0.005,0.0,0.0,0.005,0.005,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.1032455,-8.5767749
2012,BL112520,Florestal,Viseu,Resende,Ovadas,Granja,181308,214488,459128,2012-02-23,15:00:00,2012-02-23,18:24:00,2012-02-23,16:05:00,Populares,PT11051408,0.0,1.12,0.0,1.12,1.12,0,0,0,0,1,0,,,630.0,Desconhecida,Entre Douro e Minho,Tâmega,41.0466413,-7.9570837
2012,AG11242,Florestal,Faro,Faro,Estói,Murta,80502,223540,17344,2012-02-05,14:14:00,2012-02-05,16:24:00,2012-02-05,14:50:00,Outros,PT15010502,0.0,0.0005,0.0,0.0005,0.0005,0,0,0,1,0,0,,,6.0,Desconhecida,Algarve,Algarve,37.0946236,-7.8949592
