year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2008,2008-05-30,Faro,Olhão,Olhão,Bias do Sul,37.0510593,-7.7723222,NC,27.0,2008-05-30T10:00,18.2,62,10.7,17.7,0.0,0.0,0.0,0.0,1,1013.9,1010.7,46,26,35,4,0.36,0.8,7.1,9.2,319,318,20.9,20.1,18.0,18.0,17.1,0.258,0.254,0.287,0.233,1,3600.0,668.2,466.1,202.1,572.1,668.2,1084.5,615.0,429.0,186.0,572.1,615.0,998.1
2008,2008-06-11,Faro,Olhão,Olhão,Quinta das Ancoras (Poço da Quinta),37.0270369,-7.8411287,NC,9.0,2008-06-11T16:00,24.0,61,15.9,24.0,0.0,0.0,0.0,0.0,0,1016.5,1015.4,19,0,32,0,0.36,1.18,14.1,17.9,212,214,31.0,29.3,23.8,20.5,17.4,0.13,0.236,0.297,0.289,1,3600.0,458.9,237.6,221.3,346.3,458.9,910.3,506.0,262.0,244.0,346.3,506.0,1003.8
2008,2008-06-29,Faro,Silves,Algoz,Lamijo,37.1669,-8.3171225,NC,29.0,2008-06-29T23:00,24.8,44,11.7,23.7,0.0,0.0,0.0,0.0,1,1017.0,1013.6,28,0,0,94,0.09,1.75,10.5,19.5,352,357,19.1,27.0,29.4,24.3,18.4,0.102,0.153,0.21,0.187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2008-06-30,Faro,Albufeira,Albufeira,Encosta da Marina (Beco da Encosta),37.1286937,-8.2330185,NC,82.0,2008-06-30T00:00,23.9,45,11.2,22.6,0.0,0.0,0.0,0.0,1,1016.8,1007.3,27,0,0,90,0.09,1.63,10.8,20.9,356,1,20.2,25.9,28.9,24.0,18.0,0.102,0.153,0.21,0.187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2008-06-01,Faro,Faro,Santa Bárbara de Nexe,CALIÇOS,37.08975615,-7.982207373676352,NC,48.0,2008-06-01T11:00,19.7,60,11.7,18.8,0.0,0.0,0.0,0.0,3,1017.1,1011.4,100,100,58,0,0.4,0.92,14.0,18.1,314,316,31.3,22.0,18.2,17.9,16.9,0.204,0.215,0.262,0.203,1,3600.0,710.7,421.6,289.1,463.2,710.7,1210.8,676.0,401.0,275.0,463.2,676.0,1151.6
2008,2008-06-02,Faro,Monchique,Monchique,Est.dos Casais - Portela Baixa (MONCHIQUE),37.32900695,-8.583798293167828,NC,718.0,2008-06-02T15:00,17.7,50,7.2,14.5,0.0,0.0,0.0,0.0,2,1019.0,937.2,73,78,5,0,0.35,1.01,16.8,22.3,329,329,36.7,20.5,15.3,13.8,12.7,0.206,0.227,0.234,0.173,1,3600.0,524.5,226.0,298.5,276.1,524.5,1088.4,557.0,240.0,317.0,276.1,557.0,1155.9
2008,2008-06-11,Faro,Vila Real de Santo António,Monte Gordo,MONTE GORDO,37.1900465,-7.4483427,NC,0.0,2008-06-11T20:00,23.6,58,14.9,23.8,0.0,0.0,0.0,0.0,0,1015.7,1015.7,0,0,0,0,0.08,1.23,10.1,19.2,243,253,20.5,25.6,24.8,21.1,17.6,0.059,0.081,0.132,0.103,0,365.82,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,14.0,94.1,24.0,82.3
2008,2008-06-27,Faro,Castro Marim,Castro Marim,Monte Francisco,37.2350544,-7.4535364,NC,18.0,2008-06-27T22:00,30.1,37,13.7,29.2,0.0,0.0,0.0,0.0,0,1016.3,1014.2,0,0,0,0,0.16,2.69,14.2,27.4,333,337,24.8,29.9,29.7,23.8,18.7,0.138,0.196,0.253,0.241,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2008-06-25,Faro,Faro,Faro (são Pedro),Arneiro,37.060356,-7.9662117,NC,18.0,2008-06-25T15:00,29.4,46,16.6,32.4,0.0,0.0,0.0,0.0,0,1013.5,1011.4,0,0,0,0,0.65,2.2,8.6,10.1,178,176,27.0,36.5,26.8,22.9,18.4,0.101,0.16,0.224,0.202,1,3600.0,836.7,724.5,112.3,874.0,836.7,1097.2,887.0,768.0,119.0,874.0,887.0,1163.2
2008,2008-06-28,Faro,Silves,São Marcos da Serra,Vale Turiz (Alvaledes),37.360692,-8.3769927,NC,113.0,2008-06-28T09:00,29.0,49,17.2,30.3,0.0,0.0,0.0,0.0,0,1017.2,1004.3,0,0,0,0,0.41,2.05,8.7,10.7,142,140,22.0,30.9,27.3,23.6,17.8,0.131,0.154,0.19,0.176,1,3600.0,619.0,506.2,112.9,758.9,619.0,882.6,543.0,444.0,99.0,758.9,543.0,774.2
