year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2010,2010-06-05,Aveiro,Santa Maria da Feira,Romariz,Carvalhal ( Rua do Espadanal),40.9623033,-8.4383638,NC,216.0,2010-06-05T18:00,18.5,75,14.0,17.2,0.0,0.0,0.0,0.0,2,1019.2,993.8,69,48,0,87,0.19,0.53,18.0,23.6,307,308,37.8,23.1,20.9,17.8,13.5,0.166,0.242,0.317,0.386,1,3600.0,256.1,147.6,108.5,421.7,256.1,465.0,321.0,185.0,136.0,421.7,321.0,582.9
2010,2010-04-11,Braga,VIZELA,Caldas De Vizela (são João),PARADELA (S. JOAO) (São João),41.3660355,-8.314106448896961,NC,186.0,2010-04-11T11:00,20.6,44,8.0,19.8,0.0,0.0,0.0,0.0,0,1011.9,990.3,0,0,0,0,0.48,1.35,10.0,13.1,75,74,30.2,17.5,12.4,11.0,10.0,0.33,0.354,0.391,0.42,1,3600.0,821.2,719.1,102.1,926.3,821.2,1058.0,772.0,676.0,96.0,926.3,772.0,994.6
2010,2010-06-21,Porto,Paredes,Duas Igrejas,Vale,41.230974,-8.3772602,Desconhecida,332.0,2010-06-21T17:00,24.8,34,8.0,23.7,0.0,0.0,0.0,0.0,0,1016.5,978.7,0,0,0,0,0.41,2.06,5.9,6.9,313,321,13.7,25.1,19.3,16.0,13.1,0.196,0.274,0.311,0.376,1,3600.0,520.9,438.0,82.9,810.0,520.9,716.2,597.0,502.0,95.0,810.0,597.0,820.8
2010,2010-03-17,Vila Real,Alijó,Vilar de Maçada,Franselos (Francelos),41.326435,-7.489572,NC,780.0,2010-03-17T18:00,12.7,51,2.8,10.1,0.0,0.0,0.0,0.0,1,1020.9,930.8,30,0,0,100,0.08,0.72,6.8,13.7,177,175,24.5,10.5,7.3,5.5,7.4,0.351,0.363,0.388,0.418,1,0.0,47.3,0.0,47.3,0.0,47.3,156.0,87.0,0.0,87.0,0.0,87.0,287.2
2010,2010-01-29,Vila Real,Valpaços,Carrazedo de Montenegro,Argemil,41.56821365,-7.425471011792769,NC,762.0,2010-01-29T18:00,5.4,79,2.1,2.1,0.0,0.0,0.0,0.0,2,1011.9,922.4,65,64,12,0,0.02,0.19,10.8,21.1,323,327,37.4,4.5,3.7,6.1,9.8,0.38,0.383,0.4,0.382,0,242.83,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,8.0,100.2,17.0,66.1
2010,2010-03-17,Porto,Paços de Ferreira,Ferreira,LUG. QUINTELA (FERREIRA),41.2663712,-8.3445627,NC,331.0,2010-03-17T19:00,12.7,76,8.5,11.7,0.0,0.0,0.0,0.0,1,1021.2,981.7,33,3,0,100,0.02,0.36,4.0,5.1,280,262,14.4,11.1,9.6,7.8,9.0,0.326,0.349,0.381,0.417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,14.0,75.2
2010,2010-04-11,Braga,VIZELA,Caldas De Vizela (são João),VILAR (VIZELA S. JOÃO) (Entrevilar),41.3660355,-8.314106448896961,NC,186.0,2010-04-11T15:00,23.0,37,7.7,22.8,0.0,0.0,0.0,0.0,0,1008.9,987.5,0,0,0,0,0.51,1.75,6.6,8.4,45,47,25.2,20.8,14.0,11.0,10.0,0.319,0.351,0.39,0.42,1,3600.0,730.9,641.4,89.5,923.0,730.9,947.0,784.0,688.0,96.0,923.0,784.0,1015.7
2010,2010-05-05,Braga,Vila Verde,Valdreu,CABANINHAS(VALDREU) (Cabaninhas),41.7263368,-8.316646445788313,Desconhecida,254.0,2010-05-05T01:00,5.2,75,1.1,1.3,0.0,0.0,0.0,0.0,0,1020.5,989.3,0,0,0,0,0.02,0.22,13.4,27.2,27,32,41.8,8.3,12.4,13.5,10.8,0.27,0.31,0.353,0.404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2010-02-11,Bragança,Macedo de Cavaleiros,Cortiços,Cernadela,41.517495,-7.0218345,NC,492.0,2010-02-11T17:00,6.6,46,-4.1,3.2,0.0,0.0,0.0,0.0,0,1013.5,954.7,5,6,0,0,0.08,0.52,4.3,7.6,318,329,16.9,6.6,4.9,7.4,10.4,0.371,0.371,0.378,0.341,1,3600.0,123.6,79.8,43.8,516.3,123.6,217.0,189.0,122.0,67.0,516.3,189.0,331.9
2010,2010-07-15,Braga,Póvoa de Lanhoso,Travassos,CASTANHEIRA (TRAVASSOS) (Castanheira),41.57569275,-8.202529903910126,NC,282.0,2010-07-15T14:00,21.9,48,10.5,22.6,0.0,0.0,0.0,0.0,0,1018.1,985.5,0,0,0,0,0.59,1.35,11.3,14.2,277,277,32.0,27.9,20.8,20.5,15.7,0.127,0.178,0.268,0.359,1,3600.0,920.5,811.4,109.1,905.4,920.5,1186.3,945.0,833.0,112.0,905.4,945.0,1217.9
