ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2005,BI1051147,Florestal,Guarda,Vila Nova de Foz Côa,Touça,Serra da Touca,91416,275565.0,453242.0,2005-08-25,14:45:00,2005-08-25,18:00:00,,,PV,PT11071816,0.0,3.0,0.0,3.0,3.0,0,0,0,0,1,0,,,,,41.0472072,-7.2343843
2005,BL1052539,Florestal,Viseu,Mangualde,Mangualde,Santa Luzia,180610,229513.0,402131.0,2005-08-06,08:30:00,2005-08-06,17:15:00,2005-08-06,08:42:00,Populares,PT12050410,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,40.5876571,-7.7846306
2005,BL1054100,Florestal,Viseu,Cinfães,Tendais,Meridãos,180416,206351.0,449558.0,2005-10-03,11:45:00,2005-10-03,22:20:00,2005-10-03,11:56:00,Populares,PT11050616,0.0,5.0,0.0,5.0,5.0,0,0,0,0,1,0,,,,,41.0125776,-8.051263077789546
2005,BL1054095,Florestal,Viseu,Cinfães,Tendais,TENDAIS,180416,206920.0,449330.0,2005-10-03,08:48:00,2005-10-03,21:45:00,2005-10-03,11:30:00,PV,PT11050616,5.5,0.0,0.0,5.5,5.5,0,0,0,0,1,0,,,,,41.0125776,-8.051263077789546
2005,BL3054496,Florestal,Aveiro,Castelo de Paiva,Pedorido,Póvoa,10604,178547.0,452373.0,2005-09-27,07:05:00,2005-09-27,14:45:00,,,Populares,PT11050404,0.0,0.7,0.0,0.7,0.7,0,0,0,1,0,0,,,,,41.0391345,-8.390774868553063
2005,BL4051296,Florestal,Leiria,Leiria,Santa Catarina da Serra,Casal da Fonte da Pedra,100922,155753.0,300556.0,2005-09-10,08:56:00,2005-09-10,09:40:00,,,Populares,PT12030222,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,39.6710831,-8.6503218
2005,DM4052244,Florestal,Braga,Fafe,Fafe,FONTE DA CANA,30709,196887.0,498468.0,2005-07-07,13:13:00,2005-07-07,14:15:00,2005-07-07,13:25:00,Particular,PT11030109,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.4468733,-8.180584376446348
2005,DM4052367,Florestal,Braga,Vila Nova de Famalicão,Lousado,RUA CONEGO BORGES,31224,166130.0,486834.0,2005-07-09,16:05:00,2005-07-09,16:50:00,2005-07-09,16:17:00,117,PT11030624,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,41.3552648,-8.5367566
2005,DM4052028,Florestal,Braga,Celorico de Basto,Corgo,Vila Nova,30509,211677.0,497149.0,2005-06-23,18:10:00,2005-06-23,21:20:00,2005-06-23,18:20:00,117,PT11050509,1.0,2.0,0.0,3.0,3.0,0,0,0,0,1,0,,,,,41.4338033,-7.9786441
2005,DM4055245,Florestal,Braga,Fafe,São Gens,Vilela,30728,200484.0,493986.0,2005-09-22,06:26:00,2005-09-22,07:50:00,2005-09-22,06:45:00,117,PT11030128,0.02,0.0,0.0,0.02,0.02,0,0,0,1,0,0,,,,,41.462056200000006,-8.130801614145298
2005,RO2052607,Florestal,Lisboa,Sintra,São João das Lampas,AMOREIRA,111110,91309.0,213575.0,2005-07-26,17:14:00,2005-07-26,21:25:00,,,Populares,PT13020610,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,,,38.83363195,-9.367501448128994
2005,RO2052598,Florestal,Lisboa,Sintra,São João das Lampas,AMOREIRA,111110,91309.0,213575.0,2005-07-26,07:29:00,2005-07-26,09:50:00,,,CCO,PT13020610,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,38.83363195,-9.367501448128994
2005,RO2052596,Florestal,Lisboa,Sintra,São João das Lampas,AMOREIRA JTO DEPOSITO AGUA,111110,91309.0,213575.0,2005-07-26,03:35:00,2005-07-26,04:40:00,,,CCO,PT13020610,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,38.83363195,-9.367501448128994
2005,RO2052605,Florestal,Lisboa,Sintra,São João das Lampas,AMOREIRA,111110,91309.0,213575.0,2005-07-26,10:54:00,2005-07-26,14:00:00,,,Populares,PT13020610,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,38.83363195,-9.367501448128994
2005,RO2052670,Florestal,Lisboa,Vila Franca de Xira,Forte da Casa,EN-10 (JNT ABP),111411,119781.0,212192.0,2005-07-31,11:35:00,2005-07-31,12:30:00,,,Outros,PT13020711,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.8727839,-9.0593162
2005,RO205300,Florestal,Lisboa,Azambuja,Alcoentre,TAGARRO,110301,126477.0,251720.0,2005-02-01,21:10:00,2005-02-01,22:00:00,,,Populares,PT13050301,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,39.2078257,-8.9572359
2005,RO2052611,Florestal,Lisboa,Sintra,São João das Lampas,AMOREIRA,111110,91309.0,213575.0,2005-07-26,23:34:00,2005-07-27,01:15:00,,,Populares,PT13020610,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.83363195,-9.367501448128994
