hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,region,Fire
2015-06-20T00:00,20.2,59,11.9,19.3,0.0,0.0,0.0,0.0,0,1017.3,952.4,0,0,0,0,0.05,0.97,10.2,23.3,32,51,21.6,18.9,22.4,18.4,14.6,0.151,0.222,0.26,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-06-20T01:00,19.4,62,11.9,18.5,0.0,0.0,0.0,0.0,0,1017.4,952.3,0,0,0,0,0.04,0.86,10.0,22.4,30,48,21.2,18.1,22.1,18.4,14.6,0.151,0.222,0.26,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-06-20T02:00,18.5,65,11.9,17.5,0.0,0.0,0.0,0.0,0,1017.1,951.8,0,0,0,0,0.04,0.74,10.8,23.3,21,39,21.6,17.5,21.8,18.4,14.6,0.151,0.222,0.26,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-06-20T03:00,18.0,66,11.6,16.8,0.0,0.0,0.0,0.0,0,1017.2,951.8,0,0,0,0,0.04,0.69,11.6,25.2,16,34,23.4,16.9,21.5,18.4,14.6,0.151,0.222,0.26,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-06-20T04:00,17.5,67,11.4,16.1,0.0,0.0,0.0,0.0,0,1017.5,952.0,0,0,0,0,0.04,0.65,12.2,26.3,14,30,24.1,16.4,21.2,18.4,14.6,0.151,0.222,0.26,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-06-20T05:00,16.9,69,11.1,15.5,0.0,0.0,0.0,0.0,0,1017.8,952.1,0,0,0,0,0.04,0.6,12.0,25.3,16,30,24.1,15.9,20.9,18.4,14.6,0.151,0.222,0.26,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-06-20T06:00,17.0,69,11.3,15.6,0.0,0.0,0.0,0.0,0,1018.3,952.6,0,0,0,0,0.05,0.6,12.5,24.2,18,30,23.8,16.1,20.6,18.4,14.6,0.151,0.222,0.26,0.353,1832.0,45.0,25.0,20.0,211.5,45.0,99.0,98.8,54.9,43.9,334.4,62.5,217.5,0,0
2015-06-20T07:00,20.0,54,10.5,18.3,0.0,0.0,0.0,0.0,0,1018.7,953.6,0,0,0,0,0.16,1.07,12.6,20.5,24,31,27.4,18.1,20.4,18.4,14.6,0.151,0.222,0.26,0.353,3600.0,204.0,147.0,57.0,575.0,204.0,338.6,277.0,199.6,77.4,575.0,277.0,459.9,0,0
2015-06-20T08:00,22.9,43,9.5,21.1,0.0,0.0,0.0,0.0,0,1018.8,954.3,0,0,0,0,0.29,1.6,11.3,15.6,31,34,27.4,21.0,20.4,18.4,14.6,0.151,0.222,0.259,0.353,3600.0,399.0,321.0,78.0,735.2,399.0,578.3,478.9,385.3,93.6,735.2,478.9,694.1,0,0
2015-06-20T09:00,25.3,35,8.7,23.7,0.0,0.0,0.0,0.0,0,1018.6,954.6,0,0,0,0,0.43,2.09,9.9,12.5,44,46,26.6,23.7,20.5,18.4,14.6,0.149,0.222,0.259,0.353,3600.0,592.0,501.0,91.0,827.7,592.0,801.8,667.6,565.0,102.6,827.7,667.6,904.2,0,0
2015-06-20T10:00,27.3,31,8.8,26.9,0.0,0.0,0.0,0.0,0,1018.3,954.8,0,0,0,0,0.56,2.49,8.9,11.3,50,53,24.8,26.4,20.8,18.4,14.7,0.148,0.221,0.259,0.353,3600.0,763.0,661.0,102.0,881.1,763.0,993.7,826.0,715.6,110.4,881.1,826.0,1075.8,0,0
2015-06-20T11:00,28.9,28,8.8,29.5,0.0,0.0,0.0,0.0,0,1017.8,954.6,0,0,0,0,0.66,2.84,7.8,9.5,56,61,23.8,28.7,21.2,18.4,14.7,0.145,0.221,0.259,0.353,3600.0,894.0,786.0,108.0,912.4,894.0,1141.1,938.0,824.7,113.3,912.4,938.0,1197.2,0,0
2015-06-20T12:00,30.1,26,8.5,31.6,0.0,0.0,0.0,0.0,0,1017.5,954.6,0,0,0,0,0.73,3.16,5.7,7.3,55,57,21.6,30.7,21.6,18.4,14.7,0.142,0.221,0.259,0.352,3600.0,976.0,864.0,112.0,927.5,976.0,1233.9,996.9,882.5,114.4,927.5,996.9,1260.3,0,0
2015-06-20T13:00,31.1,24,8.0,32.7,0.0,0.0,0.0,0.0,0,1016.9,954.2,0,0,0,0,0.75,3.45,5.1,6.4,45,47,19.4,32.2,22.1,18.4,14.7,0.139,0.22,0.259,0.352,3600.0,1003.0,890.0,113.0,931.4,1003.0,1265.7,998.9,886.4,112.5,931.4,998.9,1260.6,0,0
2015-06-20T14:00,31.7,22,7.6,33.1,0.0,0.0,0.0,0.0,0,1016.3,953.8,0,0,0,0,0.73,3.64,4.5,5.5,29,32,18.4,33.2,22.6,18.5,14.7,0.136,0.22,0.259,0.352,3600.0,973.0,861.0,112.0,923.8,973.0,1234.5,944.4,835.7,108.7,923.8,944.4,1198.1,0,0
2015-06-20T15:00,32.1,21,7.2,32.8,0.0,0.0,0.0,0.0,0,1016.1,953.7,0,0,0,0,0.67,3.77,4.9,5.7,17,18,16.9,33.6,23.0,18.5,14.7,0.134,0.219,0.258,0.352,3600.0,889.0,781.0,108.0,905.6,889.0,1142.3,838.4,736.5,101.8,905.6,838.4,1077.2,0,0
2015-06-20T16:00,32.3,21,6.9,32.1,0.0,0.0,0.0,0.0,0,1015.5,953.1,0,0,0,0,0.57,3.85,5.1,6.2,8,10,16.2,33.5,23.5,18.5,14.7,0.132,0.219,0.258,0.352,3600.0,756.0,655.0,101.0,871.6,756.0,995.4,688.2,596.2,91.9,871.6,688.2,906.1,0,0
