latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix
40.175747,-7.1949463,570.0,2015-06-20T13:00,31.1,24,8.0,32.7,0.0,0.0,0.0,0.0,0,1016.9,954.2,0,0,0,0,0.75,3.45,5.1,6.4,45,47,19.4,32.2,22.1,18.4,14.7,0.139,0.22,0.259,0.352,1,3600.0,1003.0,890.0,113.0,931.4,1003.0,1265.7,998.9,886.4,112.5,931.4,998.9,1260.6,31.58261394630954
40.175747,-7.1949463,570.0,2015-06-20T14:00,31.7,22,7.6,33.1,0.0,0.0,0.0,0.0,0,1016.3,953.8,0,0,0,0,0.73,3.64,4.5,5.5,29,32,18.4,33.2,22.6,18.5,14.7,0.136,0.22,0.259,0.352,1,3600.0,973.0,861.0,112.0,923.8,973.0,1234.5,944.4,835.7,108.7,923.8,944.4,1198.1,33.285639577764655
40.175747,-7.1949463,570.0,2015-06-20T15:00,32.1,21,7.2,32.8,0.0,0.0,0.0,0.0,0,1016.1,953.7,0,0,0,0,0.67,3.77,4.9,5.7,17,18,16.9,33.6,23.0,18.5,14.7,0.134,0.219,0.258,0.352,1,3600.0,889.0,781.0,108.0,905.6,889.0,1142.3,838.4,736.5,101.8,905.6,838.4,1077.2,35.66377444463684
40.175747,-7.1949463,570.0,2015-06-20T16:00,32.3,21,6.9,32.1,0.0,0.0,0.0,0.0,0,1015.5,953.1,0,0,0,0,0.57,3.85,5.1,6.2,8,10,16.2,33.5,23.5,18.5,14.7,0.132,0.219,0.258,0.352,1,3600.0,756.0,655.0,101.0,871.6,756.0,995.4,688.2,596.2,91.9,871.6,688.2,906.1,36.971046523529765
40.175747,-7.1949463,570.0,2015-06-20T17:00,32.2,20,6.5,30.7,0.0,0.0,0.0,0.0,0,1015.5,953.1,0,0,0,0,0.45,3.84,5.8,6.9,4,6,15.8,32.6,23.8,18.5,14.7,0.13,0.218,0.258,0.352,1,3600.0,587.0,496.0,91.0,817.3,587.0,803.9,508.5,429.6,78.8,817.3,508.5,696.3,39.30508333228223
40.175747,-7.1949463,570.0,2015-06-20T18:00,31.8,20,6.3,30.0,0.0,0.0,0.0,0.0,0,1015.0,952.6,0,0,0,0,0.32,3.75,6.2,8.0,7,10,15.1,31.1,24.1,18.5,14.7,0.128,0.218,0.258,0.352,1,3600.0,397.0,320.0,77.0,729.9,397.0,580.7,316.0,254.7,61.3,729.9,316.0,462.3,40.72087047534241
40.175747,-7.1949463,570.0,2015-06-20T19:00,30.9,22,6.8,29.4,0.0,0.0,0.0,0.0,0,1015.3,952.7,0,0,0,0,0.17,3.48,4.7,11.0,9,11,15.1,29.1,24.2,18.6,14.7,0.128,0.218,0.258,0.352,1,3600.0,205.0,148.0,57.0,574.6,205.0,341.1,132.2,95.4,36.7,574.6,132.2,219.9,39.53726900003939
40.175747,-7.1949463,570.0,2015-06-20T20:00,28.2,46,15.5,28.7,0.0,0.0,0.0,0.0,0,1015.5,952.3,0,0,0,0,0.09,2.06,9.1,12.8,7,16,12.6,26.5,24.2,18.6,14.7,0.127,0.218,0.258,0.352,1,1869.68,47.0,27.0,20.0,226.6,47.0,101.5,0.0,0.0,0.0,0.0,0.0,0.0,32.86435587660467
40.175747,-7.1949463,570.0,2015-06-20T21:00,25.4,48,13.6,25.3,0.0,0.0,0.0,0.0,0,1016.1,952.3,0,0,0,0,0.07,1.69,8.8,14.8,9,23,15.1,23.9,24.1,18.6,14.7,0.127,0.218,0.258,0.352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.106061347974222
40.175747,-7.1949463,570.0,2015-06-20T22:00,23.2,49,11.9,22.3,0.0,0.0,0.0,0.0,0,1016.8,952.5,0,0,0,0,0.07,1.45,10.0,17.9,21,38,17.6,22.0,23.9,18.6,14.7,0.127,0.218,0.258,0.352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.618336303597072
