year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2001,2001-07-31,Castelo Branco,Fundão,Pêro Viseu,Vales de Pero Viseu,40.2071956,-7.4443594,Natural,509.0,2001-07-31T19:00,28.9,49,17.0,30.9,0.0,0.0,0.0,0.0,0,1013.7,957.3,6,0,8,5,0.11,2.04,3.1,6.6,225,221,22.0,27.7,25.9,22.8,18.4,0.234,0.159,0.213,0.344,1,3600.0,87.0,58.6,28.4,468.5,87.0,165.9,153.0,103.0,50.0,468.5,153.0,291.9,Tracheophyta; Pinales; Pinus pinaster Aiton; Olea europaea L.; Magnoliopsida
2001,2001-08-25,Castelo Branco,Fundão,Souto da Casa,SOUTO DA CASA,40.0841112,-7.5792867,Natural,615.0,2001-08-25T03:00,25.6,36,9.3,23.9,0.0,0.0,0.0,0.0,2,1011.5,943.2,57,0,51,87,0.1,2.11,10.5,21.9,128,139,35.3,23.5,26.7,23.4,20.0,0.092,0.148,0.198,0.328,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Magnoliopsida; Olea europaea L.; Tracheophyta; Eucalyptus L'Hér.; Quercus L.; Pinales; Quercus suber L.; 
2010,2010-08-31,Castelo Branco,Fundão,Alcaide,ALCAIDE,40.1338233,-7.44879207936232,Natural,489.0,2010-08-31T19:00,28.5,39,13.3,29.1,0.0,0.0,0.0,0.0,1,1008.5,954.4,36,0,32,55,0.06,2.36,3.3,8.0,167,175,23.4,29.4,29.0,25.5,21.6,0.126,0.156,0.209,0.338,1,1379.01,0.0,0.0,0.0,0.0,0.0,0.0,40.0,18.0,22.0,135.2,40.0,127.1,Pinus pinaster Aiton; Magnoliopsida; Tracheophyta; Quercus L.; Eucalyptus L'Hér.; Pinales; Olea europaea L.; 
2010,2010-08-31,Castelo Branco,Fundão,Escarigo,Nave REdonda,40.255357700000005,-7.2908573911856385,Natural,545.0,2010-08-31T18:00,28.1,43,14.5,28.0,0.4,0.4,0.0,0.0,51,1008.9,948.8,28,0,10,72,0.16,2.15,10.5,14.2,207,207,20.5,30.1,27.9,24.5,20.7,0.121,0.155,0.208,0.338,1,0.0,49.2,2.0,47.2,10.5,49.2,256.0,74.0,3.0,71.0,10.5,74.0,385.4,Magnoliopsida; Tracheophyta; Pinus pinaster Aiton; Olea europaea L.; Quercus L.
2011,2011-08-21,Castelo Branco,Fundão,Vale de Prazeres,Chão da Serra,40.1106704,-7.4310164,Natural,534.0,2011-08-21T19:00,19.6,82,16.4,21.5,0.0,0.0,0.0,0.0,1,1015.5,954.5,35,18,19,25,0.04,0.42,2.3,3.0,72,76,13.0,23.2,26.4,24.8,20.4,0.22,0.158,0.211,0.334,1,1743.8,18.2,6.4,11.8,73.3,16.6,61.2,57.0,20.0,37.0,127.4,57.0,191.8,Eucalyptus L'Hér.; Tracheophyta; Olea europaea L.; Pinus pinaster Aiton; Magnoliopsida; Quercus suber L.; Quercus L.; Vitis vinifera L.; 
2013,2013-09-05,Castelo Branco,Fundão,Fatela,Quinta da Quintã - Fatela,40.1544400000572,-7.43082999971178,Natural,457.0,2013-09-05T00:00,23.5,48,11.7,22.6,0.2,0.2,0.0,0.0,51,1012.7,961.0,42,0,55,31,0.07,1.51,9.9,17.1,316,319,20.5,23.9,28.0,25.4,21.5,0.098,0.151,0.191,0.325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Magnoliopsida; Olea europaea L.; Tracheophyta; Pinales; Vitis vinifera L.; Eucalyptus L'Hér.; Pinus pinaster Aiton; Quercus suber L.; 
2014,2014-07-02,Castelo Branco,Fundão,Souto da Casa,Vale de Urso,40.082654999627,-7.57436699973212,Natural,658.0,2014-07-02T16:00,20.4,49,9.3,18.2,0.0,0.0,0.0,0.0,3,1015.5,941.2,87,41,65,38,0.35,1.23,13.9,19.1,10,11,42.1,24.3,19.5,18.1,14.8,0.182,0.239,0.3,0.397,1,3600.0,452.5,292.0,160.6,421.9,452.5,915.7,496.0,320.0,176.0,421.9,496.0,1003.7,Pinus pinaster Aiton; Magnoliopsida; Olea europaea L.; Tracheophyta; Eucalyptus L'Hér.; Quercus L.; Pinales; Quercus suber L.; 
2015,2015-06-06,Castelo Branco,Fundão,Barroca,Povoada/Vale Varredora,40.1176319999827,-7.7096100001865,Natural,462.0,2015-06-06T11:00,30.8,21,5.8,30.3,0.0,0.0,0.0,0.0,0,1017.6,966.3,0,0,0,0,0.67,3.51,8.9,11.2,111,111,27.7,34.6,25.3,21.0,14.4,0.089,0.184,0.257,0.347,1,3600.0,908.7,795.4,113.3,882.9,908.7,1196.9,866.0,758.0,108.0,882.9,866.0,1140.6,Magnoliopsida; Pinus pinaster Aiton; Tracheophyta; Olea europaea L.; Eucalyptus L'Hér.; 
2015,2015-09-29,Castelo Branco,Fundão,Capinha,Nave Redonda,40.20875,-7.36260499954224,Natural,570.0,2015-09-29T16:00,20.8,55,11.3,20.3,0.8,0.8,0.0,0.0,53,1014.2,949.6,28,3,13,57,0.2,1.11,6.1,8.2,242,241,17.3,24.3,20.5,20.2,21.4,0.167,0.221,0.197,0.31,1,3600.0,244.9,147.3,97.6,361.4,244.9,555.7,291.0,175.0,116.0,361.4,291.0,660.2,Quercus suber L.; Magnoliopsida; Eucalyptus L'Hér.; Pinus pinaster Aiton; Tracheophyta; Olea europaea L.; Quercus L.; Vitis vinifera L.; Pinales; 
2016,2016-08-25,Castelo Branco,Fundão,Lavacolhos,Argemela,40.1498279995388,-7.60092499997881,Natural,620.0,2016-08-25T23:00,22.7,71,17.2,24.3,0.3,0.3,0.0,0.0,51,1014.4,944.8,52,0,39,94,0.01,0.79,5.9,9.6,313,340,16.6,25.9,29.4,25.3,20.8,0.098,0.149,0.206,0.344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Olea europaea L.; Magnoliopsida; Pinus pinaster Aiton; Pinales; Eucalyptus L'Hér.; Acacia Mill.; Tracheophyta; 
