ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2008,AG108109,Florestal,Faro,Olhão,Olhão,Bias do Sul,81003,231116,9405,2008-05-30,10:14:00,2008-05-30,12:40:00,2008-05-30,10:25:00,Populares,PT15011003,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,37.0510593,-7.7723222
2008,AG108125,Florestal,Faro,Olhão,Olhão,Quinta das Ancoras (Poço da Quinta),81003,229715,8315,2008-06-11,16:08:00,2008-06-11,16:40:00,2008-06-11,16:10:00,Populares,PT15011003,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.0270369,-7.8411287
2008,AG108139,Florestal,Faro,Silves,Algoz,Lamijo,81302,183788,22594,2008-06-29,23:25:00,2008-06-30,00:20:00,2008-06-29,23:40:00,Populares,PT15011302,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,37.1669,-8.3171225
2008,AG108140,Florestal,Faro,Albufeira,Albufeira,Encosta da Marina (Beco da Encosta),80101,189463,14206,2008-06-30,00:23:00,2008-06-30,01:00:00,2008-06-30,00:25:00,Outros,PT15010101,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,37.1286937,-8.2330185
2008,AG108107,Florestal,Faro,Faro,Santa Bárbara de Nexe,CALIÇOS,80503,220688,10500,2008-06-01,11:20:00,2008-06-01,12:25:00,2008-06-01,11:30:00,117,PT15010503,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.08975615,-7.982207373676352
2008,AG108110,Florestal,Faro,Monchique,Monchique,Est.dos Casais - Portela Baixa (MONCHIQUE),80903,162482,39303,2008-06-02,15:45:00,2008-06-02,17:00:00,2008-06-02,16:15:00,117,PT15010903,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.32900695,-8.583798293167828
2008,AG108128,Florestal,Faro,Vila Real de Santo António,Monte Gordo,MONTE GORDO,81603,261173,24176,2008-06-11,20:30:00,2008-06-11,21:35:00,2008-06-11,20:40:00,Outros,PT15011603,0.0,0.0025,0.0,0.0025,0.0025,0,0,0,1,0,0,Dunas de Vila Real de Santo António,,,,37.1900465,-7.4483427
2008,AG108166,Florestal,Faro,Castro Marim,Castro Marim,Monte Francisco,80402,260471,30094,2008-06-27,22:36:00,2008-06-27,23:47:00,2008-06-27,22:42:00,Populares,PT15010402,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,37.2350544,-7.4535364
2008,AG108160,Florestal,Faro,Faro,Faro (são Pedro),Arneiro,80504,215024,10432,2008-06-25,15:40:00,2008-06-25,16:40:00,2008-06-25,15:50:00,Populares,PT15010504,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,37.060356,-7.9662117
2008,AG108169,Florestal,Faro,Silves,São Marcos da Serra,Vale Turiz (Alvaledes),81306,186506,21959,2008-06-28,09:19:00,2008-06-28,12:45:00,2008-06-28,09:30:00,Populares,PT15011306,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,37.360692,-8.3769927
2008,AG108175,Florestal,Faro,Loulé,Alte,ALTE,80802,196146,30070,2008-06-28,23:21:00,2008-06-29,00:39:00,2008-06-28,23:45:00,Populares,PT15010802,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.2647045,-8.1714853
2008,AG108196,Florestal,Faro,Albufeira,Guia,Gale - Praia do Lourenço (GUIA),80102,185217,17855,2008-07-04,23:32:00,2008-07-05,00:10:00,2008-07-04,23:35:00,Populares,PT15010102,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,37.12733315,-8.293568139887036
2008,AG108214,Florestal,Faro,Tavira,Cabanas de Tavira,Cabanas,81409,247325,18964,2008-07-13,02:16:00,2008-07-13,02:56:00,2008-07-13,02:31:00,Populares,PT15011409,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,RIA FORMOSA,,,37.14325515,-7.590622907533985
2008,AG108168,Florestal,Faro,Albufeira,Albufeira,Montechoro,80101,191782,14854,2008-06-28,04:59:00,2008-06-28,05:20:00,2008-06-28,05:03:00,Outros,PT15010101,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,,,37.0992964,-8.2282101
2008,AG108245,Florestal,Faro,Vila do Bispo,Budens,EN 125 Crutzº da Salema p/ Figueira (BUDENS),81502,137890,13695,2008-07-18,02:59:00,2008-07-18,05:30:00,2008-07-18,03:10:00,Populares,PT15011502,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,6.0,Desconhecida,37.0865394,-8.830248697459725
2008,AG108271,Florestal,Faro,Loulé,Loulé (são Sebastião),Quatro Estradas Estação Loule (Quatro Estradas),80809,206490,15182,2008-07-25,21:24:00,2008-07-25,23:07:00,2008-07-25,21:32:00,Populares,PT15010809,0.0,0.1,0.0,0.1,0.1,0,0,0,1,0,0,,,,,37.1042597,-8.0582707
2008,AG108177,Florestal,Faro,Albufeira,Albufeira,ALBUFEIRA,80101,189350,13986,2008-07-01,19:14:00,2008-07-01,20:06:00,2008-07-01,19:20:00,Populares,PT15010101,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,37.1286937,-8.2330185
2008,AG10819,Florestal,Faro,Loulé,Loulé (são Sebastião),Sitio da Cova (São Sebastião),80809,209483,19428,2008-02-09,17:43:00,2008-02-09,20:19:00,2008-02-09,18:00:00,Outros,PT15010809,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.1042597,-8.0582707
2008,AG108192,Florestal,Faro,Loulé,Quarteira,QUARTEIRA,80805,202783,11968,2008-07-04,05:15:00,2008-07-04,06:00:00,2008-07-04,05:21:00,117,PT15010805,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.05464975,-8.075293800512178
2008,AG108273,Florestal,Faro,Lagos,Lagos (são Sebastião),Lagos (Lagoa da Rosa),80706,144096,19212,2008-07-26,20:09:00,2008-07-26,20:50:00,2008-07-26,20:10:00,Populares,PT15010706,0.0,0.0007,0.0,0.0007,0.0007,0,0,0,1,0,0,,,,,37.1259776,-8.689132190653574
2008,AG108275,Florestal,Faro,Portimão,Portimão,PRAIA DA ROCHA,81103,163592,16802,2008-07-28,08:20:00,2008-07-28,10:23:00,2008-07-28,08:35:00,Populares,PT15011103,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,,,37.11550435,-8.532089062628458
2008,AG108279,Florestal,Faro,Olhão,Quelfes,Brancanes,81005,225274,10196,2008-07-29,04:58:00,2008-07-29,05:40:00,2008-07-29,05:10:00,Populares,PT15011005,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,,,37.057783,-7.8212531
2008,AG108320,Florestal,Faro,Lagos,Bensafrim,Sitio do Colégio (BENSAFRIM),80702,146621,21270,2008-08-06,14:12:00,2008-08-06,15:30:00,2008-08-06,14:22:00,Populares,PT15010702,0.0,0.0015,0.0,0.0015,0.0015,0,0,0,1,0,0,,,,,37.15530235,-8.735749678835283
2008,AG108206,Florestal,Faro,São Brás de Alportel,São Brás de Alportel,Bico Alto,81201,223376,22485,2008-07-07,14:34:00,2008-07-07,16:27:00,2008-07-07,14:35:00,Populares,PT15011201,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,6.0,Desconhecida,37.19555795,-7.89076299096229
