DISTRITO,TIPO,ANO,AREAPOV,AREAMATO,AREAAGRIC,AREATOTAL,REACENDIMENTOS,QUEIMADA,FALSOALARME,FOGACHO,INCENDIO,AGRICOLA,NCCO,NOMECCO,DATAALERTA,HORAALERTA,LOCAL,CONCELHO,FREGUESIA,FONTEALERTA,INE,X,Y,DIA,MES,HORA,OPERADOR,PERIMETRO,APS,CAUSA,TIPOCAUSA,DHINICIO,DHFIM,DURACAO,HAHORA,DATAEXTINCAO,HORAEXTINCAO,DATA1INTERVENCAO,HORA1INTERVENCAO,QUEIMA,LAT,LON,CAUSAFAMILIA,TEMPERATURA,HUMIDADERELATIVA,VENTOINTENSIDADE,VENTOINTENSIDADE_VETOR,VENTODIRECAO_VETOR,PRECEPITACAO,FFMC,DMC,DC,ISI,BUI,FWI,DSR,THC,MODFARSITE,ALTITUDEMEDIA,DECLIVEMEDIO,HORASEXPOSICAOMEDIA,DENDIDADERV,COSN5VARIEDADE,AREAMANCHAMODFARSITE,AREASFICHEIROS_GNR,AREASFICHEIROS_GTF,FICHEIROIMAGEM_GNR,AREASFICHEIROSHP_GTF,AREASFICHEIROSHPXML_GTF,AREASFICHEIRODBF_GTF,AREASFICHEIROPRJ_GTF,AREASFICHEIROSBN_GTF,AREASFICHEIROSBX_GTF,AREASFICHEIROSHX_GTF,AREASFICHEIROZIP_SAA
Faro,Florestal,2021,0.0,0.474,0.0,0.474,0,0,0,1,0,0,2021080024663,8,23-06-2021,16:40,Pedra de Escorregar,Albufeira,Guia,117,80102,184314,16831,23,6,16,2000333,,,610.0,Desconhecida,23-06-2021 16:40:00,23-06-2021 17:35:00,55,0.474,23-06-2021,17:35,23-06-2021,16:52,0,37.1172222222222,-8.30944444444444,Indeterminadas,26.8571,41.1509027779136,13.7680188503815,4.36130429444066,304,1.734723e-15,89.0763257217268,87.9565561056299,512.457021303291,4.46780883453594,123.094292372452,19.7139717815833,5.32499390662342,,,-26.9869,4.46286,,764.141,19.57,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0667,0.0,0.0667,0,0,0,1,0,0,2021080024995,8,25-06-2021,13:29,Figueiral,Loulé,Almancil,112,80801,208342,12338,25,6,13,2000333,,,60.0,Desconhecida,25-06-2021 13:29:00,25-06-2021 13:39:00,10,0.0667,25-06-2021,13:39,25-06-2021,13:40,0,37.0766666666667,-8.03916666666667,Indeterminadas,24.0624,55.8248272213618,12.3891727992865,3.44143688869068,161,1.734723e-15,86.4546165935559,94.617173653852,525.437012196793,4.65395139689693,130.48995650487,20.7859133318809,5.84817328448107,,227.0,12.0075,3.29256,,423.714,11.12,626.873,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0666,0.0,0.0666,0,0,0,1,0,0,2021080025579,8,28-06-2021,18:39,Murteira de Baixo,Castro Marim,Azinhal,Populares,80401,256865,37691,28,6,18,2000333,,,610.0,Desconhecida,28-06-2021 18:39:00,28-06-2021 18:54:00,15,0.0666,28-06-2021,18:54,28-06-2021,18:53,0,37.3036111111111,-7.49166666666667,Indeterminadas,26.7253,31.5890395332351,16.2602908218788,4.51674745052189,334,1.734723e-15,91.1679978833347,117.020483965437,575.746259907095,9.78857750571458,155.186691928359,36.5614499441438,15.8898698742076,,,12.2212,9.70193,,232.921,15.14,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.1,0.0,0.1,0,0,0,1,0,0,2021080026282,8,02-07-2021,13:25,Quinta da Palmeira,Albufeira,Albufeira,112,80101,187959,14485,2,7,13,2000333,,,610.0,Desconhecida,02-07-2021 13:25:00,02-07-2021 15:18:00,113,0.1,02-07-2021,15:18,02-07-2021,13:28,0,37.0961111111111,-8.26861111111111,Indeterminadas,30.0485,29.3586536571281,8.81402660523602,3.3034590836104,293,1.734723e-15,92.9360781546144,130.097492486011,587.793849303291,9.22837662299507,167.507904438385,35.8096151444842,15.3161034421885,,,25.9644,11.8469,,799.011,19.57,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.019,0.0,0.019,0,0,0,1,0,0,2021080026465,8,03-07-2021,16:25,Campina de Cima,Loulé,São Clemente,112,80808,210848,18879,3,7,16,2000333,,,60.0,Desconhecida,03-07-2021 16:25:00,03-07-2021 17:44:00,79,0.019,03-07-2021,17:44,03-07-2021,16:40,0,37.1355555555556,-8.01111111111111,Indeterminadas,23.374,66.2502778712644,23.348148124583,6.72598753498547,276,1.734723e-15,85.914865810982,114.365412189624,586.135962196793,5.61873491494789,153.738248755795,25.0707322623053,8.1488163006371,,,195.267,6.8744,,507.158,18.88,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.3607,0.0,0.3607,0,0,0,1,0,0,2021080026629,8,04-07-2021,16:22,ER125 (ER125) Km 58,Lagoa,Porches,112,80604,177340,19036,4,7,16,2000333,,,610.0,Desconhecida,04-07-2021 16:22:00,04-07-2021 17:12:00,50,0.3607,04-07-2021,17:12,04-07-2021,16:32,0,37.1369444444444,-8.38805555555555,Indeterminadas,29.062,37.5218687715449,19.350564768239,5.64427828603888,328,1.734723e-15,90.672468008612,137.077991398811,604.776409303291,10.2359547562365,174.995332840916,38.6582885061681,17.5383344038006,,,-7.05125,8.37611,,676.387,18.43,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.003,0.0,0.003,0,0,0,1,0,0,2021080026868,8,05-07-2021,23:11,ER396 (ER396) Km 24,Loulé,Quarteira,Outros,80805,205243,13873,5,7,23,2000333,,,610.0,Desconhecida,05-07-2021 23:11:00,05-07-2021 23:55:00,44,0.003,05-07-2021,23:55,05-07-2021,23:25,0,37.0905555555556,-8.07416666666667,Indeterminadas,19.5945,79.5122550876286,18.630564528012,5.17515681333667,320,1.734723e-15,86.1472579553236,118.587751685833,601.858522196793,5.99673990797345,158.901997518146,26.4595068368868,8.96475847236259,,,-13.3456,3.76164,,455.346,14.99,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.017,0.0,0.017,0,0,0,1,0,0,2021080027085,8,07-07-2021,03:22,Monte da Tolosa,Silves,São Bartolomeu de Messines,112,81305,187023,33347,7,7,3,2000333,,,610.0,Desconhecida,07-07-2021 03:22:00,07-07-2021 03:58:00,36,0.017,07-07-2021,03:58,07-07-2021,03:37,0,37.2661111111111,-8.27944444444444,Indeterminadas,14.271,74.8189654946594,18.2740451122908,5.07612364230301,348,1.734723e-15,89.9049465802214,146.688502943927,629.740705303291,12.351636928593,185.407420985569,44.0655659724417,22.111833626145,,,96.2763,7.99125,,246.763,16.11,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0054,0.0,0.0054,0,0,0,1,0,0,2021080027391,8,08-07-2021,15:11,TRIPADO,Faro,Santa Bárbara de Nexe,112,80503,216652,12020,8,7,15,2000333,,,610.0,Desconhecida,08-07-2021 15:11:00,08-07-2021 15:34:00,23,0.0054,08-07-2021,15:34,08-07-2021,15:20,0,37.0738888888889,-7.94583333333333,Indeterminadas,24.5619,49.5245761743125,8.63762591932887,2.39934053314691,259,1.734723e-15,89.9562161980585,126.51709892124,625.574698196793,5.21459091768167,168.061644666744,24.3360705309425,7.73093835076463,,,30.6044,2.19548,,408.799,13.57,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.5009,0.0,0.5009,0,0,0,1,0,0,2021080027900,8,11-07-2021,04:57,Alcantarilha (ER125 (ER125) Km 62),Silves,Alcantarilha,117,81301,180897,17313,11,7,4,2000333,,,610.0,Desconhecida,11-07-2021 04:57:00,11-07-2021 05:34:00,37,0.5009,11-07-2021,05:34,11-07-2021,05:05,0,37.1214429998398,-8.34801300048828,Indeterminadas,23.2438,61.2729266486954,3.13046373942553,1.0650296075539,60,1.734723e-15,93.5727331404092,168.854474399034,668.017725303291,10.8672497144649,206.939186707544,41.1904220626862,19.6226768754189,,,8.09437,4.91453,,524.464,15.95,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0001,0.0,0.0001,0,0,0,1,0,0,2021080028486,8,13-07-2021,21:47,Torres Pinto SA,Faro,Sé,112,80505,219379,5395,13,7,21,2000333,,,610.0,Desconhecida,13-07-2021 21:47:00,14-07-2021 11:31:00,824,0.000153846153846154,14-07-2021,11:31:00,13-07-2021,21:55:00,0,37.0141666666667,-7.91527777777778,Indeterminadas,22.8227,53.6672133719474,22.4765067904118,4.59086667903067,2,1.734723e-15,88.443944213374,141.218754366822,666.653234196793,5.74477468243449,184.650246618336,26.519571496876,9.00081039805324,,,-27.5131,2.85705,,412.156,15.06,,,,,,,,,,,,
Faro,Florestal,2021,0.0,2.436,0.0,2.436,0,0,0,0,1,0,2021080028664,8,14-07-2021,16:48,Odeleite,Castro Marim,Odeleite,PV,80403,257511,40387,14,7,16,2000333,,,610.0,Desconhecida,14-07-2021 16:48:00,14-07-2021 18:29:00,101,2.436,14-07-2021,18:29,14-07-2021,17:05,0,37.3277777777778,-7.48416666666667,Indeterminadas,30.8099,31.0215312275664,8.85183684813687,2.82038202257808,211,1.734723e-15,92.5911478200446,187.363989782006,716.611003907095,9.5840550889364,226.607122178209,38.2966472818465,17.2489808563132,,,84.845,26.8554,,290.701,11.04,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AG1211113.kml,,,,,,,,,,
Faro,Florestal,2021,0.0,0.1756,0.0,0.1756,0,0,0,1,0,0,2021080029298,8,17-07-2021,19:03,Vale de Linhares,Silves,Silves,112,81307,172620,30798,17,7,19,2000333,,,610.0,Desconhecida,17-07-2021 19:03:00,17-07-2021 19:51:00,48,0.1756,17-07-2021,19:51,17-07-2021,19:19,0,37.2427777777778,-8.44166666666667,Indeterminadas,27.889,37.2529826501116,17.1396089036578,4.76100247323828,312,1.734723e-15,94.8388086938767,200.283323818804,722.846637303291,12.7637684747014,236.645076713602,46.172961364451,24.017908459668,,236.0,112.838,27.5285,,164.79,7.99,513.506,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.042,0.0,0.042,0,0,0,1,0,0,2021080029851,8,20-07-2021,19:08,Tominhal,Albufeira,Ferreiras,112,80104,189452,17045,20,7,19,2000333,,,610.0,Desconhecida,20-07-2021 19:08:00,20-07-2021 19:45:00,37,0.042,20-07-2021,19:45,20-07-2021,19:13,0,37.1191666666667,-8.25166666666667,Indeterminadas,24.2726,53.6152034448191,19.2846051459948,5.35683476277634,324,1.734723e-15,90.1445604262622,211.383833347772,748.671909303291,5.52756618979314,247.83217549061,26.6541871147971,9.08183770552994,,,36.5006,3.70832,,905.065,19.32,,,,,,,,,,,,
Faro,Florestal,2021,0.0,1.921,0.0,1.921,0,0,0,0,1,0,2021080029863,8,20-07-2021,20:22,Hortas do Beliche,Alcoutim,Giões,112,80202,242077,58069,20,7,20,2000333,,,610.0,Desconhecida,20-07-2021 20:22:00,20-07-2021 21:19:00,57,1.921,20-07-2021,21:19,20-07-2021,21:02,0,37.4877777777778,-7.65722222222222,Indeterminadas,25.8275,44.7719179863536,14.9955659592871,4.18689579495412,310,1.734723e-15,90.9411431296483,209.664372552988,748.983946554377,5.94155115215878,246.688734217055,28.0016234521749,9.91021754058964,,,183.284,10.277,,58.5492,9.46,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AG1211149.kml,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0366,0.0,0.0366,0,0,0,1,0,0,2021080030402,8,23-07-2021,13:05,Lagoa,Loulé,Almancil,112,80801,207633,11739,23,7,13,2000333,,,60.0,Desconhecida,23-07-2021 13:05:00,23-07-2021 13:20:00,15,0.0366,23-07-2021,13:20,23-07-2021,13:19,0,37.0713888888889,-8.04722222222222,Indeterminadas,26.1216,53.0296201341651,12.7027366818925,3.52853796719236,280,1.734723e-15,87.9647460921162,167.450845375459,748.469836196793,5.01575577011703,214.775485187128,24.6382417165411,7.90165554349864,,213.0,7.56687,6.10049,,508.549,19.77,5.68505,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0001,0.0,0.0001,0,0,0,1,0,0,2021080030616,8,24-07-2021,12:27,IC1 (EN264) Km 86,Silves,São Bartolomeu de Messines,112,81305,184524,37137,24,7,12,2000333,,,610.0,Desconhecida,24-07-2021 12:27:00,25-07-2021 02:11:00,824,0.000133333333333333,25-07-2021,02:11:00,24-07-2021,12:41:00,0,37.3,-8.3075,Indeterminadas,27.9509,32.7055578482923,18.2561952271192,5.40740411875211,331,1.734723e-15,92.3867562714009,230.109677971695,784.418075303291,15.1050657129384,265.504474291596,51.6194468945929,29.2582622144617,,,112.542,9.10561,,117.05,12.07,,,,,,,,,,,,
Faro,Florestal,2021,0.0,1.5,0.0,1.5,0,0,0,0,1,0,2021080031258,8,27-07-2021,18:20,Balurco de Baixo,Alcoutim,Alcoutim,112,80201,255475,51192,27,7,18,1930370,,,610.0,Desconhecida,27-07-2021 18:20:00,27-07-2021 19:29:00,69,1.5,27-07-2021,19:29,27-07-2021,18:33,0,37.4252777777778,-7.50638888888889,Indeterminadas,32.4299,31.3721043047638,10.9017109823959,3.29118310975206,316,1.734723e-15,90.8582381752217,239.587189531528,811.688916554377,5.37081782349519,275.715898907674,26.2532666653099,8.84144873955753,,,186.973,10.0469,,169.629,12.38,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.7698,0.0,0.7698,0,0,0,1,0,0,2021080032120,8,31-07-2021,20:33,Alcarias,Tavira,Santa Catarina Fonte Bispo,112,81404,231901,20316,31,7,20,2000333,,,610.0,Desconhecida,31-07-2021 20:33:00,31-07-2021 23:07:00,154,0.3849,31-07-2021,23:07,31-07-2021,20:51,0,37.1480555555556,-7.77388888888889,Indeterminadas,21.9124,53.2812093601595,29.3985731695912,7.47416295226249,329,1.734723e-15,88.1953038973977,186.869653578666,813.045038196793,9.66770788145419,237.355365296253,38.6412944324467,17.5246903640157,,231.0,171.281,15.5387,,178.536,14.01,31.2703,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.004,0.0,0.004,0,0,0,1,0,0,2021080032295,8,01-08-2021,20:24,Lageal,Albufeira,Albufeira,112,80101,191021,14401,1,8,20,2000333,,,610.0,Desconhecida,01-08-2021 20:24:00,01-08-2021 20:39:00,15,0.004,01-08-2021,20:39,01-08-2021,20:31,0,37.0952777777778,-8.23416666666667,Indeterminadas,20.3449,75.9824837647513,19.2992171999756,5.36089366665988,323,1.734723e-15,92.0908873546315,261.92177968194,853.431737303291,16.2323041373737,296.415589907107,54.1455594463031,31.8401525808452,,,2.7575,4.63151,,679.821,14.11,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.679,0.0,0.679,0,0,0,1,0,0,2021080033169,8,05-08-2021,14:54,Praia Maria Luísa,Albufeira,Olhos de Água,112,80105,194061,13800,5,8,14,1930370,,,610.0,Desconhecida,05-08-2021 14:54:00,05-08-2021 19:23:00,269,0.16975,05-08-2021,19:23,05-08-2021,15:03,0,37.09,-8.2,Indeterminadas,33.2979,24.1578003639352,16.1727948483067,5.38614322259636,336,1.734723e-15,93.2244696481755,292.02269674859,867.764518127531,14.674512841114,317.1905908005,50.9081859722937,28.54848031174,,237.0,-21.2,11.2435,,566.212,12.78,13.0489,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.895,0.0,0.895,0,0,0,1,0,0,2021080033410,8,06-08-2021,16:10,Pinheirinho,Tavira,Santa Luzia,112,81408,242565,15773,6,8,16,2000333,,Ria Formosa,610.0,Desconhecida,06-08-2021 16:10:00,06-08-2021 16:23:00,13,0.895,06-08-2021,16:23,06-08-2021,16:18,0,37.1066666666667,-7.65416666666667,Indeterminadas,25.753,52.0147372492402,18.3003983848502,5.08344399579171,276,1.734723e-15,88.5363750107053,200.75142996352,857.306720196794,5.79338322851846,253.248104753033,27.5605546071426,9.63559594887615,,237.0,-18.9356,1.17302,,320.723,14.91,3.4907,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.015,0.0,0.015,0,0,0,1,0,0,2021080033493,8,07-08-2021,01:36,João de Ourém,Olhão,Pechão,112,81004,224776,8849,7,8,1,2000333,,,610.0,Desconhecida,07-08-2021 01:36:00,07-08-2021 04:04:00,148,0.0075,07-08-2021,04:04,07-08-2021,01:54,0,37.045,-7.85444444444444,Indeterminadas,19.8713,74.2899216580267,24.0109815274002,6.11744461452028,324,1.734723e-15,87.3770950293381,202.555145011284,864.325242196794,5.92634217669307,255.448823195147,28.0040004354831,9.91170660528912,,,-1.61,2.78526,,409.997,20.03,,,,,,,,,,,,
Faro,Florestal,2021,0.0,0.0086,0.0,0.0086,0,0,0,1,0,0,2021080033495,8,07-08-2021,02:02,Mesquita,Tavira,Santa Maria Tavira,Populares,81405,240662,30543,7,8,2,2000333,,,610.0,Desconhecida,07-08-2021 02:02:00,07-08-2021 04:00:00,118,0.0086,07-08-2021,04:00,07-08-2021,02:40,0,37.24,-7.67472222222222,Indeterminadas,19.1758,77.0207329991747,16.9487581875144,4.56564296256875,325,1.734723e-15,91.3827955369873,288.892896729064,926.735397907095,10.3778780418003,324.72107657203,40.8733216371585,19.3560878741369,,,281.104,33.6076,,58.373,6.92,,,,,,,,,,,,
