year,date,district,municipality,parish,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2023,2023-01-21,Faro,Castro Marim,Odeleite,37.3202777777778,-7.48611111111111,Desconhecida,83.0,2023-01-21T13:00,17.7,62,10.4,15.3,0.0,0.0,0.0,0.0,1,1020.8,1010.9,32,35,0,0,0.26,0.77,17.6,24.6,349,349,37.4,15.7,13.3,14.5,18.2,0.323,0.33,0.33,0.249,1,3600.0,448.4,308.3,140.1,571.7,448.4,761.8,448.0,308.0,140.0,571.7,448.0,761.0
2023,2023-01-27,Porto,Lousada,Casais,41.2671949999862,-8.31583799997965,Desconhecida,230.0,2023-01-27T12:00,10.7,67,4.8,7.7,0.0,0.0,0.0,0.0,0,1023.7,995.8,3,3,0,0,0.2,0.43,11.9,16.0,3,8,26.3,8.0,5.9,9.6,13.8,0.379,0.385,0.402,0.422,1,3600.0,491.4,412.1,79.3,841.7,491.4,690.8,465.0,390.0,75.0,841.7,465.0,653.7
2023,2023-01-27,Porto,Marco de Canaveses,Sande,41.1159549999237,-8.1857329999076,Desconhecida,405.0,2023-01-27T23:00,2.6,73,-1.7,-0.8,0.0,0.0,0.0,0.0,0,1024.9,975.0,0,0,0,0,0.0,0.2,6.8,10.1,108,86,22.7,2.4,5.6,8.5,13.0,0.378,0.383,0.396,0.423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2023-01-28,Aveiro,Anadia,Moita,40.4325,-8.36777777777778,Desconhecida,224.0,2023-01-28T17:00,9.8,65,3.5,7.5,0.0,0.0,0.0,0.0,0,1023.5,996.3,0,0,0,0,0.07,0.43,5.8,13.9,4,17,22.0,9.8,7.7,9.9,14.3,0.355,0.37,0.402,0.415,1,3600.0,99.3,69.8,29.5,573.9,99.3,171.6,165.0,116.0,49.0,573.9,165.0,285.1
2023,2023-01-29,Beja,Vidigueira,Vila de Frades,38.2088888888889,-7.8175,Desconhecida,193.0,2023-01-29T14:00,12.0,44,0.2,8.4,0.0,0.0,0.0,0.0,0,1022.0,998.7,0,0,0,0,0.28,0.79,11.1,14.6,54,57,26.6,11.1,7.8,11.3,17.1,0.269,0.302,0.328,0.209,1,3600.0,540.3,461.9,78.4,893.4,540.3,729.1,565.0,483.0,82.0,893.4,565.0,762.4
2023,2023-01-29,Viana do Castelo,Ponte de Lima,Anais,41.7005555555556,-8.51833333333333,Desconhecida,409.0,2023-01-29T22:00,0.6,82,-2.1,-2.7,0.0,0.0,0.0,0.0,0,1028.0,977.1,2,0,0,5,0.0,0.11,5.9,7.2,76,108,16.6,2.7,5.4,7.5,11.8,0.361,0.372,0.391,0.421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2023-01-30,Porto,Vila Nova de Gaia,Gulpilhares,41.0731619999144,-8.61919299999873,Desconhecida,85.0,2023-01-30T19:00,6.7,71,1.8,3.4,0.0,0.0,0.0,0.0,0,1030.5,1019.9,0,0,0,0,0.02,0.29,10.0,22.7,64,67,17.3,8.3,8.7,10.5,14.3,0.354,0.366,0.393,0.419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2023-01-31,Setúbal,Almada,Trafaria,38.6595019997491,-9.23249800046285,Desconhecida,86.0,2023-01-31T16:00,12.6,50,2.6,9.3,0.0,0.0,0.0,0.0,0,1029.1,1018.6,0,0,0,0,0.19,0.73,11.5,15.6,44,40,25.2,12.5,9.3,11.1,15.2,0.159,0.186,0.246,0.263,1,3600.0,309.9,250.2,59.7,786.5,309.9,448.4,374.0,302.0,72.0,786.5,374.0,541.2
2023,2023-02-01,Aveiro,Vale de Cambra,Arões,40.8344410000245,-8.30250300010045,Desconhecida,787.0,2023-02-01T17:00,7.1,71,2.3,4.6,0.0,0.0,0.0,0.0,0,1028.1,934.9,0,0,0,0,0.07,0.29,5.8,13.1,86,82,25.9,6.2,3.2,5.1,10.1,0.357,0.371,0.386,0.42,1,3600.0,111.8,81.4,30.4,615.6,111.8,186.3,180.0,131.0,49.0,615.6,180.0,299.8
2023,2023-02-02,Faro,Tavira,Cabanas de Tavira,37.1322222222222,-7.60722222222222,Desconhecida,4.0,2023-02-02T08:00,8.0,77,4.1,5.6,0.0,0.0,0.0,0.0,0,1027.9,1027.4,0,0,0,0,0.02,0.25,6.8,8.9,3,63,13.0,7.1,10.3,13.3,17.8,0.244,0.272,0.316,0.235,1,0.0,17.3,4.9,12.4,56.8,7.0,103.2,7.0,2.0,5.0,27.4,7.0,41.7
2023,2023-02-03,Porto,Santo Tirso,Monte Córdova,41.3266899998983,-8.43844199975332,Desconhecida,469.0,2023-02-03T11:00,9.2,63,2.5,5.9,0.0,0.0,0.0,0.0,0,1034.3,977.5,0,0,0,0,0.17,0.44,11.2,18.1,94,95,24.8,5.7,4.8,7.2,11.6,0.335,0.355,0.379,0.417,1,3600.0,454.3,378.0,76.3,829.1,454.3,642.1,405.0,337.0,68.0,829.1,405.0,572.4
2023,2023-02-03,Porto,Lousada,Silvares,41.2978079997169,-8.2735149998135,Desconhecida,380.0,2023-02-03T11:00,9.8,63,3.0,6.6,0.0,0.0,0.0,0.0,0,1034.3,988.1,0,0,0,0,0.18,0.45,11.2,18.1,94,95,24.8,6.3,5.4,7.7,12.2,0.335,0.355,0.379,0.417,1,3600.0,454.3,378.0,76.3,829.1,454.3,642.1,405.0,337.0,68.0,829.1,405.0,572.4
2023,2023-02-03,Porto,Amarante,Freixo de Cima,41.3037719999419,-8.14027799977197,Desconhecida,412.0,2023-02-03T12:00,11.6,57,3.4,8.5,0.0,0.0,0.0,0.0,0,1034.2,984.5,0,0,0,0,0.24,0.58,10.5,14.5,98,97,24.5,7.0,5.0,7.5,12.0,0.337,0.354,0.363,0.416,1,3600.0,536.8,459.8,77.0,887.3,536.8,729.8,509.0,436.0,73.0,887.3,509.0,692.0
2023,2023-02-03,Porto,Baião,Ovil,41.1907399998771,-8.00314699994193,Desconhecida,610.0,2023-02-03T18:00,4.6,81,1.6,1.4,0.0,0.0,0.0,0.0,0,1032.7,958.6,0,0,0,0,0.01,0.16,9.0,12.7,106,105,21.2,7.3,5.8,6.3,11.0,0.326,0.343,0.365,0.416,0,1300.01,0.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,14.0,201.7,35.0,86.3
2023,2023-02-03,Porto,Vila Nova de Gaia,Vilar do Paraíso,41.0816550000509,-8.62078500005934,Desconhecida,79.0,2023-02-03T19:00,8.7,88,6.7,6.8,0.0,0.0,0.0,0.0,0,1032.7,1022.9,0,0,0,0,0.0,0.14,7.4,15.4,29,21,12.2,10.5,10.1,10.3,14.0,0.345,0.359,0.387,0.417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2023-02-03,Porto,Lousada,Silvares,41.2799580001831,-8.2745429997974,Desconhecida,258.0,2023-02-03T21:00,3.9,89,2.2,1.1,0.0,0.0,0.0,0.0,0,1033.0,1000.7,0,0,0,0,0.0,0.09,6.8,7.9,72,87,11.5,6.3,7.9,8.6,12.9,0.333,0.352,0.377,0.417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2023-02-04,Porto,Paços de Ferreira,Frazão,41.2679419999652,-8.41027199957106,Desconhecida,319.0,2023-02-04T14:00,15.4,51,5.3,13.0,0.0,0.0,0.0,0.0,0,1032.6,994.5,0,0,0,0,0.29,0.86,8.8,12.1,78,78,23.4,11.5,7.3,8.5,12.5,0.334,0.354,0.382,0.417,1,3600.0,525.5,451.7,73.8,900.4,525.5,706.2,548.0,471.0,77.0,900.4,548.0,736.4
2023,2023-02-04,Aveiro,Arouca,Alvarenga,40.9672879999876,-8.14489899953206,Desconhecida,479.0,2023-02-04T15:00,16.2,53,6.7,14.6,0.0,0.0,0.0,0.0,0,1031.8,975.4,0,0,0,0,0.26,0.86,5.2,6.6,326,331,15.5,12.7,7.0,7.6,11.9,0.328,0.345,0.365,0.416,1,3600.0,436.6,373.3,63.3,881.5,436.6,596.2,483.0,413.0,70.0,881.5,483.0,659.6
2023,2023-02-04,Setúbal,Palmela,Quinta do Anjo,38.5837999999854,-8.99287000020345,Desconhecida,39.0,2023-02-04T15:00,17.1,43,4.3,13.8,0.0,0.0,0.0,0.0,0,1030.5,1025.8,0,0,0,0,0.31,1.12,13.5,18.0,9,12,28.1,16.3,9.9,10.9,15.4,0.086,0.139,0.196,0.232,1,3600.0,476.1,399.6,76.5,869.0,476.1,647.4,523.0,439.0,84.0,869.0,523.0,711.2
