year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2006,2006-07-08,Castelo Branco,Penamacor,Meimoa,MEIMOA,40.2487553,-7.1673801,NC,504.0,2006-07-08T14:00,34.5,19,7.3,34.6,0.0,0.0,0.0,0.0,0,1014.6,959.7,4,0,0,13,0.79,4.44,10.2,13.0,252,251,30.6,40.2,27.8,22.6,17.1,0.1,0.166,0.233,0.306,1,3600.0,923.2,811.4,111.8,898.7,923.2,1194.7,950.0,835.0,115.0,898.7,950.0,1229.4
2006,2006-06-05,Viseu,Cinfães,Cinfães,CADIS (CINFÃES),41.0721651,-8.0894728,NC,400.0,2006-06-05T21:00,24.8,36,8.7,23.2,0.0,0.0,0.0,0.0,1,1013.5,968.3,29,0,0,98,0.08,2.01,8.4,11.9,350,355,19.8,22.7,22.2,17.3,12.8,0.131,0.183,0.279,0.381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-06-03,Viseu,Sátão,Vila Longa,VILA LONGA,40.7428102,-7.588322820309436,Desconhecida,588.0,2006-06-03T11:00,22.0,22,-1.0,18.3,0.0,0.0,0.0,0.0,0,1022.2,955.4,0,0,0,0,0.62,2.07,21.0,27.5,59,58,48.2,25.3,19.9,17.7,12.1,0.085,0.197,0.284,0.316,1,3600.0,940.7,825.3,115.4,919.6,940.7,1193.2,897.0,787.0,110.0,919.6,897.0,1137.8
2006,2006-08-06,Aveiro,Águeda,Lamas do Vouga,Pedaçães,40.5941892,-8.4596416,Desconhecida,84.0,2006-08-06T01:00,23.1,52,12.8,22.8,0.0,0.0,0.0,0.0,0,1013.2,1003.4,0,0,0,0,0.05,1.34,8.1,20.3,69,67,15.1,23.3,27.5,22.7,19.3,0.061,0.077,0.113,0.236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-08-15,Leiria,Leiria,Cortes,CURVA DA BOIÇA (CURVACHIA),39.7012422,-8.7850315,Desconhecida,83.0,2006-08-15T15:00,21.3,58,12.8,19.8,0.0,0.0,0.0,0.0,1,1014.0,1004.3,45,50,0,0,0.45,1.06,23.4,30.6,315,316,47.9,29.9,24.2,23.3,19.7,0.048,0.06,0.085,0.177,1,3600.0,707.0,544.3,162.6,710.7,707.0,1021.3,752.0,579.0,173.0,710.7,752.0,1086.4
2006,2006-07-11,Porto,Penafiel,Vila Cova,CORCOMELOS (Corcovido),41.1746375,-8.2405804,NC,311.0,2006-07-11T01:00,21.0,76,16.5,22.5,0.0,0.0,0.0,0.0,1,1020.8,984.7,23,0,0,78,0.0,0.6,5.2,4.0,124,153,8.3,20.1,23.9,19.4,15.4,0.113,0.183,0.256,0.357,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-08-07,Porto,Paços de Ferreira,Freamunde,RUA DA DEVESA (Rua do Comércio),41.2871214,-8.341737478649442,NC,365.0,2006-08-07T07:00,20.7,40,6.6,17.0,0.0,0.0,0.0,0.0,0,1015.0,973.0,0,0,0,0,0.18,1.46,19.1,33.5,94,93,46.1,21.4,24.9,22.1,17.7,0.092,0.142,0.217,0.337,1,3425.49,177.4,115.1,62.3,457.3,172.4,334.6,111.0,72.0,39.0,444.5,111.0,209.4
2006,2006-08-07,Porto,Paços de Ferreira,Freamunde,RUA DO MARCO (Rua do Comércio),41.2871214,-8.341737478649442,NC,365.0,2006-08-07T09:00,23.8,33,6.5,19.8,0.0,0.0,0.0,0.0,0,1015.4,973.8,0,0,0,0,0.41,1.99,21.3,29.9,88,88,49.3,24.9,24.7,22.1,17.7,0.092,0.142,0.217,0.337,1,3600.0,569.0,471.9,97.1,784.4,569.0,799.9,492.0,408.0,84.0,784.4,492.0,691.7
2006,2006-08-07,Porto,Paços de Ferreira,Freamunde,RUA DA DEVESA (Rua do Comércio),41.2871214,-8.341737478649442,NC,365.0,2006-08-07T10:00,25.7,30,6.8,22.7,0.0,0.0,0.0,0.0,0,1014.9,973.6,0,0,0,0,0.53,2.31,19.1,26.3,87,87,49.0,27.2,24.8,22.1,17.7,0.092,0.142,0.217,0.337,1,3600.0,733.8,629.5,104.4,850.9,733.8,983.8,668.0,573.0,95.0,850.9,668.0,895.5
2006,2006-09-02,Porto,Paredes,Beire,L. TIJORES (BEIRE),41.2481887,-8.322918173550978,NC,217.0,2006-09-02T05:00,17.4,86,14.9,18.8,0.0,0.0,0.0,0.0,1,1017.8,992.2,47,23,0,88,0.0,0.29,1.8,2.6,127,286,6.8,16.4,22.0,21.7,19.7,0.134,0.19,0.193,0.324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-09-13,Viana do Castelo,Ponte de Lima,Gemieira,Cancela,41.7793831,-8.5203845,NC,36.0,2006-09-13T02:00,15.7,99,15.5,17.2,0.0,0.0,0.0,0.0,2,1012.4,1008.1,63,70,0,0,0.0,0.02,2.9,4.7,277,293,10.4,16.9,22.2,23.0,21.1,0.105,0.169,0.195,0.312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-09-04,Braga,Terras de Bouro,Souto,Carvalhal,41.6939526,-8.3429892,NC,160.0,2006-09-04T05:00,17.0,88,15.0,17.6,0.0,0.0,0.0,0.0,0,1020.4,1001.4,0,0,0,0,0.0,0.23,6.9,8.7,51,52,14.4,18.3,22.7,21.7,20.0,0.122,0.201,0.202,0.318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-06-09,Santarém,Ourém,Seiça,FONTAINHAS DA SERRA (Fontainhas),39.6688673,-8.5177306,NC,134.0,2006-06-09T01:00,17.1,92,15.7,18.5,0.0,0.0,0.0,0.0,1,1014.6,998.7,24,27,0,0,0.0,0.16,3.6,8.3,264,288,9.4,19.4,25.7,22.1,16.4,0.054,0.103,0.177,0.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-09-19,Setúbal,Sesimbra,Sesimbra (castelo),MAÇA (Maçã),38.4775139,-9.0736338,NC,109.0,2006-09-19T13:00,23.2,61,15.2,25.6,0.0,0.0,0.0,0.0,0,1015.5,1002.8,0,0,0,0,0.52,1.12,6.6,8.1,331,339,25.9,31.2,22.3,23.0,22.5,0.061,0.067,0.109,0.179,1,3600.0,811.4,707.0,104.4,893.8,811.4,1072.4,816.0,711.0,105.0,893.8,816.0,1078.5
2006,2006-06-20,Vila Real,Chaves,Sanjurge,Pereiro de Selão (Alto do Pereiro),41.7762124,-7.5040129,NC,432.0,2006-06-20T23:00,16.9,73,12.0,16.7,0.0,0.0,0.0,0.0,1,1017.3,967.1,30,0,0,99,0.01,0.53,5.6,12.0,320,327,17.6,19.2,21.7,18.6,13.7,0.219,0.186,0.247,0.332,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2006-09-08,Vila Real,Montalegre,Sarraquinhos,Pedrario/Sarraquinhos (Pedrario),41.8095242,-7.6407113,NC,970.0,2006-09-08T17:00,25.7,35,8.9,24.5,1.2,1.2,0.0,0.0,55,1016.2,910.6,0,0,0,0,0.27,2.16,6.0,8.4,343,350,17.3,28.9,24.1,20.5,17.1,0.162,0.211,0.25,0.365,1,3600.0,289.4,219.1,70.4,636.7,289.4,463.7,362.0,274.0,88.0,636.7,362.0,580.1
